Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																				
Дата голосования: 04.12.2011																				
																				
Наименование Избирательной комиссии:    Обская городская  																				
																				
Сводная таблица результатов выборов																				
																				
		Сумма	УИК №1424	УИК №1425	УИК №1426	УИК №1427	УИК №1428	УИК №1429	УИК №1430	УИК №1431	УИК №1432	УИК №1433	УИК №1434	УИК №1435	УИК №1436					
1	"Число избирателей, внесенных в список избирателей"	20948	2033	1748	1380	1861	408	2726	1373	1580	2407	2253	2320	481	378					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	20530	1869	1596	1255	1711	402	2477	1242	1427	1971	2066	2080	434	2000					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	10391	800	691	570	827	269	1458	737	880	1472	1156	999	154	378					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	457	42	33	28	46	85	35	42	33	7	24	63	19	0					
6	Число погашенных избирательных бюллетеней	9682	1027	872	657	838	48	984	463	514	492	886	1018	261	1622					
7	Число избирательных бюллетеней в переносных ящиках для голосования	457	42	33	28	46	85	35	42	33	7	24	63	19	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	10367	800	691	570	822	269	1442	734	880	1472	1156	999	154	378					
9	Число недействительных избирательных бюллетеней	174	21	12	18	11	11	9	12	10	25	21	14	2	8					
10	Число действительных избирательных бюллетеней	10650	821	712	580	857	343	1468	764	903	1454	1159	1048	171	370					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	540	50	30	30	40	0	70	30	39	141	50	50	10	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	512	50	29	25	39	0	69	27	35	139	50	42	7	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	550	9	1	9	8	23	24	9	30	18	6	30	5	378					
14	Число погашенных неиспользованных открепительных удостоверений	28	0	1	5	1	0	1	3	4	2	0	8	3	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	26	0	2	1	16	0	0	2	0	2	1	1	1	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																				
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1298	106	104	79	115	32	165	76	112	165	149	129	24	42					
		11.99%	12.59%	14.36%	13.21%	13.25%	9.04%	11.17%	9.79%	12.27%	11.16%	12.63%	12.15%	13.87%	11.11%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	1925	140	131	105	132	35	253	148	119	325	227	195	37	78					
		17.78%	16.63%	18.09%	17.56%	15.21%	9.89%	17.13%	19.07%	13.03%	21.97%	19.24%	18.36%	21.39%	20.63%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	127	5	11	5	9	6	17	5	11	22	17	13	1	5					
		1.17%	0.59%	1.52%	0.84%	1.04%	1.69%	1.15%	0.64%	1.20%	1.49%	1.44%	1.22%	0.58%	1.32%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	3469	269	201	186	285	49	490	292	327	421	421	374	43	111					
		32.05%	31.95%	27.76%	31.10%	32.83%	13.84%	33.18%	37.63%	35.82%	28.47%	35.68%	35.22%	24.86%	29.37%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	365	24	26	9	10	3	79	32	39	65	38	28	2	10					
		3.37%	2.85%	3.59%	1.51%	1.15%	0.85%	5.35%	4.12%	4.27%	4.39%	3.22%	2.64%	1.16%	2.65%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3397	274	236	193	301	218	454	208	287	445	299	299	63	120					
		31.38%	32.54%	32.60%	32.27%	34.68%	61.58%	30.74%	26.80%	31.43%	30.09%	25.34%	28.15%	36.42%	31.75%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	69	3	3	3	5	0	10	3	8	11	8	10	1	4					
		0.64%	0.36%	0.41%	0.50%	0.58%	0.00%	0.68%	0.39%	0.88%	0.74%	0.68%	0.94%	0.58%	1.06%					
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
