Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																										
Дата голосования: 18.09.2016																										
																										
Наименование Избирательной комиссии:    Тужинская																										
																										
Сводная таблица итогов голосования по федеральному избирательному округу																										
																										
		Сумма	УИК №1014	УИК №1015	УИК №1016	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1022	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	6561	179	118	344	116	122	286	431	267	238	214	116	130	1094	1495	1411									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	6637	182	122	348	117	124	283	432	264	246	220	115	134	1115	1491	1444									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	2944	88	54	151	56	57	142	220	140	126	107	54	66	398	626	659									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	490	35	14	35	11	21	27	32	29	21	17	15	10	50	96	77									
6	Число погашенных избирательных бюллетеней	3203	59	54	162	50	46	114	180	95	99	96	46	58	667	769	708									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	490	35	14	35	11	21	27	32	29	21	17	15	10	50	96	77									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	2943	88	54	151	56	57	142	220	140	126	107	54	66	398	626	658									
9	Число недействительных избирательных бюллетеней	46	0	0	3	1	1	0	4	1	0	0	0	0	8	9	19									
10	Число действительных избирательных бюллетеней	3387	123	68	183	66	77	169	248	168	147	124	69	76	440	713	716									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	255	15	15	15	15	15	15	15	15	15	15	15	15	25	25	25									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	37	1	3	0	0	2	2	1	1	1	3	1	2	6	6	8									
