Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																										
Дата голосования: 18.09.2016																										
																										
Наименование Избирательной комиссии:    Мантуровская городская																										
																										
Сводная таблица итогов голосования по федеральному избирательному округу																										
																										
		Сумма	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №601	УИК №602	УИК №603	УИК №604									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	14159	990	891	898	1057	963	930	931	1030	854	964	938	882	956	974	901									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	11800	850	700	700	900	800	800	800	900	700	800	800	700	800	800	750									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4336	279	207	318	345	251	304	279	284	195	416	359	251	291	365	192									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	386	41	46	22	31	22	30	10	15	26	8	18	38	19	14	46									
6	Число погашенных избирательных бюллетеней	7078	530	447	360	524	527	466	511	601	479	376	423	411	490	421	512									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	386	41	46	22	31	22	30	10	15	26	8	18	38	19	14	46									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4336	279	207	318	345	251	304	279	284	195	416	359	251	291	365	192									
9	Число недействительных избирательных бюллетеней	72	4	2	3	5	4	3	7	6	4	6	7	6	5	8	2									
10	Число действительных избирательных бюллетеней	4650	316	251	337	371	269	331	282	293	217	418	370	283	305	371	236									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	225	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	48	2	0	4	1	3	1	4	0	6	8	7	1	4	4	3									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	49	2	0	13	1	6	1	5	4	3	2	0	4	2	5	1									
14	Число погашенных неиспользованных открепительных удостоверений	177	13	15	11	14	12	14	11	15	9	7	8	14	11	11	12									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	20	1	2	1	1	0	1	2	5	0	0	1	1	4	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																										
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	60	4	4	4	4	3	4	8	3	3	3	10	3	2	3	2									
		1.27%	1.25%	1.58%	1.18%	1.06%	1.10%	1.20%	2.77%	1.00%	1.36%	0.71%	2.65%	1.04%	0.65%	0.79%	0.84%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	216	11	11	13	19	14	19	17	11	8	20	18	18	13	12	12									
		4.57%	3.44%	4.35%	3.82%	5.05%	5.13%	5.69%	5.88%	3.68%	3.62%	4.72%	4.77%	6.23%	4.19%	3.17%	5.04%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	76	5	5	4	6	4	4	2	4	4	4	9	3	10	10	2									
		1.61%	1.56%	1.98%	1.18%	1.60%	1.47%	1.20%	0.69%	1.34%	1.81%	0.94%	2.39%	1.04%	3.23%	2.64%	0.84%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1503	112	82	103	145	82	112	66	106	69	123	117	76	104	108	98									
		31.83%	35.00%	32.41%	30.29%	38.56%	30.04%	33.53%	22.84%	35.45%	31.22%	29.01%	31.03%	26.30%	33.55%	28.50%	41.18%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	25	1	6	0	0	4	1	2	1	3	2	1	1	2	0	1									
		0.53%	0.31%	2.37%	0.00%	0.00%	1.47%	0.30%	0.69%	0.33%	1.36%	0.47%	0.27%	0.35%	0.65%	0.00%	0.42%									
24	"6. Политическая партия ""Гражданская Платформа"""	6	0	0	0	0	0	1	0	2	2	0	0	1	0	0	0									
		0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.30%	0.00%	0.67%	0.90%	0.00%	0.00%	0.35%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	966	67	35	64	87	67	70	64	67	43	98	72	48	61	70	53									
		20.46%	20.94%	13.83%	18.82%	23.14%	24.54%	20.96%	22.15%	22.41%	19.46%	23.11%	19.10%	16.61%	19.68%	18.47%	22.27%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	41	2	0	3	4	1	4	8	2	0	3	4	2	4	3	1									
		0.87%	0.63%	0.00%	0.88%	1.06%	0.37%	1.20%	2.77%	0.67%	0.00%	0.71%	1.06%	0.69%	1.29%	0.79%	0.42%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	34	2	3	3	4	0	3	4	2	3	3	2	1	4	0	0									
		0.72%	0.63%	1.19%	0.88%	1.06%	0.00%	0.90%	1.38%	0.67%	1.36%	0.71%	0.53%	0.35%	1.29%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	6	0	0	1	1	0	0	0	0	0	0	0	0	0	4	0									
		0.13%	0.00%	0.00%	0.29%	0.27%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.06%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	26	3	0	1	1	2	2	1	2	0	4	2	1	5	2	0									
		0.55%	0.94%	0.00%	0.29%	0.27%	0.73%	0.60%	0.35%	0.67%	0.00%	0.94%	0.53%	0.35%	1.61%	0.53%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1518	98	95	130	92	87	101	98	82	79	142	116	110	90	138	60									
		32.15%	30.63%	37.55%	38.24%	24.47%	31.87%	30.24%	33.91%	27.42%	35.75%	33.49%	30.77%	38.06%	29.03%	36.41%	25.21%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	13	1	0	0	0	1	1	0	1	1	1	1	2	0	3	1									
		0.28%	0.31%	0.00%	0.00%	0.00%	0.37%	0.30%	0.00%	0.33%	0.45%	0.24%	0.27%	0.69%	0.00%	0.79%	0.42%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	160	10	10	11	8	4	9	12	10	2	15	18	17	10	18	6									
		3.39%	3.13%	3.95%	3.24%	2.13%	1.47%	2.69%	4.15%	3.34%	0.90%	3.54%	4.77%	5.88%	3.23%	4.75%	2.52%									
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
