Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																	
Дата голосования: 18.09.2016																																																																	
																																																																	
Наименование Избирательной комиссии:    Волховская																																																																	
																																																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																																																	
																																																																	
		Сумма	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	68800	1645	1860	1173	2498	2055	2134	2344	2201	2918	1299	361	2548	2289	1403	1348	2021	1743	1938	2291	2524	1491	1418	1312	1396	1538	749	609	193	688	844	419	108	161	958	238	2190	1090	1178	747	800	896	633	759	715	1180	1387	1382	1261	1020	1266	444	231	381	525									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	58867	1500	1500	1000	2000	1600	2000	2000	2000	2500	1000	300	2000	2000	1100	1100	1600	1500	1500	2000	2000	1200	1200	1100	1200	1300	700	550	150	600	800	400	100	130	900	200	2000	1000	1100	700	700	800	600	700	700	1000	1200	1200	1000	1000	1000	400	237	300	500									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	25040	434	772	410	792	823	796	835	693	1136	217	101	835	889	532	496	712	670	724	994	1014	427	438	493	577	512	311	198	81	208	165	176	29	44	460	103	650	383	359	305	299	363	272	312	253	496	563	599	456	450	477	171	203	142	190									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	3433	141	281	230	18	24	19	21	29	23	203	21	41	9	22	27	17	6	15	16	21	41	2	19	31	17	90	92	53	125	143	73	45	77	36	9	390	47	252	128	75	129	19	7	53	17	78	21	18	13	30	34	0	15	70									
6	Число погашенных избирательных бюллетеней	30394	925	447	360	1190	753	1185	1144	1278	1341	580	178	1124	1102	546	577	871	824	761	990	965	732	760	588	592	771	299	260	16	267	492	151	26	9	404	88	960	570	489	267	326	308	309	381	394	487	559	580	526	537	493	195	34	143	240									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	3433	141	281	230	18	24	19	21	29	23	203	21	41	9	22	27	17	6	15	16	21	41	2	19	31	17	90	92	53	125	143	73	45	77	36	9	390	47	252	128	75	129	19	7	53	17	78	21	18	13	30	34	0	15	70									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	24961	434	772	410	792	823	796	834	693	1136	216	101	833	889	532	496	712	670	724	994	1014	427	438	493	577	512	311	198	81	208	165	176	29	44	460	103	650	383	359	305	299	363	272	312	253	496	563	599	456	375	477	171	203	142	190									
9	Число недействительных избирательных бюллетеней	1180	15	329	12	29	38	21	18	34	45	11	1	33	29	16	22	19	22	30	24	20	14	22	17	17	17	18	2	5	11	7	3	2	0	9	4	11	22	21	21	21	16	5	5	9	21	19	11	16	11	22	7	12	6	8									
10	Число действительных избирательных бюллетеней	27214	560	724	628	781	809	794	837	688	1114	408	121	841	869	538	501	710	654	709	986	1015	454	418	495	591	512	383	288	129	322	301	246	72	121	487	108	1029	408	590	412	353	476	286	314	297	492	622	609	458	377	485	198	191	151	252									
