Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																			
Дата голосования: 18.09.2016																																			
																																			
Наименование Избирательной комиссии:    Хлевенская																																			
																																			
Сводная таблица итогов голосования по федеральному избирательному округу																																			
																																			
		Сумма	УИК №1901	УИК №1902	УИК №1903	УИК №1904	УИК №1905	УИК №1906	УИК №1907	УИК №1908	УИК №1909	УИК №1910	УИК №1911	УИК №1912	УИК №1913	УИК №1914	УИК №1915	УИК №1916	УИК №1917	УИК №1918	УИК №1919	УИК №1920	УИК №1921	УИК №1922	УИК №1923	УИК №1924									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	16654	2628	1674	846	1560	508	561	221	628	622	293	937	302	441	143	317	238	153	922	953	917	269	545	550	426									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	16680	2630	1680	850	1550	510	560	220	630	630	290	940	300	450	140	310	240	150	930	960	910	270	550	550	430									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	11194	1972	1283	556	1259	352	420	166	265	500	150	339	135	323	49	234	155	118	631	398	565	196	427	399	302									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2151	246	43	192	91	85	90	49	110	85	56	88	45	66	52	67	67	24	143	94	179	57	74	107	41									
6	Число погашенных избирательных бюллетеней	3335	412	354	102	200	73	50	5	255	45	84	513	120	61	39	9	18	8	156	468	166	17	49	44	87									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2151	246	43	192	91	85	90	49	110	85	56	88	45	66	52	67	67	24	143	94	179	57	74	107	41									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	11194	1972	1283	556	1259	352	420	166	265	500	150	339	135	323	49	234	155	118	631	398	565	196	427	399	302									
9	Число недействительных избирательных бюллетеней	107	11	12	3	5	0	3	0	5	0	8	13	2	0	2	6	0	0	6	17	4	0	0	10	0									
10	Число действительных избирательных бюллетеней	13238	2207	1314	745	1345	437	507	215	370	585	198	414	178	389	99	295	222	142	768	475	740	253	501	496	343									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	100	15	10	5	5	3	3	3	3	3	2	5	2	4	4	3	3	3	4	5	4	2	3	3	3									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	40	8	7	3	2	0	3	3	0	0	0	1	0	4	2	0	1	0	0	2	1	0	2	1	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	47	5	1	0	2	1	0	1	3	2	3	3	1	3	8	2	1	2	2	0	4	0	0	2	1									
14	Число погашенных неиспользованных открепительных удостоверений	60	7	3	2	3	3	0	0	3	3	2	4	2	0	2	3	2	3	4	3	3	2	1	2	3									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	15	6	2	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																			
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	69	4	9	3	2	3	6	0	10	0	1	4	0	4	4	2	0	0	0	6	0	3	0	5	3									
		0.52%	0.18%	0.68%	0.40%	0.15%	0.69%	1.18%	0.00%	2.67%	0.00%	0.49%	0.94%	0.00%	1.03%	3.96%	0.66%	0.00%	0.00%	0.00%	1.22%	0.00%	1.19%	0.00%	0.99%	0.87%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	166	12	9	10	5	12	0	0	12	3	9	23	7	1	4	5	0	0	0	26	0	6	6	8	8									
		1.24%	0.54%	0.68%	1.34%	0.37%	2.75%	0.00%	0.00%	3.20%	0.51%	4.37%	5.39%	3.89%	0.26%	3.96%	1.66%	0.00%	0.00%	0.00%	5.28%	0.00%	2.37%	1.20%	1.58%	2.33%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	81	10	7	10	11	0	0	2	8	0	2	8	4	1	2	2	0	0	0	3	0	1	0	4	6									
		0.61%	0.45%	0.53%	1.34%	0.81%	0.00%	0.00%	0.93%	2.13%	0.00%	0.97%	1.87%	2.22%	0.26%	1.98%	0.66%	0.00%	0.00%	0.00%	0.61%	0.00%	0.40%	0.00%	0.79%	1.75%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	10462	1966	1002	612	1103	305	415	191	230	474	99	195	107	349	56	266	203	138	629	239	575	203	441	385	279									
		78.40%	88.64%	75.57%	81.82%	81.70%	69.79%	81.37%	88.84%	61.33%	81.03%	48.06%	45.67%	59.44%	89.72%	55.45%	88.37%	91.44%	97.18%	81.27%	48.58%	77.28%	80.24%	88.02%	76.09%	81.34%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	21	3	3	2	2	2	0	0	1	0	1	3	1	0	1	0	0	0	0	1	0	0	0	0	1									
		0.16%	0.14%	0.23%	0.27%	0.15%	0.46%	0.00%	0.00%	0.27%	0.00%	0.49%	0.70%	0.56%	0.00%	0.99%	0.00%	0.00%	0.00%	0.00%	0.20%	0.00%	0.00%	0.00%	0.00%	0.29%									
24	"6. Политическая партия ""Гражданская Платформа"""	4	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0									
		0.03%	0.00%	0.08%	0.00%	0.00%	0.23%	0.00%	0.00%	0.27%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.20%	0.00%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	475	49	20	24	46	8	20	3	37	10	26	57	22	6	7	6	4	0	17	56	3	7	18	15	14									
		3.56%	2.21%	1.51%	3.21%	3.41%	1.83%	3.92%	1.40%	9.87%	1.71%	12.62%	13.35%	12.22%	1.54%	6.93%	1.99%	1.80%	0.00%	2.20%	11.38%	0.40%	2.77%	3.59%	2.96%	4.08%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	13	0	4	1	4	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2									
		0.10%	0.00%	0.30%	0.13%	0.30%	0.00%	0.00%	0.00%	0.27%	0.00%	0.00%	0.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.58%									
