Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																		
Дата голосования: 18.09.2016																		
																		
Наименование Избирательной комиссии:    Ягоднинская																		
																		
Сводная таблица итогов голосования по федеральному избирательному округу																		
																		
		Сумма	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	6296	153	1594	1244	130	522	1810	843									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	7110	215	1500	1550	230	470	2070	1075									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	793	0	582	0	31	68	0	112									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	2075	80	425	496	27	208	557	282									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	182	8	12	18	2	80	46	16									
6	Число погашенных избирательных бюллетеней	4060	127	481	1036	170	114	1467	665									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	975	8	594	18	33	148	46	128									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	2073	80	425	496	27	208	555	282									
9	Число недействительных избирательных бюллетеней	68	1	30	16	1	5	7	8									
10	Число действительных избирательных бюллетеней	2980	87	989	498	59	351	594	402									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	243	5	50	55	8	15	80	30									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	27	0	9	14	0	0	3	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	22	0	5	1	0	15	1	0									
14	Число погашенных неиспользованных открепительных удостоверений	216	5	41	41	8	15	77	29									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	7	0	4	3	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0									
																		
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	22	2	6	1	0	4	3	6									
		0.72%	2.27%	0.59%	0.19%	0.00%	1.12%	0.50%	1.46%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	83	1	32	20	0	6	15	9									
		2.72%	1.14%	3.14%	3.89%	0.00%	1.69%	2.50%	2.20%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	71	1	28	11	2	3	16	10									
		2.33%	1.14%	2.75%	2.14%	3.33%	0.84%	2.66%	2.44%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1669	48	629	230	32	193	301	236									
		54.76%	54.55%	61.73%	44.75%	53.33%	54.21%	50.08%	57.56%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	24	0	5	9	1	1	5	3									
		0.79%	0.00%	0.49%	1.75%	1.67%	0.28%	0.83%	0.73%									
24	"6. Политическая партия ""Гражданская Платформа"""	10	0	2	4	0	0	4	0									
		0.33%	0.00%	0.20%	0.78%	0.00%	0.00%	0.67%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	554	20	148	113	12	80	113	68									
		18.18%	22.73%	14.52%	21.98%	20.00%	22.47%	18.80%	16.59%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	14	0	6	6	2	0	0	0									
		0.46%	0.00%	0.59%	1.17%	3.33%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	22	0	10	6	0	0	4	2									
		0.72%	0.00%	0.98%	1.17%	0.00%	0.00%	0.67%	0.49%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	6	0	1	2	0	2	0	1									
		0.20%	0.00%	0.10%	0.39%	0.00%	0.56%	0.00%	0.24%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	35	1	8	10	2	2	8	4									
		1.15%	1.14%	0.79%	1.95%	3.33%	0.56%	1.33%	0.98%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	352	12	90	59	8	43	97	43									
		11.55%	13.64%	8.83%	11.48%	13.33%	12.08%	16.14%	10.49%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	9	0	2	7	0	0	0	0									
		0.30%	0.00%	0.20%	1.36%	0.00%	0.00%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	109	2	22	20	0	17	28	20									
		3.58%	2.27%	2.16%	3.89%	0.00%	4.78%	4.66%	4.88%									
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
