Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																														
Дата голосования: 18.09.2016																														
																														
Наименование Избирательной комиссии:    Большеболдинская																														
																														
Сводная таблица итогов голосования по федеральному избирательному округу																														
																														
		Сумма	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	9384	213	375	1009	905	1129	1238	477	167	213	150	259	250	574	376	433	266	303	567	480									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	9500	210	370	1000	930	1150	1255	475	170	220	150	270	260	600	375	440	265	300	585	475									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	5223	120	183	504	508	650	631	246	139	130	87	127	112	270	267	203	162	154	356	374									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	694	19	63	73	50	32	35	36	9	28	21	30	36	63	45	49	7	43	36	19									
6	Число погашенных избирательных бюллетеней	3583	71	124	423	372	468	589	193	22	62	42	113	112	267	63	188	96	103	193	82									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	694	19	63	73	50	32	35	36	9	28	21	30	36	63	45	49	7	43	36	19									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	5223	120	183	504	508	650	631	246	139	130	87	127	112	270	267	203	162	154	356	374									
9	Число недействительных избирательных бюллетеней	67	2	2	1	13	15	7	0	1	2	0	1	0	3	5	10	1	3	0	1									
10	Число действительных избирательных бюллетеней	5850	137	244	576	545	667	659	282	147	156	108	156	148	330	307	242	168	194	392	392									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	280	5	10	25	25	30	30	15	5	10	5	10	10	20	15	15	10	10	20	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	168	2	0	25	25	30	30	0	5	4	2	7	4	20	9	1	0	2	2	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	72	5	5	6	9	5	15	0	2	2	3	4	0	4	1	4	1	2	3	1									
14	Число погашенных неиспользованных открепительных удостоверений	112	3	10	0	0	0	0	15	0	6	3	3	6	0	6	14	10	8	18	10									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	7	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	2	1									
