Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																										
Дата голосования: 18.09.2016																										
																										
Наименование Избирательной комиссии:    Парфинская																										
																										
Сводная таблица итогов голосования по федеральному избирательному округу																										
																										
		Сумма	УИК №1401	УИК №1402	УИК №1403	УИК №1404	УИК №1405	УИК №1406	УИК №1407	УИК №1408	УИК №1409	УИК №1410	УИК №1411	УИК №1412	УИК №1413	УИК №1414	УИК №1415									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	10246	1231	1354	778	774	1126	650	606	595	219	164	308	944	975	384	138									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	9450	1000	1000	800	800	1000	600	600	600	230	170	300	900	900	400	150									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	3752	344	521	184	289	357	318	264	286	118	90	133	304	300	163	81									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	817	109	20	23	9	79	48	75	87	27	19	57	81	107	59	17									
6	Число погашенных избирательных бюллетеней	4881	547	459	593	502	564	234	261	227	85	61	110	515	493	178	52									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	817	109	20	23	9	79	48	75	87	27	19	57	81	107	59	17									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	3750	344	521	184	289	357	318	264	284	118	90	133	304	300	163	81									
9	Число недействительных избирательных бюллетеней	96	12	7	3	4	13	2	12	6	4	2	3	13	6	8	1									
10	Число действительных избирательных бюллетеней	4471	441	534	204	294	423	364	327	365	141	107	187	372	401	214	97									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	204	15	15	15	15	15	10	11	14	10	19	10	15	15	15	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	204	15	15	15	15	15	10	11	14	10	19	10	15	15	15	10									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	67	12	2	0	5	4	5	2	4	3	8	2	5	5	8	2									
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	46	9	11	2	4	6	8	1	1	0	0	0	1	1	1	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																										
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	54	6	3	0	5	6	2	5	1	2	2	11	4	2	4	1									
		1.18%	1.32%	0.55%	0.00%	1.68%	1.38%	0.55%	1.47%	0.27%	1.38%	1.83%	5.79%	1.04%	0.49%	1.80%	1.02%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	143	17	15	11	12	10	12	8	9	7	5	10	11	7	7	2									
		3.13%	3.75%	2.77%	5.31%	4.03%	2.29%	3.28%	2.36%	2.43%	4.83%	4.59%	5.26%	2.86%	1.72%	3.15%	2.04%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	101	14	9	10	8	10	4	7	8	2	2	2	7	10	7	1									
		2.21%	3.09%	1.66%	4.83%	2.68%	2.29%	1.09%	2.06%	2.16%	1.38%	1.83%	1.05%	1.82%	2.46%	3.15%	1.02%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2123	191	242	98	127	175	197	134	182	74	61	92	185	188	113	64									
		46.49%	42.16%	44.73%	47.34%	42.62%	40.14%	53.83%	39.53%	49.06%	51.03%	55.96%	48.42%	48.05%	46.19%	50.90%	65.31%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	33	4	3	2	2	8	2	0	1	1	0	1	7	0	1	1									
		0.72%	0.88%	0.55%	0.97%	0.67%	1.83%	0.55%	0.00%	0.27%	0.69%	0.00%	0.53%	1.82%	0.00%	0.45%	1.02%									
24	"6. Политическая партия ""Гражданская Платформа"""	24	2	3	0	1	5	1	2	2	0	0	0	2	6	0	0									
		0.53%	0.44%	0.55%	0.00%	0.34%	1.15%	0.27%	0.59%	0.54%	0.00%	0.00%	0.00%	0.52%	1.47%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	702	90	66	30	37	68	62	51	56	21	16	40	53	65	35	12									
		15.37%	19.87%	12.20%	14.49%	12.42%	15.60%	16.94%	15.04%	15.09%	14.48%	14.68%	21.05%	13.77%	15.97%	15.77%	12.24%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	20	3	2	0	1	2	2	0	5	0	1	0	2	0	2	0									
		0.44%	0.66%	0.37%	0.00%	0.34%	0.46%	0.55%	0.00%	1.35%	0.00%	0.92%	0.00%	0.52%	0.00%	0.90%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	50	5	6	1	3	5	3	1	4	1	1	2	10	5	1	2									
		1.09%	1.10%	1.11%	0.48%	1.01%	1.15%	0.82%	0.29%	1.08%	0.69%	0.92%	1.05%	2.60%	1.23%	0.45%	2.04%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	11	1	1	0	1	1	0	0	0	0	1	0	1	3	2	0									
		0.24%	0.22%	0.18%	0.00%	0.34%	0.23%	0.00%	0.00%	0.00%	0.00%	0.92%	0.00%	0.26%	0.74%	0.90%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	44	5	11	2	5	4	3	1	1	2	1	5	1	3	0	0									
