Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																	
Дата голосования: 18.09.2016																																																																	
																																																																	
Наименование Избирательной комиссии:    Куйбышевская																																																																	
																																																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																																																	
																																																																	
		Сумма	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587	УИК №588	УИК №589	УИК №590	УИК №591	УИК №592	УИК №593	УИК №594	УИК №595	УИК №596	УИК №597	УИК №598	УИК №599	УИК №600	УИК №601	УИК №602	УИК №603	УИК №604	УИК №605	УИК №606	УИК №607	УИК №608	УИК №609	УИК №610	УИК №611	УИК №612	УИК №613	УИК №614	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	46675	1152	90	284	471	225	376	311	100	550	589	781	300	306	517	164	184	250	278	534	1446	251	228	184	498	296	768	228	940	498	243	1394	1235	1393	1798	1685	1610	1572	1542	1469	1467	1185	1139	1197	1181	1235	1238	1351	1811	1523	1477	1245	1335	1255	1296									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	44280	1100	80	290	450	220	350	300	90	550	600	750	300	300	500	170	180	220	280	500	1450	250	200	170	500	280	750	200	900	450	200	1300	1000	1300	1700	1600	1600	1500	1500	1400	1400	1000	1000	1000	1100	1200	1200	1300	1700	1500	1400	1200	1300	1200	1300									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	17695	357	35	124	179	107	107	120	28	231	157	219	76	157	175	54	84	97	98	201	529	77	96	45	112	86	345	81	409	184	91	471	430	586	605	536	563	536	553	523	535	595	524	523	455	550	552	477	772	607	550	595	432	509	555									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1567	93	3	13	26	5	28	14	14	27	9	74	39	11	53	5	2	18	21	64	39	19	0	12	49	13	55	56	43	19	23	12	180	29	24	17	22	12	15	14	13	19	17	32	15	21	34	19	38	43	24	33	33	22	32									
6	Число погашенных избирательных бюллетеней	25018	650	42	153	245	108	215	166	48	292	434	457	185	132	272	111	94	105	161	235	882	154	104	113	339	181	350	63	448	247	86	817	390	685	1071	1047	1015	952	932	863	852	386	459	445	630	629	614	804	890	850	826	572	835	669	713									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1567	93	3	13	26	5	28	14	14	27	9	74	39	11	53	5	2	18	21	64	39	19	0	12	49	13	55	56	43	19	23	12	180	29	24	17	22	12	15	14	13	19	17	32	15	21	34	19	38	43	24	33	33	22	32									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	17692	357	35	124	179	107	107	120	28	231	157	219	76	157	175	54	84	97	98	201	529	77	96	45	112	86	345	81	409	184	91	471	430	586	605	536	563	536	553	523	535	595	524	521	455	550	552	477	772	606	550	595	432	509	555									
9	Число недействительных избирательных бюллетеней	880	20	2	4	11	8	4	8	2	18	13	14	3	17	17	4	4	3	4	5	34	0	7	2	10	0	14	5	28	9	3	19	61	23	22	35	34	21	21	18	28	18	20	27	22	20	16	17	35	28	24	26	20	32	20									
10	Число действительных избирательных бюллетеней	18379	430	36	133	194	104	131	126	40	240	153	279	112	151	211	55	82	112	115	260	534	96	89	55	151	99	386	132	424	194	111	464	549	592	607	518	551	527	547	519	520	596	521	526	448	551	570	479	775	621	550	602	445	499	567									
