Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																															
Дата голосования: 18.09.2016																																															
																																															
Наименование Избирательной комиссии:    Сузунская																																															
																																															
Сводная таблица итогов голосования по федеральному избирательному округу																																															
																																															
		Сумма	УИК №912	УИК №913	УИК №914	УИК №915	УИК №916	УИК №917	УИК №918	УИК №919	УИК №920	УИК №921	УИК №922	УИК №923	УИК №924	УИК №925	УИК №926	УИК №927	УИК №928	УИК №929	УИК №930	УИК №931	УИК №932	УИК №933	УИК №934	УИК №935	УИК №936	УИК №937	УИК №938	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946	УИК №947	УИК №948									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	25764	905	147	1249	1092	1751	1551	1639	1470	1744	1583	524	249	614	102	638	595	184	652	311	1280	147	627	710	179	1066	208	100	779	214	968	603	168	385	968	268	94									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	26220	880	150	1270	1150	1750	1560	1670	1480	1770	1580	530	250	630	100	640	620	190	670	310	1310	150	620	730	180	1090	210	110	810	220	1010	610	180	410	1000	280	100									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	10241	286	36	484	546	629	524	556	416	593	471	232	115	265	55	307	305	116	378	212	582	69	331	302	69	332	78	31	281	76	365	333	84	211	413	111	47									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	962	59	1	56	42	22	22	33	35	35	32	70	37	25	0	27	31	2	16	8	48	0	48	28	11	62	5	3	19	4	36	43	20	26	32	16	8									
6	Число погашенных избирательных бюллетеней	15017	535	113	730	562	1099	1014	1081	1029	1142	1077	228	98	340	45	306	284	72	276	90	680	81	241	400	100	696	127	76	510	140	609	234	76	173	555	153	45									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	962	59	1	56	42	22	22	33	35	35	32	70	37	25	0	27	31	2	16	8	48	0	48	28	11	62	5	3	19	4	36	43	20	26	32	16	8									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	10241	286	36	484	546	629	524	556	416	593	471	232	115	265	55	307	305	116	378	212	582	69	331	302	69	332	78	31	281	76	365	333	84	211	413	111	47									
9	Число недействительных избирательных бюллетеней	257	10	2	15	12	25	19	12	16	11	7	4	4	4	0	6	6	5	11	2	6	0	5	6	1	5	1	1	7	2	4	19	1	7	13	8	0									
10	Число действительных избирательных бюллетеней	10946	335	35	525	576	626	527	577	435	617	496	298	148	286	55	328	330	113	383	218	624	69	374	324	79	389	82	33	293	78	397	357	103	230	432	119	55									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	497	16	10	27	25	40	25	25	24	25	25	10	5	10	5	10	10	5	10	5	20	5	10	10	5	20	5	5	15	5	20	15	5	10	25	5	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	441	16	9	27	25	40	9	16	8	25	25	10	5	10	5	10	10	5	10	5	20	5	10	5	5	20	5	5	15	5	20	6	5	10	25	5	5									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	193	5	5	7	11	17	8	6	12	11	18	5	5	1	5	8	3	4	4	1	2	4	3	5	2	4	3	1	3	2	6	8	3	4	3	3	1									
14	Число погашенных неиспользованных открепительных удостоверений	56	0	1	0	0	0	16	9	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	9	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	93	9	1	14	13	10	5	7	8	9	5	0	1	0	1	1	1	0	0	0	1	1	0	1	0	0	0	0	0	1	2	0	0	0	0	2	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																															
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	167	6	1	17	19	14	10	13	7	9	10	2	6	2	0	3	4	0	1	0	9	0	5	2	0	4	1	0	3	0	8	5	0	0	4	2	0									
		1.49%	1.74%	2.70%	3.15%	3.23%	2.15%	1.83%	2.21%	1.55%	1.43%	1.99%	0.66%	3.95%	0.69%	0.00%	0.90%	1.19%	0.00%	0.25%	0.00%	1.43%	0.00%	1.32%	0.61%	0.00%	1.02%	1.20%	0.00%	1.00%	0.00%	1.99%	1.33%	0.00%	0.00%	0.90%	1.57%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	382	11	2	18	24	14	22	20	13	20	26	4	7	8	0	12	9	2	10	8	15	2	9	12	2	20	1	2	12	2	16	19	4	17	10	8	1									
		3.41%	3.19%	5.41%	3.33%	4.08%	2.15%	4.03%	3.40%	2.88%	3.18%	5.17%	1.32%	4.61%	2.76%	0.00%	3.59%	2.68%	1.69%	2.54%	3.64%	2.38%	2.90%	2.37%	3.64%	2.50%	5.08%	1.20%	5.88%	4.00%	2.50%	3.99%	5.05%	3.85%	7.17%	2.25%	6.30%	1.82%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	200	14	0	12	12	9	11	11	11	17	11	5	1	3	0	5	4	0	1	5	12	0	3	9	0	12	0	0	5	0	3	8	0	2	10	2	2									
		1.79%	4.06%	0.00%	2.22%	2.04%	1.38%	2.01%	1.87%	2.44%	2.71%	2.19%	1.66%	0.66%	1.03%	0.00%	1.50%	1.19%	0.00%	0.25%	2.27%	1.90%	0.00%	0.79%	2.73%	0.00%	3.05%	0.00%	0.00%	1.67%	0.00%	0.75%	2.13%	0.00%	0.84%	2.25%	1.57%	3.64%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	5318	127	18	208	245	265	221	239	186	239	207	179	72	119	20	185	178	93	265	149	360	33	225	173	60	159	62	18	163	36	179	187	46	125	187	56	34									
		47.47%	36.81%	48.65%	38.52%	41.67%	40.71%	40.48%	40.58%	41.24%	38.06%	41.15%	59.27%	47.37%	41.03%	36.36%	55.39%	52.98%	78.81%	67.26%	67.73%	57.14%	47.83%	59.37%	52.42%	75.00%	40.36%	74.70%	52.94%	54.33%	45.00%	44.64%	49.73%	44.23%	52.74%	42.02%	44.09%	61.82%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	61	0	1	3	8	9	4	5	2	2	6	2	0	1	1	0	3	0	0	0	1	0	2	1	0	2	0	0	1	0	3	1	0	1	2	0	0									
		0.54%	0.00%	2.70%	0.56%	1.36%	1.38%	0.73%	0.85%	0.44%	0.32%	1.19%	0.66%	0.00%	0.34%	1.82%	0.00%	0.89%	0.00%	0.00%	0.00%	0.16%	0.00%	0.53%	0.30%	0.00%	0.51%	0.00%	0.00%	0.33%	0.00%	0.75%	0.27%	0.00%	0.42%	0.45%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	31	2	0	0	2	2	1	2	1	0	2	0	2	0	0	1	0	0	2	0	4	0	0	2	0	0	0	2	1	0	1	1	0	1	1	0	1									
		0.28%	0.58%	0.00%	0.00%	0.34%	0.31%	0.18%	0.34%	0.22%	0.00%	0.40%	0.00%	1.32%	0.00%	0.00%	0.30%	0.00%	0.00%	0.51%	0.00%	0.63%	0.00%	0.00%	0.61%	0.00%	0.00%	0.00%	5.88%	0.33%	0.00%	0.25%	0.27%	0.00%	0.42%	0.22%	0.00%	1.82%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2817	103	9	137	125	179	131	166	126	182	136	71	38	107	30	71	67	15	63	24	142	23	92	74	11	135	11	6	46	33	128	70	29	54	154	23	6									
		25.15%	29.86%	24.32%	25.37%	21.26%	27.50%	23.99%	28.18%	27.94%	28.98%	27.04%	23.51%	25.00%	36.90%	54.55%	21.26%	19.94%	12.71%	15.99%	10.91%	22.54%	33.33%	24.27%	22.42%	13.75%	34.26%	13.25%	17.65%	15.33%	41.25%	31.92%	18.62%	27.88%	22.78%	34.61%	18.11%	10.91%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	26	2	0	5	2	1	4	2	1	2	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0									
		0.23%	0.58%	0.00%	0.93%	0.34%	0.15%	0.73%	0.34%	0.22%	0.32%	0.20%	0.00%	0.00%	0.00%	0.00%	0.30%	0.00%	0.00%	0.00%	0.00%	0.16%	0.00%	0.00%	0.00%	0.00%	0.25%	0.00%	0.00%	0.33%	0.00%	0.00%	0.00%	0.00%	0.42%	0.22%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	66	2	0	8	3	6	5	7	7	7	2	2	2	1	0	1	1	0	2	0	1	0	1	1	0	1	0	0	1	0	0	1	0	2	2	0	0									
		0.59%	0.58%	0.00%	1.48%	0.51%	0.92%	0.92%	1.19%	1.55%	1.11%	0.40%	0.66%	1.32%	0.34%	0.00%	0.30%	0.30%	0.00%	0.51%	0.00%	0.16%	0.00%	0.26%	0.30%	0.00%	0.25%	0.00%	0.00%	0.33%	0.00%	0.00%	0.27%	0.00%	0.84%	0.45%	0.00%	0.00%									
