Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																																																									
Дата голосования: 18.09.2016																																																																																																																									
																																																																																																																									
"Наименование Избирательной комиссии:    Новосибирск, Ленинская"																																																																																																																									
																																																																																																																									
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																																																									
																																																																																																																									
		Сумма	УИК №1709	УИК №1710	УИК №1711	УИК №1712	УИК №1713	УИК №1714	УИК №1715	УИК №1716	УИК №1717	УИК №1718	УИК №1719	УИК №1720	УИК №1721	УИК №1722	УИК №1723	УИК №1724	УИК №1725	УИК №1726	УИК №1727	УИК №1728	УИК №1729	УИК №1730	УИК №1731	УИК №1732	УИК №1733	УИК №1734	УИК №1735	УИК №1736	УИК №1737	УИК №1738	УИК №1739	УИК №1740	УИК №1741	УИК №1742	УИК №1743	УИК №1744	УИК №1745	УИК №1746	УИК №1747	УИК №1748	УИК №1749	УИК №1750	УИК №1751	УИК №1752	УИК №1753	УИК №1754	УИК №1755	УИК №1756	УИК №1757	УИК №1758	УИК №1759	УИК №1760	УИК №1761	УИК №1762	УИК №1763	УИК №1764	УИК №1765	УИК №1766	УИК №1767	УИК №1768	УИК №1769	УИК №1770	УИК №1771	УИК №1772	УИК №1773	УИК №1774	УИК №1775	УИК №1776	УИК №1777	УИК №1778	УИК №1779	УИК №1780	УИК №1781	УИК №1782	УИК №1783	УИК №1784	УИК №1785	УИК №1786	УИК №1787	УИК №1788	УИК №1789	УИК №1790	УИК №1791	УИК №1792	УИК №1793	УИК №1794	УИК №1795	УИК №1796	УИК №1797	УИК №1798	УИК №1799	УИК №1800	УИК №1801	УИК №1802	УИК №1803	УИК №1804	УИК №1805	УИК №1806	УИК №1807	УИК №1808	УИК №1809	УИК №1810	УИК №1811	УИК №1812	УИК №1813	УИК №2030	УИК №2031	УИК №2032	УИК №2033	УИК №2034									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	221528	1751	1137	2760	2614	2580	2477	1009	2289	1160	1189	1076	1316	2245	1896	1566	2913	2769	2590	2365	1571	1925	2767	1280	825	999	1823	2766	2067	2335	2388	2642	2753	1957	2320	2159	2110	2416	2530	2780	2148	2728	2527	2771	2552	2459	2297	2197	2458	2079	2830	2470	2581	1517	2369	2447	2789	2320	2541	2242	1988	1814	1758	1918	1996	1612	2041	2604	2232	2759	2485	2412	2561	2208	2161	1955	2251	2486	2481	1754	2148	1308	1597	1423	1736	1405	2446	1649	1528	2509	1518	1798	2010	1387	2309	2343	1647	1516	782	2566	2708	2117	2309	2405	2421	1534	132	46	58	60	200									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	214595	1700	1100	2600	2500	2500	2400	900	2200	1100	1100	1000	1300	2100	1800	1500	2800	2700	2500	2300	1500	1900	2700	1200	800	900	1700	2600	2000	2300	2300	2600	2700	1900	2200	2100	2100	2400	2500	2700	2100	2600	2500	2700	2500	2300	2200	2100	2400	2000	2700	2400	2500	1500	2300	2400	2700	2300	2400	2200	1900	1800	1700	1900	2000	1600	2000	2500	2200	2700	2400	2400	2500	2200	2100	1900	2200	2400	2400	1700	2100	1300	1500	1400	1700	1400	2400	1600	1500	2400	1500	1700	2000	1300	2300	2300	1600	1500	700	2200	2600	2100	2200	2400	2400	1500	134	42	58	62	199									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	60940	538	359	882	770	656	659	316	409	337	367	380	433	691	539	519	894	659	614	559	291	517	857	270	124	228	292	656	477	738	661	676	820	611	608	533	563	668	698	718	582	737	743	874	837	570	523	610	666	603	730	669	646	505	677	707	588	719	875	715	363	400	460	445	581	430	558	649	645	679	641	660	779	580	647	591	603	794	730	458	673	360	466	473	507	359	714	586	299	655	383	503	666	484	563	623	437	440	201	669	735	552	730	658	710	373	26	23	58	4	154									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1325	14	6	5	1	3	0	7	4	13	8	15	8	29	16	8	8	8	15	44	27	4	20	17	0	5	20	56	5	5	7	11	6	6	34	5	8	8	10	8	6	19	20	6	7	2	5	5	13	28	10	0	23	10	11	10	14	10	7	13	10	9	12	10	8	14	7	10	10	9	9	7	3	6	4	3	13	9	11	12	7	20	7	5	5	4	4	5	6	12	4	12	22	13	2	8	3	8	14	18	8	32	11	18	13	24	93	6	0	56	16									
6	Число погашенных избирательных бюллетеней	152330	1148	735	1713	1729	1841	1741	577	1787	750	725	605	859	1380	1245	973	1898	2033	1871	1697	1182	1379	1823	913	676	667	1388	1888	1518	1557	1632	1913	1874	1283	1558	1562	1529	1724	1792	1974	1512	1844	1737	1820	1656	1728	1672	1485	1721	1369	1960	1731	1831	985	1612	1683	2098	1571	1518	1472	1527	1391	1228	1445	1411	1156	1435	1841	1545	2012	1750	1733	1718	1614	1449	1306	1584	1597	1659	1230	1420	920	1027	922	1188	1037	1682	1009	1195	1733	1113	1185	1312	803	1735	1669	1160	1052	485	1513	1857	1516	1459	1724	1677	1103	15	13	0	2	29									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1325	14	6	5	1	3	0	7	4	13	8	15	8	29	16	8	8	8	15	44	27	4	20	17	0	5	20	56	5	5	7	11	6	6	34	5	8	8	10	8	6	19	20	6	7	2	5	5	13	28	10	0	23	10	11	10	14	10	7	13	10	9	12	10	8	14	7	10	10	9	9	7	3	6	4	3	13	9	11	12	7	20	7	5	5	4	4	5	6	12	4	12	22	13	2	8	3	8	14	18	8	32	11	18	13	24	93	6	0	56	16									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	60827	537	358	882	770	656	659	316	409	336	367	379	433	689	538	519	893	659	614	559	291	517	857	270	124	228	292	656	477	738	659	675	820	611	608	528	563	668	695	718	582	737	743	874	830	569	523	610	666	603	730	669	646	504	666	707	587	719	823	715	363	399	460	445	579	429	558	649	645	678	641	660	778	580	647	591	602	794	730	458	673	360	459	473	507	359	711	586	299	655	383	503	666	484	563	622	437	440	201	669	735	552	727	658	710	373	26	23	58	4	154									
9	Число недействительных избирательных бюллетеней	1363	10	6	10	18	7	8	3	11	1	5	10	10	19	8	8	17	12	20	10	5	6	22	8	2	3	5	11	5	18	30	19	7	17	12	10	11	13	17	14	12	13	22	25	16	4	16	15	21	9	23	11	19	13	19	14	7	18	23	15	7	10	5	13	18	17	13	17	18	14	18	12	14	9	18	19	12	28	13	4	18	12	9	15	18	11	16	20	6	10	7	8	14	9	7	10	15	3	9	14	19	17	20	9	15	15	9	1	0	0	5									
10	Число действительных избирательных бюллетеней	60789	541	358	877	753	652	651	320	402	348	370	384	431	699	546	519	884	655	609	593	313	515	855	279	122	230	307	701	477	725	636	667	819	600	630	523	560	663	688	712	576	743	741	855	821	567	512	600	658	622	717	658	650	501	658	703	594	711	807	713	366	398	467	442	569	426	552	642	637	673	632	655	767	577	633	575	603	775	728	466	662	368	457	463	494	352	699	571	299	657	380	507	674	488	558	620	425	445	206	673	724	567	718	667	708	382	110	28	58	60	165									
