Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																				
Дата голосования: 18.09.2016																																				
																																				
Наименование Избирательной комиссии:    Зольская																																				
																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																				
																																				
		Сумма	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	29551	529	1541	1039	396	171	1021	884	1673	1377	749	1580	1183	1396	1792	1566	1865	408	1014	1103	1136	1119	1003	1987	1783	1236									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	29300	520	1530	1030	390	170	1010	870	1690	1350	740	1600	1170	1380	1780	1550	1830	400	1000	1090	1120	1110	990	1980	1770	1230									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	24513	399	1162	899	305	145	868	758	671	1099	594	1461	981	1231	1647	1421	1720	352	904	953	1023	973	892	1637	1391	1027									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2036	26	94	55	50	9	60	60	175	188	95	11	101	52	37	50	47	26	31	72	37	72	34	240	285	129									
6	Число погашенных избирательных бюллетеней	2751	95	274	76	35	16	82	52	844	63	51	128	88	97	96	79	63	22	65	65	60	65	64	103	94	74									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2036	26	94	55	50	9	60	60	175	188	95	11	101	52	37	50	47	26	31	72	37	72	34	240	285	129									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	24513	399	1162	899	305	145	868	758	671	1099	594	1461	981	1231	1647	1421	1720	352	904	953	1023	973	892	1637	1391	1027									
9	Число недействительных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
10	Число действительных избирательных бюллетеней	26549	425	1256	954	355	154	928	818	846	1287	689	1472	1082	1283	1684	1471	1767	378	935	1025	1060	1045	926	1877	1676	1156									
