Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																															
Дата голосования: 18.09.2016																															
																															
Наименование Избирательной комиссии:    Малосердобинская																															
																															
Сводная таблица итогов голосования по федеральному избирательному округу																															
																															
		Сумма	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	7453	395	385	874	965	475	517	493	305	54	78	245	317	317	218	396	621	75	392	280	51									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	8167	405	403	891	1010	497	534	988	312	56	78	257	346	322	223	398	628	78	401	289	51									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4041	214	224	375	464	155	228	323	179	45	48	119	227	249	185	227	384	56	189	117	33									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	938	60	42	73	88	92	66	170	44	4	12	33	27	27	17	19	60	16	50	31	7									
6	Число погашенных избирательных бюллетеней	3188	131	137	443	458	250	240	495	89	7	18	105	92	46	21	152	184	6	162	141	11									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	938	60	42	73	88	92	66	170	44	4	12	33	27	27	17	19	60	16	50	31	7									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4041	214	224	375	464	155	228	323	179	45	48	119	227	249	185	227	384	56	189	117	33									
9	Число недействительных избирательных бюллетеней	53	4	4	4	5	0	3	4	0	0	0	1	5	5	13	0	0	4	0	1	0									
10	Число действительных избирательных бюллетеней	4926	270	262	444	547	247	291	489	223	49	60	151	249	271	189	246	444	68	239	147	40									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	253	10	12	23	34	19	19	32	5	4	4	13	26	5	5	5	9	4	10	10	4									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	206	9	12	23	34	18	16	32	5	0	0	11	21	2	1	0	7	2	7	6	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	35	9	1	2	2	3	3	3	0	0	2	1	0	0	0	3	2	2	1	0	1									
14	Число погашенных неиспользованных открепительных удостоверений	47	1	0	0	0	1	3	0	0	4	4	2	5	3	4	5	2	2	3	4	4									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	44	1	5	6	7	5	2	6	2	0	0	1	4	2	1	0	2	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																															
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	29	1	3	5	5	3	1	4	1	0	0	1	0	1	0	0	1	0	1	2	0									
		0.58%	0.36%	1.13%	1.12%	0.91%	1.21%	0.34%	0.81%	0.45%	0.00%	0.00%	0.66%	0.00%	0.36%	0.00%	0.00%	0.23%	0.00%	0.42%	1.35%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	163	11	6	16	20	17	7	20	7	1	3	9	4	3	3	10	13	1	3	8	1									
		3.27%	4.01%	2.26%	3.57%	3.62%	6.88%	2.38%	4.06%	3.14%	2.04%	5.00%	5.92%	1.57%	1.09%	1.49%	4.07%	2.93%	1.39%	1.26%	5.41%	2.50%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	88	7	4	7	18	5	15	7	2	0	0	7	3	1	1	1	4	0	3	3	0									
		1.77%	2.55%	1.50%	1.56%	3.26%	2.02%	5.10%	1.42%	0.90%	0.00%	0.00%	4.61%	1.18%	0.36%	0.50%	0.41%	0.90%	0.00%	1.26%	2.03%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2897	108	176	196	242	116	139	265	159	41	43	85	201	217	127	155	304	56	160	80	27									
		58.18%	39.42%	66.17%	43.75%	43.84%	46.96%	47.28%	53.75%	71.30%	83.67%	71.67%	55.92%	79.13%	78.62%	62.87%	63.01%	68.47%	77.78%	66.95%	54.05%	67.50%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	16	0	0	3	3	0	1	1	1	0	0	1	0	0	0	0	3	0	1	2	0									
		0.32%	0.00%	0.00%	0.67%	0.54%	0.00%	0.34%	0.20%	0.45%	0.00%	0.00%	0.66%	0.00%	0.00%	0.00%	0.00%	0.68%	0.00%	0.42%	1.35%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	10	1	0	2	0	0	2	1	0	0	0	0	1	1	0	1	0	0	0	1	0									
		0.20%	0.36%	0.00%	0.45%	0.00%	0.00%	0.68%	0.20%	0.00%	0.00%	0.00%	0.00%	0.39%	0.36%	0.00%	0.41%	0.00%	0.00%	0.00%	0.68%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	591	21	18	98	80	41	48	65	34	3	7	15	17	19	12	24	33	4	20	27	5									
		11.87%	7.66%	6.77%	21.88%	14.49%	16.60%	16.33%	13.18%	15.25%	6.12%	11.67%	9.87%	6.69%	6.88%	5.94%	9.76%	7.43%	5.56%	8.37%	18.24%	12.50%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	16	5	0	3	0	1	0	0	1	0	0	0	0	0	1	2	1	0	0	2	0									
		0.32%	1.82%	0.00%	0.67%	0.00%	0.40%	0.00%	0.00%	0.45%	0.00%	0.00%	0.00%	0.00%	0.00%	0.50%	0.81%	0.23%	0.00%	0.00%	1.35%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	20	2	2	3	2	0	3	2	0	0	1	0	0	0	0	1	0	0	1	3	0									
		0.40%	0.73%	0.75%	0.67%	0.36%	0.00%	1.02%	0.41%	0.00%	0.00%	1.67%	0.00%	0.00%	0.00%	0.00%	0.41%	0.00%	0.00%	0.42%	2.03%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	4	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0									
		0.08%	0.00%	0.38%	0.00%	0.00%	0.00%	0.68%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.23%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	35	3	0	5	8	2	3	4	3	0	0	4	0	0	0	0	2	1	0	0	0									
		0.70%	1.09%	0.00%	1.12%	1.45%	0.81%	1.02%	0.81%	1.35%	0.00%	0.00%	2.63%	0.00%	0.00%	0.00%	0.00%	0.45%	1.39%	0.00%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	899	105	46	95	132	56	52	104	14	4	5	25	21	26	27	42	77	5	45	15	3									
		18.06%	38.32%	17.29%	21.21%	23.91%	22.67%	17.69%	21.10%	6.28%	8.16%	8.33%	16.45%	8.27%	9.42%	13.37%	17.07%	17.34%	6.94%	18.83%	10.14%	7.50%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	9	2	0	0	2	1	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0									
		0.18%	0.73%	0.00%	0.00%	0.36%	0.40%	0.34%	0.41%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.41%	0.00%	0.00%	0.00%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	149	4	6	11	35	5	17	14	1	0	1	4	2	3	18	9	5	1	5	4	4									
		2.99%	1.46%	2.26%	2.46%	6.34%	2.02%	5.78%	2.84%	0.45%	0.00%	1.67%	2.63%	0.79%	1.09%	8.91%	3.66%	1.13%	1.39%	2.09%	2.70%	10.00%									
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
