Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																	
Дата голосования: 18.09.2016																																	
																																	
Наименование Избирательной комиссии:    Куньинская																																	
																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																	
																																	
		Сумма	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	7403	695	829	332	756	126	158	207	291	597	231	314	303	169	223	129	178	339	156	441	496	240	193									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	7425	700	850	325	750	125	150	200	300	600	225	300	300	175	225	150	200	350	150	425	500	225	200									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	2691	264	376	124	307	17	38	42	93	194	59	85	144	85	107	58	51	111	54	177	144	107	54									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1225	23	20	17	51	45	43	54	60	93	76	94	48	46	55	33	61	94	68	76	79	42	47									
6	Число погашенных избирательных бюллетеней	3509	413	454	184	392	63	69	104	147	313	90	121	108	44	63	59	88	145	28	172	277	76	99									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1225	23	20	17	51	45	43	54	60	93	76	94	48	46	55	33	61	94	68	76	79	42	47									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	2690	264	376	124	307	17	38	42	93	194	59	85	144	85	107	58	51	111	54	176	144	107	54									
9	Число недействительных избирательных бюллетеней	57	5	5	7	2	1	1	0	2	6	5	2	4	0	0	0	0	4	1	7	3	0	2									
10	Число действительных избирательных бюллетеней	3858	282	391	134	356	61	80	96	151	281	130	177	188	131	162	91	112	201	121	245	220	149	99									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	220	10	10	5	10	5	5	5	5	10	10	10	10	10	15	15	15	20	15	10	10	5	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	209	10	10	5	10	5	3	5	5	10	10	10	10	10	15	15	15	15	15	10	6	5	10									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	83	16	6	1	11	0	8	4	3	2	0	3	2	0	1	5	0	4	3	6	7	1	0									
14	Число погашенных неиспользованных открепительных удостоверений	11	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	5	0	0	4	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	80	15	4	2	16	0	0	4	0	1	0	4	0	0	4	3	10	5	1	3	8	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																	
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	33	1	4	0	9	0	1	1	1	4	1	2	2	0	1	0	0	0	0	4	0	0	2									
		0.84%	0.35%	1.01%	0.00%	2.51%	0.00%	1.23%	1.04%	0.65%	1.39%	0.74%	1.12%	1.04%	0.00%	0.62%	0.00%	0.00%	0.00%	0.00%	1.59%	0.00%	0.00%	1.98%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	126	12	16	8	12	3	2	2	0	14	8	2	4	0	5	4	2	11	2	6	4	6	3									
		3.22%	4.18%	4.04%	5.67%	3.35%	4.84%	2.47%	2.08%	0.00%	4.88%	5.93%	1.12%	2.08%	0.00%	3.09%	4.40%	1.79%	5.37%	1.64%	2.38%	1.79%	4.03%	2.97%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	80	9	16	3	6	2	7	2	2	4	0	1	3	0	2	0	1	0	3	6	6	3	4									
		2.04%	3.14%	4.04%	2.13%	1.68%	3.23%	8.64%	2.08%	1.31%	1.39%	0.00%	0.56%	1.56%	0.00%	1.23%	0.00%	0.89%	0.00%	2.46%	2.38%	2.69%	2.01%	3.96%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2158	137	190	69	203	39	52	59	93	163	60	113	116	97	108	61	85	115	65	111	110	83	29									
		55.12%	47.74%	47.98%	48.94%	56.70%	62.90%	64.20%	61.46%	60.78%	56.79%	44.44%	63.13%	60.42%	74.05%	66.67%	67.03%	75.89%	56.10%	53.28%	44.05%	49.33%	55.70%	28.71%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	10	3	2	0	1	0	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0									
		0.26%	1.05%	0.51%	0.00%	0.28%	0.00%	1.23%	0.00%	0.00%	0.35%	0.74%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.40%	0.00%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	6	1	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0									
		0.15%	0.35%	0.00%	0.00%	0.00%	0.00%	1.23%	0.00%	0.00%	0.70%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.90%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	511	33	57	23	46	7	8	17	16	33	21	22	19	12	13	6	9	30	19	39	40	19	22									
		13.05%	11.50%	14.39%	16.31%	12.85%	11.29%	9.88%	17.71%	10.46%	11.50%	15.56%	12.29%	9.90%	9.16%	8.02%	6.59%	8.04%	14.63%	15.57%	15.48%	17.94%	12.75%	21.78%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	10	1	1	2	1	0	0	0	1	0	0	1	0	0	0	0	0	1	1	1	0	0	0									
