Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																								
Дата голосования: 18.09.2016																								
																								
Наименование Избирательной комиссии:    Плюсская																								
																								
Сводная таблица итогов голосования по федеральному избирательному округу																								
																								
		Сумма	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548	УИК №549	УИК №550									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	7508	296	252	799	267	298	1882	937	256	399	414	368	406	934									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	7500	300	250	800	275	300	1900	950	250	400	400	375	400	900									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	2318	90	63	242	79	79	656	301	82	92	96	176	72	290									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1263	59	77	93	56	81	169	45	65	112	127	52	257	70									
6	Число погашенных избирательных бюллетеней	3919	151	110	465	140	140	1075	604	103	196	177	147	71	540									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1263	59	77	93	56	81	169	45	65	112	127	52	257	70									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	2318	90	63	242	79	79	656	301	82	92	96	176	72	290									
9	Число недействительных избирательных бюллетеней	45	2	0	10	1	0	12	6	0	0	3	1	0	10									
10	Число действительных избирательных бюллетеней	3536	147	140	325	134	160	813	340	147	204	220	227	329	350									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	198	5	5	25	5	5	63	15	10	10	10	10	10	25									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	20	0	0	2	0	0	8	0	0	2	1	0	5	2									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	62	3	0	5	8	3	8	1	3	6	1	5	15	4									
14	Число погашенных неиспользованных открепительных удостоверений	178	5	5	23	5	5	55	15	10	8	9	10	5	23									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	2	0	0	0	0	0	1	1	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																								
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	29	3	0	2	1	3	5	2	1	2	1	0	1	8									
		0.81%	2.01%	0.00%	0.60%	0.74%	1.88%	0.61%	0.58%	0.68%	0.98%	0.45%	0.00%	0.30%	2.22%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	75	2	2	6	2	5	17	10	1	1	8	8	4	9									
		2.09%	1.34%	1.43%	1.79%	1.48%	3.13%	2.06%	2.89%	0.68%	0.49%	3.59%	3.51%	1.22%	2.50%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	84	4	2	12	1	3	14	9	3	7	6	1	7	15									
		2.35%	2.68%	1.43%	3.58%	0.74%	1.88%	1.70%	2.60%	2.04%	3.43%	2.69%	0.44%	2.13%	4.17%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2052	63	82	198	78	106	412	178	94	108	164	157	237	175									
		57.30%	42.28%	58.57%	59.10%	57.78%	66.25%	49.94%	51.45%	63.95%	52.94%	73.54%	68.86%	72.04%	48.61%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	17	2	0	3	1	4	4	0	0	2	0	0	0	1									
		0.47%	1.34%	0.00%	0.90%	0.74%	2.50%	0.48%	0.00%	0.00%	0.98%	0.00%	0.00%	0.00%	0.28%									
24	"6. Политическая партия ""Гражданская Платформа"""	8	0	1	1	1	1	0	1	0	0	0	1	0	2									
		0.22%	0.00%	0.71%	0.30%	0.74%	0.63%	0.00%	0.29%	0.00%	0.00%	0.00%	0.44%	0.00%	0.56%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	506	24	18	51	13	17	147	45	15	51	26	24	38	37									
		14.13%	16.11%	12.86%	15.22%	9.63%	10.63%	17.82%	13.01%	10.20%	25.00%	11.66%	10.53%	11.55%	10.28%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	9	0	0	1	0	0	2	2	0	0	0	2	0	2									
		0.25%	0.00%	0.00%	0.30%	0.00%	0.00%	0.24%	0.58%	0.00%	0.00%	0.00%	0.88%	0.00%	0.56%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	44	3	0	4	3	1	14	4	0	3	1	4	0	7									
		1.23%	2.01%	0.00%	1.19%	2.22%	0.63%	1.70%	1.16%	0.00%	1.47%	0.45%	1.75%	0.00%	1.94%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	5	0	0	0	0	0	0	5	0	0	0	0	0	0									
		0.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.45%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	41	4	0	1	1	5	9	11	0	0	2	0	6	2									
		1.14%	2.68%	0.00%	0.30%	0.74%	3.13%	1.09%	3.18%	0.00%	0.00%	0.90%	0.00%	1.82%	0.56%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	439	24	21	30	21	10	129	50	13	18	6	23	22	72									
		12.26%	16.11%	15.00%	8.96%	15.56%	6.25%	15.64%	14.45%	8.84%	8.82%	2.69%	10.09%	6.69%	20.00%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	10	1	0	2	0	0	2	1	0	2	1	0	0	1									
		0.28%	0.67%	0.00%	0.60%	0.00%	0.00%	0.24%	0.29%	0.00%	0.98%	0.45%	0.00%	0.00%	0.28%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	217	17	14	14	12	5	58	22	20	10	5	7	14	19									
		6.06%	11.41%	10.00%	4.18%	8.89%	3.13%	7.03%	6.36%	13.61%	4.90%	2.24%	3.07%	4.26%	5.28%									
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
