Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																							
Дата голосования: 18.09.2016																																							
																																							
Наименование Избирательной комиссии:    Милютинская																																							
																																							
Сводная таблица итогов голосования по федеральному избирательному округу																																							
																																							
		Сумма	УИК №1175	УИК №1176	УИК №1177	УИК №1178	УИК №1179	УИК №1180	УИК №1181	УИК №1182	УИК №1183	УИК №1184	УИК №1185	УИК №1186	УИК №1187	УИК №1188	УИК №1189	УИК №1190	УИК №1191	УИК №1192	УИК №1193	УИК №1194	УИК №1195	УИК №1196	УИК №1197	УИК №1198	УИК №1199	УИК №1200	УИК №1201	УИК №1202									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	12146	116	596	432	446	166	725	380	290	787	329	438	347	90	362	192	279	296	368	208	569	489	1062	1117	927	229	169	511	226									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	12394	117	606	451	453	169	737	380	298	802	334	440	354	92	375	195	292	298	376	212	590	493	1096	1120	942	237	179	519	237									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	7801	82	460	275	288	126	545	260	216	493	251	190	230	72	296	134	226	235	244	148	275	245	709	546	476	137	117	370	155									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1278	7	111	55	74	27	99	83	45	34	20	86	49	9	33	22	15	24	38	14	85	68	43	57	63	43	15	45	14									
6	Число погашенных избирательных бюллетеней	3315	28	35	121	91	16	93	37	37	275	63	164	75	11	46	39	51	39	94	50	230	180	344	517	403	57	47	104	68									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1278	7	111	55	74	27	99	83	45	34	20	86	49	9	33	22	15	24	38	14	85	68	43	57	63	43	15	45	14									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	7801	82	460	275	288	126	545	260	216	493	251	190	230	72	296	134	226	235	244	148	275	245	709	546	476	137	117	370	155									
9	Число недействительных избирательных бюллетеней	56	0	0	0	0	0	0	0	0	6	0	0	0	0	1	0	5	2	2	2	6	2	5	11	6	0	1	3	4									
10	Число действительных избирательных бюллетеней	9023	89	571	330	362	153	644	343	261	521	271	276	279	81	328	156	236	257	280	160	354	311	747	592	533	180	131	412	165									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	354	5	18	10	5	5	20	10	10	20	10	15	15	1	10	5	10	10	10	10	20	20	30	35	15	10	5	10	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	145	0	0	10	2	1	4	0	8	1	0	3	0	0	8	0	2	1	0	1	13	5	30	35	5	6	0	2	8									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	44	2	1	0	1	1	0	1	1	1	0	3	1	2	1	0	3	2	2	0	1	2	8	7	2	0	0	1	1									
14	Число погашенных неиспользованных открепительных удостоверений	209	5	18	0	3	4	16	10	2	19	10	12	15	1	2	5	8	9	10	9	7	15	0	0	10	4	5	8	2									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	28	0	1	0	3	0	0	1	1	1	1	0	0	0	1	0	0	1	0	1	3	1	2	4	6	0	1	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																							
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	47	0	4	0	1	0	1	1	0	6	0	1	2	0	0	1	3	2	0	1	2	2	5	4	4	0	0	6	1									
		0.52%	0.00%	0.70%	0.00%	0.28%	0.00%	0.16%	0.29%	0.00%	1.14%	0.00%	0.36%	0.72%	0.00%	0.00%	0.64%	1.24%	0.77%	0.00%	0.62%	0.56%	0.64%	0.66%	0.66%	0.74%	0.00%	0.00%	1.45%	0.59%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	147	1	28	1	5	0	13	0	0	14	0	2	0	1	1	2	2	4	2	5	2	11	3	18	16	6	3	5	2									
		1.62%	1.12%	4.90%	0.30%	1.38%	0.00%	2.02%	0.00%	0.00%	2.66%	0.00%	0.72%	0.00%	1.23%	0.30%	1.28%	0.83%	1.54%	0.71%	3.09%	0.56%	3.51%	0.40%	2.99%	2.97%	3.33%	2.27%	1.20%	1.18%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	73	0	6	1	0	0	5	1	0	8	4	1	2	0	2	2	0	1	0	2	1	6	7	11	11	1	1	0	0									
