Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																													
Дата голосования: 18.09.2016																													
																													
Наименование Избирательной комиссии:    Путятинская																													
																													
Сводная таблица итогов голосования по федеральному избирательному округу																													
																													
		Сумма	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	6655	290	63	171	327	227	284	301	257	193	171	116	667	1438	1533	171	117	132	197									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	6610	290	60	170	330	220	280	290	250	190	170	110	660	1450	1550	170	110	120	190									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	2858	186	42	116	264	75	156	114	95	65	73	61	293	413	661	51	56	54	83									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	613	17	16	18	19	19	37	47	32	25	46	27	80	81	67	31	9	11	31									
6	Число погашенных избирательных бюллетеней	3139	87	2	36	47	126	87	129	123	100	51	22	287	956	822	88	45	55	76									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	613	17	16	18	19	19	37	47	32	25	46	27	80	81	67	31	9	11	31									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	2858	186	42	116	264	75	156	114	95	65	73	61	293	413	661	51	56	54	83									
9	Число недействительных избирательных бюллетеней	52	1	0	8	0	0	3	1	2	1	1	0	9	13	10	0	0	1	2									
10	Число действительных избирательных бюллетеней	3419	202	58	126	283	94	190	160	125	89	118	88	364	481	718	82	65	64	112									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	75	2	1	2	3	2	2	2	2	2	2	2	5	20	20	2	2	2	2									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	37	2	0	0	3	1	0	0	0	0	0	0	4	9	14	2	0	0	2									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	32	1	1	1	1	1	3	2	1	3	1	2	6	0	4	1	1	2	1									
14	Число погашенных неиспользованных открепительных удостоверений	38	0	1	2	0	1	2	2	2	2	2	2	1	11	6	0	2	2	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	19	1	0	0	2	0	0	0	0	0	0	0	0	2	11	3	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																													
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	39	0	0	1	1	2	0	3	3	2	1	0	3	7	12	3	1	0	0									
		1.12%	0.00%	0.00%	0.75%	0.35%	2.13%	0.00%	1.86%	2.36%	2.22%	0.84%	0.00%	0.80%	1.42%	1.65%	3.66%	1.54%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	77	7	0	2	6	3	1	5	3	3	1	3	14	15	9	2	0	0	3									
