Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																
Дата голосования: 18.09.2016																
																
Наименование Избирательной комиссии:    Волчанская городская																
																
Сводная таблица итогов голосования по федеральному избирательному округу																
																
		Сумма	УИК №1229	УИК №1230	УИК №1231	УИК №1232	УИК №1233									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	8004	1779	1673	1546	1480	1526									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	8100	1800	1700	1550	1500	1550									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	62	0	62	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	3416	907	586	695	606	622									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	171	18	25	43	38	47									
6	Число погашенных избирательных бюллетеней	4451	875	1027	812	856	881									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	233	18	87	43	38	47									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	3416	907	586	695	606	622									
9	Число недействительных избирательных бюллетеней	105	21	18	25	25	16									
10	Число действительных избирательных бюллетеней	3544	904	655	713	619	653									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	217	41	48	48	37	43									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	55	9	6	10	12	18									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	27	6	4	4	6	7									
14	Число погашенных неиспользованных открепительных удостоверений	162	32	42	38	25	25									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	33	9	2	2	13	7									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0									
																
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	24	5	5	5	6	3									
		0.66%	0.54%	0.74%	0.68%	0.93%	0.45%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	88	23	22	12	25	6									
		2.41%	2.49%	3.27%	1.63%	3.88%	0.90%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	56	7	21	8	12	8									
		1.53%	0.76%	3.12%	1.08%	1.86%	1.20%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1755	409	283	298	246	519									
		48.10%	44.22%	42.05%	40.38%	38.20%	77.58%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	11	1	4	2	1	3									
		0.30%	0.11%	0.59%	0.27%	0.16%	0.45%									
24	"6. Политическая партия ""Гражданская Платформа"""	32	10	2	4	8	8									
		0.88%	1.08%	0.30%	0.54%	1.24%	1.20%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	594	152	135	124	146	37									
		16.28%	16.43%	20.06%	16.80%	22.67%	5.53%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	19	3	8	2	4	2									
		0.52%	0.32%	1.19%	0.27%	0.62%	0.30%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	25	4	10	5	2	4									
		0.69%	0.43%	1.49%	0.68%	0.31%	0.60%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	7	2	0	2	1	2									
		0.19%	0.22%	0.00%	0.27%	0.16%	0.30%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	24	5	7	10	1	1									
		0.66%	0.54%	1.04%	1.36%	0.16%	0.15%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	413	97	78	85	116	37									
		11.32%	10.49%	11.59%	11.52%	18.01%	5.53%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	15	5	3	3	3	1									
		0.41%	0.54%	0.45%	0.41%	0.47%	0.15%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	481	181	77	153	48	22									
		13.18%	19.57%	11.44%	20.73%	7.45%	3.29%									
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
