Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																															
Дата голосования: 18.09.2016																																															
																																															
"Наименование Избирательной комиссии:    Тамбов, Советская"																																															
																																															
Сводная таблица итогов голосования по федеральному избирательному округу																																															
																																															
		Сумма	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	75156	2460	2792	1301	2596	2322	1323	1501	1816	2666	2530	2108	2675	2222	2310	1107	1183	1096	1317	2480	2422	2706	2561	1493	1633	2050	2564	2702	1875	1731	2170	2711	1777	2309	2487	2862	1298									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	60900	2000	2200	1100	2200	2000	1100	1200	1500	2200	2200	1800	2200	1800	1900	900	900	900	1100	1900	1900	2100	2000	1100	1300	1700	2000	2200	1500	1400	1800	2200	1400	1800	2000	2300	1100									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	28884	1000	1031	845	1090	893	494	780	681	827	820	1042	883	727	806	383	424	387	437	942	858	1204	1136	495	531	517	794	973	521	688	1292	1452	597	870	979	1204	281									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	914	14	13	12	6	23	11	20	17	26	43	26	11	70	24	57	31	18	19	62	6	7	16	37	25	14	46	28	38	13	52	6	17	25	57	18	6									
6	Число погашенных избирательных бюллетеней	31102	986	1156	243	1104	1084	595	400	802	1347	1337	732	1306	1003	1070	460	445	495	644	896	1036	889	848	568	744	1169	1160	1199	941	699	456	742	786	905	964	1078	813									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	913	14	13	12	6	23	11	20	17	26	43	26	11	70	24	57	31	18	19	62	6	7	16	37	25	14	46	28	38	13	52	6	17	25	56	18	6									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	28817	998	1005	841	1089	893	494	774	681	826	820	1042	883	727	806	383	424	387	437	934	856	1200	1136	495	531	516	794	973	521	688	1292	1452	597	865	974	1203	280									
9	Число недействительных избирательных бюллетеней	660	35	4	25	30	23	11	26	8	27	12	22	20	32	22	11	16	10	11	22	22	19	39	13	8	17	19	19	15	2	10	39	12	14	17	22	6									
10	Число действительных избирательных бюллетеней	29070	977	1014	828	1065	893	494	768	690	825	851	1046	874	765	808	429	439	395	445	974	840	1188	1113	519	548	513	821	982	544	699	1334	1419	602	876	1013	1199	280									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1115	40	40	20	35	30	20	20	30	40	40	30	40	30	30	20	20	20	20	30	30	40	40	20	20	20	30	40	30	30	30	30	40	30	30	40	60									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	931	30	30	20	35	19	13	20	30	36	33	30	27	23	30	13	13	11	18	22	23	40	40	12	18	14	22	31	29	19	22	27	40	23	30	39	49									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	567	14	13	13	32	12	9	20	14	21	18	30	6	14	6	14	10	26	16	14	11	20	9	19	27	15	16	16	8	19	8	9	25	21	14	19	9									
14	Число погашенных неиспользованных открепительных удостоверений	184	10	10	0	0	11	7	0	0	4	7	0	13	7	0	7	7	9	2	8	7	0	0	8	2	6	8	9	1	11	8	3	0	7	0	1	11									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	126	7	2	11	3	1	1	0	1	5	3	5	4	4	4	4	2	0	2	10	4	6	7	3	1	3	4	3	1	5	0	9	1	2	4	1	3									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																															
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	6278	205	163	47	177	179	132	180	153	227	198	255	329	157	280	120	140	108	116	252	270	350	273	119	138	156	225	203	139	155	60	111	82	194	251	54	80									
		21.12%	20.26%	16.01%	5.51%	16.16%	19.54%	26.14%	22.67%	21.92%	26.64%	22.94%	23.88%	36.80%	19.70%	33.73%	27.27%	30.77%	26.67%	25.44%	25.30%	31.32%	28.99%	23.70%	22.37%	24.82%	29.43%	26.79%	20.28%	24.87%	22.11%	4.46%	7.61%	13.36%	21.80%	24.37%	4.42%	27.97%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	644	12	29	10	25	26	7	24	25	25	22	22	22	18	21	9	12	11	13	29	12	27	24	14	7	19	20	19	24	26	2	10	16	25	17	14	6									
		2.17%	1.19%	2.85%	1.17%	2.28%	2.84%	1.39%	3.02%	3.58%	2.93%	2.55%	2.06%	2.46%	2.26%	2.53%	2.05%	2.64%	2.72%	2.85%	2.91%	1.39%	2.24%	2.08%	2.63%	1.26%	3.58%	2.38%	1.90%	4.29%	3.71%	0.15%	0.69%	2.61%	2.81%	1.65%	1.15%	2.10%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	368	18	6	9	21	19	2	11	5	9	12	17	5	8	9	6	8	5	10	18	18	22	15	10	6	8	12	1	10	10	1	5	8	6	11	20	7									
		1.24%	1.78%	0.59%	1.06%	1.92%	2.07%	0.40%	1.39%	0.72%	1.06%	1.39%	1.59%	0.56%	1.00%	1.08%	1.36%	1.76%	1.23%	2.19%	1.81%	2.09%	1.82%	1.30%	1.88%	1.08%	1.51%	1.43%	0.10%	1.79%	1.43%	0.07%	0.34%	1.30%	0.67%	1.07%	1.64%	2.45%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	11883	379	410	520	405	300	193	342	231	285	265	346	232	289	254	144	135	141	155	297	222	308	374	180	197	152	243	442	155	233	1141	821	343	355	445	851	98									
		39.97%	37.45%	40.28%	60.96%	36.99%	32.75%	38.22%	43.07%	33.09%	33.45%	30.71%	32.40%	25.95%	36.26%	30.60%	32.73%	29.67%	34.81%	33.99%	29.82%	25.75%	25.52%	32.47%	33.83%	35.43%	28.68%	28.93%	44.16%	27.73%	33.24%	84.90%	56.31%	55.86%	39.89%	43.20%	69.70%	34.27%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	213	9	4	9	8	10	6	2	3	6	10	5	6	9	3	0	4	2	1	14	6	11	20	1	4	5	10	1	6	3	2	20	4	3	3	1	2									
		0.72%	0.89%	0.39%	1.06%	0.73%	1.09%	1.19%	0.25%	0.43%	0.70%	1.16%	0.47%	0.67%	1.13%	0.36%	0.00%	0.88%	0.49%	0.22%	1.41%	0.70%	0.91%	1.74%	0.19%	0.72%	0.94%	1.19%	0.10%	1.07%	0.43%	0.15%	1.37%	0.65%	0.34%	0.29%	0.08%	0.70%									
24	"6. Политическая партия ""Гражданская Платформа"""	38	1	0	4	3	1	0	0	2	1	3	1	0	1	1	0	2	0	0	0	2	2	1	0	2	0	1	1	0	2	1	2	1	2	1	0	0									
		0.13%	0.10%	0.00%	0.47%	0.27%	0.11%	0.00%	0.00%	0.29%	0.12%	0.35%	0.09%	0.00%	0.13%	0.12%	0.00%	0.44%	0.00%	0.00%	0.00%	0.23%	0.17%	0.09%	0.00%	0.36%	0.00%	0.12%	0.10%	0.00%	0.29%	0.07%	0.14%	0.16%	0.22%	0.10%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2915	74	94	125	119	102	44	58	85	78	81	98	74	96	70	47	42	47	49	108	87	110	141	54	47	60	100	84	66	78	42	233	41	97	65	92	27									
		9.80%	7.31%	9.23%	14.65%	10.87%	11.14%	8.71%	7.30%	12.18%	9.15%	9.39%	9.18%	8.28%	12.05%	8.43%	10.68%	9.23%	11.60%	10.75%	10.84%	10.09%	9.11%	12.24%	10.15%	8.45%	11.32%	11.90%	8.39%	11.81%	11.13%	3.13%	15.98%	6.68%	10.90%	6.31%	7.53%	9.44%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	220	11	12	5	5	5	3	5	8	8	8	10	4	6	10	2	8	2	2	6	2	5	9	5	8	4	11	3	4	5	1	15	6	6	5	9	2									
		0.74%	1.09%	1.18%	0.59%	0.46%	0.55%	0.59%	0.63%	1.15%	0.94%	0.93%	0.94%	0.45%	0.75%	1.20%	0.45%	1.76%	0.49%	0.44%	0.60%	0.23%	0.41%	0.78%	0.94%	1.44%	0.75%	1.31%	0.30%	0.72%	0.71%	0.07%	1.03%	0.98%	0.67%	0.49%	0.74%	0.70%									
