Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																															
Дата голосования: 18.09.2016																															
																															
Наименование Избирательной комиссии:    Краснохолмская																															
																															
Сводная таблица итогов голосования по федеральному избирательному округу																															
																															
		Сумма	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	9393	1165	1463	1444	1150	601	224	591	324	282	181	210	370	163	224	132	176	151	116	209	217									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	7175	850	1050	1050	850	450	200	450	250	250	150	150	300	150	200	100	150	125	100	150	200									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	2619	395	494	441	348	155	49	81	54	59	43	47	80	42	41	33	37	74	54	35	57									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1174	15	50	23	32	108	45	157	104	63	55	62	106	40	77	29	45	32	12	75	44									
6	Число погашенных избирательных бюллетеней	3382	440	506	586	470	187	106	212	92	128	52	41	114	68	82	38	68	19	34	40	99									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1174	15	50	23	32	108	45	157	104	63	55	62	106	40	77	29	45	32	12	75	44									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	2616	395	494	439	347	155	49	81	54	59	43	47	80	42	41	33	37	74	54	35	57									
9	Число недействительных избирательных бюллетеней	56	6	16	8	2	2	1	4	2	0	1	1	2	1	0	0	2	1	5	1	1									
10	Число действительных избирательных бюллетеней	3734	404	528	454	377	261	93	234	156	122	97	108	184	81	118	62	80	105	61	109	100									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	151	15	20	20	15	10	4	10	7	5	4	4	8	3	4	3	4	4	3	4	4									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	69	7	16	9	8	1	0	3	6	0	2	0	2	1	3	3	0	4	3	0	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	53	3	7	2	2	2	2	1	5	2	3	3	6	1	1	1	1	2	2	4	3									
14	Число погашенных неиспользованных открепительных удостоверений	82	8	4	11	7	9	4	7	1	5	2	4	6	2	1	0	4	0	0	4	3									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	24	5	3	3	2	0	0	2	0	0	0	0	0	2	2	2	0	1	0	1	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																															
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	68	10	15	8	6	2	13	5	0	1	1	0	0	0	2	2	1	1	0	1	0									
