Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																								
Дата голосования: 18.09.2016																								
																								
Наименование Избирательной комиссии:    Сонковская																								
																								
Сводная таблица итогов голосования по федеральному избирательному округу																								
																								
		Сумма	УИК №838	УИК №839	УИК №840	УИК №841	УИК №842	УИК №843	УИК №844	УИК №845	УИК №846	УИК №847	УИК №848	УИК №849	УИК №850									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	6998	1633	1735	585	184	434	457	221	223	344	177	341	191	473									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	5550	1250	1300	450	150	350	350	200	200	300	150	300	150	400									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	2143	502	735	159	54	116	107	58	76	73	58	91	36	78									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	685	47	34	23	23	78	75	40	25	45	42	74	42	137									
6	Число погашенных избирательных бюллетеней	2722	701	531	268	73	156	168	102	99	182	50	135	72	185									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	685	47	34	23	23	78	75	40	25	45	42	74	42	137									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	2135	499	731	159	54	116	107	58	76	73	58	91	35	78									
9	Число недействительных избирательных бюллетеней	51	11	14	3	0	4	3	4	1	2	1	3	0	5									
10	Число действительных избирательных бюллетеней	2769	535	751	179	77	190	179	94	100	116	99	162	77	210									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	70	16	17	6	2	4	4	2	2	3	2	4	2	6									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	40	16	14	6	0	0	0	0	0	1	1	0	0	2									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	40	3	11	1	2	1	4	5	5	1	5	1	1	0									
14	Число погашенных неиспользованных открепительных удостоверений	30	0	3	0	2	4	4	2	2	2	1	4	2	4									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	18	6	4	1	0	1	2	0	0	2	0	2	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																								
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	32	5	8	1	1	1	2	3	1	1	0	2	1	6									
		1.13%	0.92%	1.05%	0.55%	1.30%	0.52%	1.10%	3.06%	0.99%	0.85%	0.00%	1.21%	1.30%	2.79%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	56	13	17	3	2	1	6	3	3	2	1	3	2	0									
		1.99%	2.38%	2.22%	1.65%	2.60%	0.52%	3.30%	3.06%	2.97%	1.69%	1.00%	1.82%	2.60%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	65	9	13	7	3	2	8	3	5	1	0	7	2	5									
		2.30%	1.65%	1.70%	3.85%	3.90%	1.03%	4.40%	3.06%	4.95%	0.85%	0.00%	4.24%	2.60%	2.33%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1269	213	296	74	24	98	91	43	49	64	64	88	33	132									
		45.00%	39.01%	38.69%	40.66%	31.17%	50.52%	50.00%	43.88%	48.51%	54.24%	64.00%	53.33%	42.86%	61.40%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	20	6	7	0	1	1	0	1	0	1	1	2	0	0									
		0.71%	1.10%	0.92%	0.00%	1.30%	0.52%	0.00%	1.02%	0.00%	0.85%	1.00%	1.21%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	5	4	0	0	0	0	0	0	0	0	0	0	1	0									
		0.18%	0.73%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.30%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	384	67	125	20	15	28	16	11	16	14	10	20	10	32									
		13.62%	12.27%	16.34%	10.99%	19.48%	14.43%	8.79%	11.22%	15.84%	11.86%	10.00%	12.12%	12.99%	14.88%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	14	4	3	0	0	1	1	1	0	2	2	0	0	0									
		0.50%	0.73%	0.39%	0.00%	0.00%	0.52%	0.55%	1.02%	0.00%	1.69%	2.00%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	14	3	4	1	2	0	1	0	1	0	1	1	0	0									
		0.50%	0.55%	0.52%	0.55%	2.60%	0.00%	0.55%	0.00%	0.99%	0.00%	1.00%	0.61%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	5	0	0	0	2	0	0	0	0	1	0	1	0	1									
		0.18%	0.00%	0.00%	0.00%	2.60%	0.00%	0.00%	0.00%	0.00%	0.85%	0.00%	0.61%	0.00%	0.47%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	20	6	7	1	0	1	1	1	0	0	1	1	0	1									
		0.71%	1.10%	0.92%	0.55%	0.00%	0.52%	0.55%	1.02%	0.00%	0.00%	1.00%	0.61%	0.00%	0.47%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	382	77	103	51	12	15	22	20	15	11	8	21	13	14									
		13.55%	14.10%	13.46%	28.02%	15.58%	7.73%	12.09%	20.41%	14.85%	9.32%	8.00%	12.73%	16.88%	6.51%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	11	3	3	1	0	1	0	1	0	0	0	0	0	2									
		0.39%	0.55%	0.39%	0.55%	0.00%	0.52%	0.00%	1.02%	0.00%	0.00%	0.00%	0.00%	0.00%	0.93%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	492	125	165	20	15	41	31	7	10	19	11	16	15	17									
		17.45%	22.89%	21.57%	10.99%	19.48%	21.13%	17.03%	7.14%	9.90%	16.10%	11.00%	9.70%	19.48%	7.91%									
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
