Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																			
Дата голосования: 18.09.2016																			
																			
Наименование Избирательной комиссии:    Томская (181)																			
																			
Сводная таблица итогов голосования по федеральному избирательному округу																			
																			
		Сумма	УИК №652	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	6723	515	776	936	754	463	542	1463	1274									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	6300	500	700	900	700	400	500	1400	1200									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	1737	212	225	221	209	123	66	266	415									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	269	51	58	96	15	0	17	14	18									
6	Число погашенных избирательных бюллетеней	4294	237	417	583	476	277	417	1120	767									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	269	51	58	96	15	0	17	14	18									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	1737	212	225	221	209	123	66	266	415									
9	Число недействительных избирательных бюллетеней	68	12	5	8	7	3	0	14	19									
10	Число действительных избирательных бюллетеней	1938	251	278	309	217	120	83	266	414									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	80	10	10	10	10	10	10	10	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	23	1	2	6	1	3	1	2	7									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	8	2	3	1	0	0	0	1	1									
14	Число погашенных неиспользованных открепительных удостоверений	57	9	8	4	9	7	9	8	3									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	1	0	0	0	0	1	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0									
																			
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	9	0	3	0	2	0	1	1	2									
		0.45%	0.00%	1.06%	0.00%	0.89%	0.00%	1.20%	0.36%	0.46%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	86	5	16	11	10	2	3	17	22									
		4.29%	1.90%	5.65%	3.47%	4.46%	1.63%	3.61%	6.07%	5.08%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	46	8	5	6	7	3	0	4	13									
		2.29%	3.04%	1.77%	1.89%	3.13%	2.44%	0.00%	1.43%	3.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	925	152	116	149	102	62	34	114	196									
		46.11%	57.79%	40.99%	47.00%	45.54%	50.41%	40.96%	40.71%	45.27%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	23	1	4	2	2	0	1	7	6									
		1.15%	0.38%	1.41%	0.63%	0.89%	0.00%	1.20%	2.50%	1.39%									
24	"6. Политическая партия ""Гражданская Платформа"""	7	0	2	1	0	1	0	0	3									
		0.35%	0.00%	0.71%	0.32%	0.00%	0.81%	0.00%	0.00%	0.69%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	529	54	103	99	63	32	31	53	94									
		26.37%	20.53%	36.40%	31.23%	28.13%	26.02%	37.35%	18.93%	21.71%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	11	0	5	1	0	1	0	0	4									
		0.55%	0.00%	1.77%	0.32%	0.00%	0.81%	0.00%	0.00%	0.92%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	6	0	3	0	1	0	0	1	1									
		0.30%	0.00%	1.06%	0.00%	0.45%	0.00%	0.00%	0.36%	0.23%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	3	1	0	1	0	0	0	1	0									
		0.15%	0.38%	0.00%	0.32%	0.00%	0.00%	0.00%	0.36%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	16	0	2	3	2	0	0	2	7									
		0.80%	0.00%	0.71%	0.95%	0.89%	0.00%	0.00%	0.71%	1.62%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	209	22	9	31	20	16	11	48	52									
		10.42%	8.37%	3.18%	9.78%	8.93%	13.01%	13.25%	17.14%	12.01%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	7	0	3	0	2	0	0	1	1									
		0.35%	0.00%	1.06%	0.00%	0.89%	0.00%	0.00%	0.36%	0.23%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	61	8	7	5	6	3	2	17	13									
		3.04%	3.04%	2.47%	1.58%	2.68%	2.44%	2.41%	6.07%	3.00%									
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
