Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																
Дата голосования: 18.09.2016																																																
																																																
"Наименование Избирательной комиссии:    Тула, Советская"																																																
																																																
Сводная таблица итогов голосования по федеральному избирательному округу																																																
																																																
		Сумма	УИК №2401	УИК №2402	УИК №2403	УИК №2404	УИК №2405	УИК №2406	УИК №2407	УИК №2408	УИК №2409	УИК №2410	УИК №2411	УИК №2412	УИК №2413	УИК №2414	УИК №2415	УИК №2416	УИК №2417	УИК №2418	УИК №2419	УИК №2420	УИК №2421	УИК №2422	УИК №2423	УИК №2424	УИК №2425	УИК №2426	УИК №2427	УИК №2428	УИК №2429	УИК №2430	УИК №2431	УИК №2432	УИК №2433	УИК №2434	УИК №2435	УИК №2436	УИК №2437									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	53496	1118	1786	1476	1176	1425	948	1019	1279	1553	1241	1033	1818	1471	1874	2182	1555	1354	1810	1712	1667	1787	1537	1869	1574	1680	1810	1476	1650	1406	1338	1486	1514	1323	1194	1726	234	395									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	42900	900	1400	1200	900	1200	700	700	1000	1300	1000	900	1500	1200	1500	1800	1200	1100	1500	1300	1300	1400	1200	1500	1200	1300	1400	1200	1300	1100	1100	1200	1200	1100	1000	1400	300	400									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	22320	402	742	605	490	581	400	403	561	618	499	372	779	668	777	932	604	553	818	724	659	742	662	805	765	835	762	629	734	558	577	656	581	501	396	656	176	98									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	986	11	7	13	19	19	17	15	30	14	24	13	17	30	12	12	12	13	22	18	28	14	18	12	28	22	14	11	13	12	17	24	42	25	24	25	58	281									
6	Число погашенных избирательных бюллетеней	19594	487	651	582	391	600	283	282	409	668	477	515	704	502	711	856	584	534	660	558	613	644	520	683	407	443	624	560	553	530	506	520	577	574	580	719	66	21									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	986	11	7	13	19	19	17	15	30	14	24	13	17	30	12	12	12	13	22	18	28	14	18	12	28	22	14	11	13	12	17	24	42	25	24	25	58	281									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	22256	402	742	605	488	581	400	403	561	618	499	372	778	666	776	928	598	553	816	723	659	742	659	801	739	835	754	629	733	556	576	656	581	501	396	656	176	98									
9	Число недействительных избирательных бюллетеней	545	9	19	71	11	10	10	16	14	16	8	6	21	14	11	23	11	10	17	10	16	18	10	10	15	13	6	18	22	13	12	19	13	9	9	28	0	7									
10	Число действительных избирательных бюллетеней	22697	404	730	547	496	590	407	402	577	616	515	379	774	682	777	917	599	556	821	731	671	738	667	803	752	844	762	622	724	555	581	661	610	517	411	653	234	372									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	706	15	20	20	15	30	20	20	15	20	30	15	20	20	20	20	21	20	20	20	20	20	20	20	20	20	30	20	30	25	15	15	20	15	15	20	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	476	9	17	6	6	22	11	12	13	10	13	6	14	17	17	16	21	13	14	14	13	19	9	15	8	11	22	20	23	12	9	11	10	11	12	20	0	0									
