Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																								
Дата голосования: 18.09.2016																																																																																								
																																																																																								
Наименование Избирательной комиссии:    Новомосковская																																																																																								
																																																																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																								
																																																																																								
		Сумма	УИК №1601	УИК №1602	УИК №1603	УИК №1604	УИК №1605	УИК №1606	УИК №1607	УИК №1608	УИК №1609	УИК №1610	УИК №1611	УИК №1612	УИК №1613	УИК №1614	УИК №1615	УИК №1616	УИК №1617	УИК №1618	УИК №1619	УИК №1620	УИК №1621	УИК №1622	УИК №1623	УИК №1624	УИК №1625	УИК №1626	УИК №1627	УИК №1628	УИК №1629	УИК №1630	УИК №1631	УИК №1632	УИК №1633	УИК №1634	УИК №1635	УИК №1636	УИК №1637	УИК №1638	УИК №1639	УИК №1640	УИК №1641	УИК №1642	УИК №1643	УИК №1644	УИК №1645	УИК №1646	УИК №1647	УИК №1648	УИК №1649	УИК №1650	УИК №1651	УИК №1652	УИК №1653	УИК №1654	УИК №1655	УИК №1656	УИК №1657	УИК №1658	УИК №1659	УИК №1660	УИК №1661	УИК №1662	УИК №1663	УИК №1664	УИК №1665	УИК №1666	УИК №1667	УИК №1668	УИК №1669	УИК №1670	УИК №1671	УИК №1672	УИК №1673	УИК №1674	УИК №1675	УИК №1676	УИК №1677									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	115849	1712	915	2101	1953	2205	1619	1902	2353	1919	1939	2077	2093	2137	2346	2475	2646	2073	2171	2441	2660	1983	1376	1547	416	1866	1385	2044	1861	1986	1687	2245	1727	1964	1906	1981	1989	2138	2142	2007	2418	2397	1995	2360	2040	2302	2023	2011	1167	373	2064	641	1814	1890	1628	1131	1270	270	176	493	383	536	272	1299	1682	271	278	934	348	113	194	253	786	693	394	356	467	140									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	114230	1700	850	2100	1900	2200	1600	1900	2300	1900	1900	2000	2100	2100	2300	2400	2600	2000	2100	2400	2600	1900	1350	1500	400	1800	1300	2000	1800	2000	1600	2200	1700	1900	1900	2000	2000	2100	2100	2000	2400	2400	2000	2300	2000	2300	2000	1900	1150	350	2000	600	1800	1900	1600	1100	1200	250	170	500	400	500	250	1300	1700	250	270	900	350	100	180	250	750	700	400	350	1000	160									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	48617	647	262	934	899	964	752	805	942	857	905	990	1004	899	1159	1063	1123	918	883	1025	1031	858	639	664	141	815	599	853	796	746	634	1005	747	878	840	815	805	955	815	861	1108	1026	875	1042	685	895	810	824	473	50	733	270	739	833	682	413	495	145	92	147	142	150	90	586	607	102	113	400	78	31	82	148	286	278	137	142	240	140									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	3402	48	88	32	65	37	78	23	94	43	54	39	15	40	27	31	18	18	21	42	61	33	40	29	7	21	31	73	35	37	26	38	22	29	29	61	39	22	62	23	27	29	24	26	11	24	22	16	21	24	35	85	48	42	51	47	41	30	38	97	96	124	11	86	99	63	37	86	40	43	14	15	69	57	27	39	227	0									
6	Число погашенных избирательных бюллетеней	62211	1005	500	1134	936	1199	770	1072	1264	1000	941	971	1081	1161	1114	1306	1459	1064	1196	1333	1508	1009	671	807	252	964	670	1074	969	1217	940	1157	931	993	1031	1124	1156	1123	1223	1116	1265	1345	1101	1232	1304	1381	1168	1060	656	276	1232	245	1013	1025	867	640	664	75	40	256	162	226	149	628	994	85	120	414	232	26	84	87	395	365	236	169	533	20									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	3402	48	88	32	65	37	78	23	94	43	54	39	15	40	27	31	18	18	21	42	61	33	40	29	7	21	31	73	35	37	26	38	22	29	29	61	39	22	62	23	27	29	24	26	11	24	22	16	21	24	35	85	48	42	51	47	41	30	38	97	96	124	11	86	99	63	37	86	40	43	14	15	69	57	27	39	227	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	48609	647	262	934	899	964	752	805	942	857	905	990	1004	899	1159	1063	1123	918	883	1020	1031	858	639	664	141	815	599	853	796	746	634	1004	747	878	840	815	805	955	815	861	1108	1026	875	1040	685	895	810	824	473	50	733	270	739	833	682	413	495	145	92	147	142	150	90	586	607	102	113	400	78	31	82	148	286	278	137	142	240	140									
9	Число недействительных избирательных бюллетеней	987	16	6	19	15	9	20	13	6	19	21	13	10	11	30	33	27	15	21	37	10	21	8	20	3	22	17	39	20	15	15	33	13	21	16	0	21	12	18	17	17	20	13	19	26	20	27	20	12	0	15	8	11	19	6	4	2	1	3	5	3	4	1	11	2	4	0	6	2	0	4	0	3	3	4	3	6	1									
10	Число действительных избирательных бюллетеней	51024	679	344	947	949	992	810	815	1030	881	938	1016	1009	928	1156	1061	1114	921	883	1025	1082	870	671	673	145	814	613	887	811	768	645	1009	756	886	853	876	823	965	859	867	1118	1035	886	1047	670	899	805	820	482	74	753	347	776	856	727	456	534	174	127	239	235	270	100	661	704	161	150	480	116	74	92	163	352	332	160	178	461	139									
