Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																								
Дата голосования: 18.09.2016																																								
																																								
Наименование Избирательной комиссии:    Ясногорская																																								
																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																								
																																								
		Сумма	УИК №2901	УИК №2902	УИК №2903	УИК №2904	УИК №2905	УИК №2906	УИК №2907	УИК №2908	УИК №2909	УИК №2910	УИК №2911	УИК №2912	УИК №2913	УИК №2914	УИК №2916	УИК №2917	УИК №2918	УИК №2919	УИК №2920	УИК №2921	УИК №2922	УИК №2923	УИК №2925	УИК №2927	УИК №2929	УИК №2931	УИК №2932	УИК №2934	УИК №2936									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	24363	583	513	680	327	517	333	374	308	505	129	261	809	385	188	443	755	371	483	354	1410	1002	1713	1850	2129	1703	646	2793	868	1931									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	24757	620	511	699	333	532	333	382	306	515	131	270	811	385	194	449	767	377	491	373	1422	1007	1742	1879	2163	1719	654	2839	886	1967									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	9400	260	130	256	59	130	159	282	137	317	68	117	233	221	92	179	275	176	184	175	432	531	583	650	797	606	226	1079	328	718									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1512	59	90	35	69	107	52	41	37	28	18	50	81	57	26	97	29	91	179	40	24	39	87	26	25	35	17	37	7	29									
6	Число погашенных избирательных бюллетеней	13845	301	291	408	205	295	122	59	132	170	45	103	497	107	76	173	463	110	128	158	966	437	1072	1203	1341	1078	411	1723	551	1220									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1512	59	90	35	69	107	52	41	37	28	18	50	81	57	26	97	29	91	179	40	24	39	87	26	25	35	17	37	7	29									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	9398	260	130	256	59	130	159	282	137	317	68	117	233	221	92	179	275	176	184	175	432	531	583	650	796	606	226	1078	328	718									
9	Число недействительных избирательных бюллетеней	201	4	2	6	0	5	1	5	1	0	2	1	5	5	3	1	5	0	3	4	15	10	14	18	26	16	8	15	8	18									
10	Число действительных избирательных бюллетеней	10709	315	218	285	128	232	210	318	173	345	84	166	309	273	115	275	299	267	360	211	441	560	656	658	795	625	235	1100	327	729									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1270	50	40	40	20	30	25	30	25	50	20	40	50	40	20	40	50	40	40	40	40	40	60	60	80	60	40	80	40	80									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	276	32	1	15	4	8	2	3	2	7	0	7	0	2	4	6	11	3	3	19	14	3	16	15	23	9	3	30	11	23									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	190	2	3	4	0	5	3	3	3	5	3	4	10	5	3	0	1	2	3	2	8	20	12	5	14	13	10	20	5	22									
14	Число погашенных неиспользованных открепительных удостоверений	994	18	39	25	16	22	23	27	23	43	20	33	50	38	16	34	39	37	37	21	26	37	44	45	57	51	37	50	29	57									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	78	1	0	1	0	2	0	0	0	0	0	0	0	1	1	0	3	0	3	1	0	1	7	5	9	10	3	12	3	15									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																								
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	144	4	1	6	0	3	3	1	2	4	1	4	10	4	1	0	2	0	3	3	13	5	11	10	17	4	2	10	6	14									
		1.32%	1.25%	0.45%	2.06%	0.00%	1.27%	1.42%	0.31%	1.15%	1.16%	1.16%	2.40%	3.18%	1.44%	0.85%	0.00%	0.66%	0.00%	0.83%	1.40%	2.85%	0.88%	1.64%	1.48%	2.07%	0.62%	0.82%	0.90%	1.79%	1.87%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	268	3	6	7	2	9	1	7	4	10	0	1	5	5	1	6	14	2	3	5	12	10	14	22	32	19	6	36	9	17									
		2.46%	0.94%	2.73%	2.41%	1.56%	3.80%	0.47%	2.17%	2.30%	2.90%	0.00%	0.60%	1.59%	1.80%	0.85%	2.17%	4.61%	0.75%	0.83%	2.33%	2.63%	1.75%	2.09%	3.25%	3.90%	2.96%	2.47%	3.23%	2.69%	2.28%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	340	7	0	9	0	8	2	6	1	10	1	6	5	1	0	2	12	4	6	7	21	5	29	37	31	36	10	41	12	31									
		3.12%	2.19%	0.00%	3.09%	0.00%	3.38%	0.95%	1.86%	0.57%	2.90%	1.16%	3.59%	1.59%	0.36%	0.00%	0.72%	3.95%	1.50%	1.65%	3.26%	4.61%	0.88%	4.33%	5.47%	3.78%	5.62%	4.12%	3.68%	3.58%	4.15%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	6034	194	134	171	77	131	164	251	131	242	62	115	180	184	85	198	174	138	272	165	196	393	339	294	354	304	134	465	129	358									
		55.31%	60.82%	60.91%	58.76%	60.16%	55.27%	77.73%	77.71%	75.29%	70.14%	72.09%	68.86%	57.32%	66.19%	72.03%	71.74%	57.24%	51.69%	74.93%	76.74%	42.98%	68.95%	50.60%	43.49%	43.12%	47.43%	55.14%	41.70%	38.51%	47.93%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	76	2	1	1	2	2	2	0	0	0	0	0	5	1	0	1	3	5	0	2	2	4	4	3	10	4	1	10	5	6									
		0.70%	0.63%	0.45%	0.34%	1.56%	0.84%	0.95%	0.00%	0.00%	0.00%	0.00%	0.00%	1.59%	0.36%	0.00%	0.36%	0.99%	1.87%	0.00%	0.93%	0.44%	0.70%	0.60%	0.44%	1.22%	0.62%	0.41%	0.90%	1.49%	0.80%									
24	"6. Политическая партия ""Гражданская Платформа"""	9	0	1	1	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0									
		0.08%	0.00%	0.45%	0.34%	1.56%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.60%	0.00%	0.36%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.22%	0.00%	0.00%	0.15%	0.12%	0.00%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1550	39	31	37	20	39	16	21	16	32	9	16	54	41	18	31	43	58	35	14	93	59	111	113	116	99	39	178	51	121									
		14.21%	12.23%	14.09%	12.71%	15.63%	16.46%	7.58%	6.50%	9.20%	9.28%	10.47%	9.58%	17.20%	14.75%	15.25%	11.23%	14.14%	21.72%	9.64%	6.51%	20.39%	10.35%	16.57%	16.72%	14.13%	15.44%	16.05%	15.96%	15.22%	16.20%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	70	1	3	0	0	1	1	1	1	0	0	0	0	0	0	3	0	1	1	1	6	4	4	3	5	6	7	12	5	4									
		0.64%	0.31%	1.36%	0.00%	0.00%	0.42%	0.47%	0.31%	0.57%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.09%	0.00%	0.37%	0.28%	0.47%	1.32%	0.70%	0.60%	0.44%	0.61%	0.94%	2.88%	1.08%	1.49%	0.54%									
