Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																									
Дата голосования: 18.09.2016																																									
																																									
Наименование Избирательной комиссии:    Некрасовская ТИК																																									
																																									
Сводная таблица итогов голосования по федеральному избирательному округу																																									
																																									
		Сумма	УИК №558	УИК №559	УИК №560	УИК №561	УИК №562	УИК №563	УИК №564	УИК №565	УИК №566	УИК №567	УИК №568	УИК №569	УИК №570	УИК №571	УИК №572	УИК №573	УИК №574	УИК №575	УИК №576	УИК №577	УИК №578	УИК №579	УИК №580	УИК №581	УИК №582	УИК №583	УИК №584	УИК №585	УИК №586	УИК №587									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	18451	1077	1359	1483	1613	673	413	547	1086	192	176	1109	408	243	197	146	120	936	648	267	236	568	1274	1296	369	510	390	431	185	190	309									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	16370	900	1200	1300	1400	600	380	500	1050	170	150	1000	370	220	180	140	110	850	550	230	200	500	1100	1100	350	460	350	400	160	170	280									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	7269	456	437	684	754	252	179	174	437	67	83	394	183	43	78	77	48	302	223	95	82	218	516	724	135	137	134	149	73	63	72									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1597	42	255	43	19	48	14	41	59	20	23	58	26	66	14	20	18	92	63	28	44	39	80	26	64	122	63	67	28	49	66									
6	Число погашенных избирательных бюллетеней	7504	402	508	573	627	300	187	285	554	83	44	548	161	111	88	43	44	456	264	107	74	243	504	350	151	201	153	184	59	58	142									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1597	42	255	43	19	48	14	41	59	20	23	58	26	66	14	20	18	92	63	28	44	39	80	26	64	122	63	67	28	49	66									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	7269	456	437	684	754	252	179	174	437	67	83	394	183	43	78	77	48	302	223	95	82	218	516	724	135	137	134	149	73	63	72									
9	Число недействительных избирательных бюллетеней	184	5	12	10	20	5	4	2	9	1	1	8	8	1	4	0	1	14	8	6	4	8	14	17	4	4	6	6	0	0	2									
10	Число действительных избирательных бюллетеней	8682	493	680	717	753	295	189	213	487	86	105	444	201	108	88	97	65	380	278	117	122	249	582	733	195	255	191	210	101	112	136									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	273	10	10	10	10	5	10	10	5	5	5	15	8	5	5	15	5	10	10	10	5	15	15	15	10	5	5	10	5	10	15									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	76	2	1	1	3	1	1	2	2	0	1	6	6	2	1	11	1	3	1	0	0	0	10	10	0	2	1	6	0	1	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	163	22	3	1	14	2	17	8	6	2	8	5	3	1	0	1	1	3	6	2	2	1	9	24	7	3	2	3	1	1	5									
14	Число погашенных неиспользованных открепительных удостоверений	197	8	9	9	7	4	9	8	3	5	4	9	2	3	4	4	4	7	9	10	5	15	5	5	10	3	4	4	5	9	14									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																									
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	179	8	16	14	12	2	9	4	17	0	0	10	4	0	2	4	4	14	8	2	2	1	7	15	0	7	3	4	4	6	0									
		2.02%	1.61%	2.31%	1.93%	1.55%	0.67%	4.66%	1.86%	3.43%	0.00%	0.00%	2.21%	1.91%	0.00%	2.17%	4.12%	6.06%	3.55%	2.80%	1.63%	1.59%	0.39%	1.17%	2.00%	0.00%	2.70%	1.52%	1.85%	3.96%	5.36%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	238	9	20	38	19	3	6	1	14	1	0	13	6	5	2	2	1	15	17	2	0	0	14	26	6	7	1	3	2	1	4									
		2.68%	1.81%	2.89%	5.23%	2.46%	1.00%	3.11%	0.47%	2.82%	1.15%	0.00%	2.88%	2.87%	4.59%	2.17%	2.06%	1.52%	3.81%	5.94%	1.63%	0.00%	0.00%	2.35%	3.47%	3.02%	2.70%	0.51%	1.39%	1.98%	0.89%	2.90%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	215	15	12	20	21	7	4	7	7	0	2	5	11	2	1	1	3	6	7	2	4	7	13	17	4	8	3	11	1	5	9									
		2.42%	3.01%	1.73%	2.75%	2.72%	2.33%	2.07%	3.26%	1.41%	0.00%	1.89%	1.11%	5.26%	1.83%	1.09%	1.03%	4.55%	1.52%	2.45%	1.63%	3.17%	2.72%	2.18%	2.27%	2.01%	3.09%	1.52%	5.09%	0.99%	4.46%	6.52%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	4355	210	397	328	354	152	99	108	269	44	50	216	96	68	45	74	35	180	142	72	66	155	234	346	91	129	124	106	34	65	66									
		49.12%	42.17%	57.37%	45.12%	45.80%	50.67%	51.30%	50.23%	54.23%	50.57%	47.17%	47.79%	45.93%	62.39%	48.91%	76.29%	53.03%	45.69%	49.65%	58.54%	52.38%	60.31%	39.26%	46.13%	45.73%	49.81%	62.94%	49.07%	33.66%	58.04%	47.83%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	54	2	3	7	5	6	1	2	2	1	0	3	1	1	1	0	0	0	4	0	0	2	4	4	1	0	1	1	2	0	0									
		0.61%	0.40%	0.43%	0.96%	0.65%	2.00%	0.52%	0.93%	0.40%	1.15%	0.00%	0.66%	0.48%	0.92%	1.09%	0.00%	0.00%	0.00%	1.40%	0.00%	0.00%	0.78%	0.67%	0.53%	0.50%	0.00%	0.51%	0.46%	1.98%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	23	1	2	2	3	0	0	0	2	1	0	2	0	0	0	0	0	0	0	0	1	0	0	4	2	2	0	0	1	0	0									
		0.26%	0.20%	0.29%	0.28%	0.39%	0.00%	0.00%	0.00%	0.40%	1.15%	0.00%	0.44%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.79%	0.00%	0.00%	0.53%	1.01%	0.77%	0.00%	0.00%	0.99%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1566	89	100	129	133	66	28	23	74	15	35	88	45	16	9	3	9	69	42	16	26	46	127	128	45	60	27	44	32	20	22									
		17.66%	17.87%	14.45%	17.74%	17.21%	22.00%	14.51%	10.70%	14.92%	17.24%	33.02%	19.47%	21.53%	14.68%	9.78%	3.09%	13.64%	17.51%	14.69%	13.01%	20.63%	17.90%	21.31%	17.07%	22.61%	23.17%	13.71%	20.37%	31.68%	17.86%	15.94%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	47	4	2	3	7	2	2	1	0	0	0	5	1	0	0	0	0	2	3	0	0	2	2	5	0	3	0	1	0	0	2									
		0.53%	0.80%	0.29%	0.41%	0.91%	0.67%	1.04%	0.47%	0.00%	0.00%	0.00%	1.11%	0.48%	0.00%	0.00%	0.00%	0.00%	0.51%	1.05%	0.00%	0.00%	0.78%	0.34%	0.67%	0.00%	1.16%	0.00%	0.46%	0.00%	0.00%	1.45%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	64	7	9	2	4	1	1	6	1	0	0	2	1	2	1	1	1	0	4	2	3	1	3	4	1	1	2	0	2	0	2									
		0.72%	1.41%	1.30%	0.28%	0.52%	0.33%	0.52%	2.79%	0.20%	0.00%	0.00%	0.44%	0.48%	1.83%	1.09%	1.03%	1.52%	0.00%	1.40%	1.63%	2.38%	0.39%	0.50%	0.53%	0.50%	0.39%	1.02%	0.00%	1.98%	0.00%	1.45%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	10	0	1	1	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0									
		0.11%	0.00%	0.14%	0.14%	0.00%	0.00%	0.00%	0.00%	0.60%	0.00%	0.00%	0.44%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.39%	0.00%	0.00%	0.50%	0.00%	0.00%	0.46%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	129	10	4	9	8	1	3	7	6	2	1	4	2	0	1	3	0	7	9	0	1	2	7	13	4	5	2	1	12	3	2									
		1.45%	2.01%	0.58%	1.24%	1.03%	0.33%	1.55%	3.26%	1.21%	2.30%	0.94%	0.88%	0.96%	0.00%	1.09%	3.09%	0.00%	1.78%	3.15%	0.00%	0.79%	0.78%	1.17%	1.73%	2.01%	1.93%	1.02%	0.46%	11.88%	2.68%	1.45%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1450	110	94	136	130	44	25	37	79	18	15	71	28	12	22	8	8	71	33	16	14	28	153	141	35	28	23	27	7	11	26									
		16.35%	22.09%	13.58%	18.71%	16.82%	14.67%	12.95%	17.21%	15.93%	20.69%	14.15%	15.71%	13.40%	11.01%	23.91%	8.25%	12.12%	18.02%	11.54%	13.01%	11.11%	10.89%	25.67%	18.80%	17.59%	10.81%	11.68%	12.50%	6.93%	9.82%	18.84%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	47	6	3	2	3	1	0	1	4	1	0	2	0	1	0	1	0	6	3	0	0	0	4	3	0	1	2	3	0	0	0									
		0.53%	1.20%	0.43%	0.28%	0.39%	0.33%	0.00%	0.47%	0.81%	1.15%	0.00%	0.44%	0.00%	0.92%	0.00%	1.03%	0.00%	1.52%	1.05%	0.00%	0.00%	0.00%	0.67%	0.40%	0.00%	0.39%	1.02%	1.39%	0.00%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	305	22	17	26	54	10	11	16	9	3	2	21	6	1	4	0	4	10	6	5	5	4	14	27	5	4	3	8	4	1	3									
		3.44%	4.42%	2.46%	3.58%	6.99%	3.33%	5.70%	7.44%	1.81%	3.45%	1.89%	4.65%	2.87%	0.92%	4.35%	0.00%	6.06%	2.54%	2.10%	4.07%	3.97%	1.56%	2.35%	3.60%	2.51%	1.54%	1.52%	3.70%	3.96%	0.89%	2.17%									
																																									
																																									
																																									
																																									
																																									
