Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																								
Дата голосования: 18.09.2016																								
																								
Наименование Избирательной комиссии:    Красноперекопская городская																								
																								
Сводная таблица итогов голосования по федеральному избирательному округу																								
																								
		Сумма	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	22143	1705	1906	1889	1817	1739	1838	2014	1683	1860	1868	1974	1768	82									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	19850	1550	1700	1650	1600	1550	1650	1800	1550	1650	1650	1750	1550	200									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	13193	967	1008	1070	1316	995	1281	1503	908	1062	1273	987	815	8									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	606	19	31	48	87	34	33	49	50	31	51	35	68	70									
6	Число погашенных избирательных бюллетеней	6051	564	661	532	197	521	336	248	592	557	326	728	667	122									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	606	19	31	48	87	34	33	49	50	31	51	35	68	70									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	13191	967	1008	1070	1316	995	1281	1501	908	1062	1273	987	815	8									
9	Число недействительных избирательных бюллетеней	210	0	19	28	17	23	20	18	9	22	16	20	18	0									
10	Число действительных избирательных бюллетеней	13587	986	1020	1090	1386	1006	1294	1532	949	1071	1308	1002	865	78									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	660	55	55	55	55	55	55	55	55	55	55	55	55	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	157	12	11	11	13	14	16	19	15	12	15	15	4	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	169	3	14	11	15	18	22	13	13	22	16	12	9	1									
