Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																												
Дата голосования: 18.09.2016																																												
																																												
Наименование Избирательной комиссии:    Черноморская																																												
																																												
Сводная таблица итогов голосования по федеральному избирательному округу																																												
																																												
		Сумма	УИК №1245	УИК №1246	УИК №1247	УИК №1248	УИК №1249	УИК №1250	УИК №1251	УИК №1252	УИК №1253	УИК №1254	УИК №1255	УИК №1256	УИК №1257	УИК №1258	УИК №1259	УИК №1260	УИК №1261	УИК №1262	УИК №1263	УИК №1264	УИК №1265	УИК №1266	УИК №1267	УИК №1268	УИК №1269	УИК №1270	УИК №1271	УИК №1272	УИК №1273	УИК №1274	УИК №1275	УИК №1276	УИК №1277									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	25401	1572	1723	1608	1519	2221	785	731	108	293	238	246	1072	780	100	181	868	363	322	489	179	1508	1588	178	623	756	196	1848	174	523	470	427	1138	574									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	23680	1190	1650	1530	1288	2152	760	730	100	290	240	250	1070	760	90	175	855	350	300	510	180	1500	1250	170	610	750	180	1800	170	510	460	400	850	560									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	15620	1133	1006	1044	1245	1392	510	394	84	155	170	135	732	521	75	113	494	207	173	417	144	759	774	89	278	420	120	1191	123	284	226	196	731	285									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	925	25	38	27	33	16	17	35	4	12	11	12	32	33	0	7	24	21	19	38	19	76	61	12	53	51	7	63	14	37	35	33	27	33									
6	Число погашенных избирательных бюллетеней	7135	32	606	459	10	744	233	301	12	123	59	103	306	206	15	55	337	122	108	55	17	665	415	69	279	279	53	546	33	189	199	171	92	242									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	925	25	38	27	33	16	17	35	4	12	11	12	32	33	0	7	24	21	19	38	19	76	61	12	53	51	7	63	14	37	35	33	27	33									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	15620	1133	1006	1044	1245	1392	510	394	84	155	170	135	732	521	75	113	494	207	173	417	144	759	774	89	278	420	120	1191	123	284	226	196	731	285									
9	Число недействительных избирательных бюллетеней	318	24	23	16	19	23	11	14	0	6	2	8	8	8	0	4	7	8	5	0	1	24	22	1	11	10	3	30	0	1	5	5	13	6									
10	Число действительных избирательных бюллетеней	16227	1134	1021	1055	1259	1385	516	415	88	161	179	139	756	546	75	116	511	220	187	455	162	811	813	100	320	461	124	1224	137	320	256	224	745	312									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	755	30	30	30	30	50	15	20	10	20	10	20	30	30	10	10	20	10	10	80	10	30	30	10	20	20	10	30	10	20	10	20	50	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	304	18	19	16	13	19	2	4	0	5	10	18	19	6	0	1	4	0	6	40	10	8	12	5	8	12	2	18	7	7	2	5	3	5									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	317	16	42	81	22	28	4	2	2	2	2	1	4	6	7	2	4	1	0	7	1	3	14	4	2	4	0	13	5	5	3	4	23	3									
14	Число погашенных неиспользованных открепительных удостоверений	451	12	11	14	17	31	13	16	10	15	0	2	11	24	10	9	16	10	4	40	0	22	18	5	12	8	8	12	3	13	8	15	47	15									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	32	2	2	1	3	3	0	1	0	1	0	0	0	0	0	0	0	0	0	5	1	2	4	0	0	1	0	1	1	2	0	0	0	2									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																												
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	127	6	9	23	14	14	3	1	0	1	0	0	5	2	0	0	6	1	0	5	3	4	2	1	3	4	0	8	6	0	2	3	1	0									
		0.77%	0.52%	0.86%	2.15%	1.10%	0.99%	0.57%	0.23%	0.00%	0.60%	0.00%	0.00%	0.65%	0.36%	0.00%	0.00%	1.16%	0.44%	0.00%	1.10%	1.84%	0.48%	0.24%	0.99%	0.91%	0.85%	0.00%	0.64%	4.38%	0.00%	0.77%	1.31%	0.13%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	219	8	15	13	15	16	1	0	2	0	5	2	11	6	2	3	12	1	5	6	2	10	14	2	6	7	1	15	6	7	5	1	12	8									
		1.32%	0.69%	1.44%	1.21%	1.17%	1.14%	0.19%	0.00%	2.27%	0.00%	2.76%	1.36%	1.44%	1.08%	2.67%	2.50%	2.32%	0.44%	2.60%	1.32%	1.23%	1.20%	1.68%	1.98%	1.81%	1.49%	0.79%	1.20%	4.38%	2.18%	1.92%	0.44%	1.58%	2.52%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	175	12	8	14	2	19	8	10	0	0	0	0	5	6	0	2	4	5	3	5	4	8	8	5	12	5	0	10	2	1	1	3	7	6									
		1.06%	1.04%	0.77%	1.31%	0.16%	1.35%	1.52%	2.33%	0.00%	0.00%	0.00%	0.00%	0.65%	1.08%	0.00%	1.67%	0.77%	2.19%	1.56%	1.10%	2.45%	0.96%	0.96%	4.95%	3.63%	1.06%	0.00%	0.80%	1.46%	0.31%	0.38%	1.31%	0.92%	1.89%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	12383	903	751	811	1033	990	416	324	73	123	135	111	534	368	42	86	384	162	125	381	121	661	635	80	241	333	111	999	104	239	216	180	478	233									
		74.84%	77.98%	71.93%	75.72%	80.83%	70.31%	78.94%	75.52%	82.95%	73.65%	74.59%	75.51%	69.90%	66.43%	56.00%	71.67%	74.13%	71.05%	65.10%	83.74%	74.23%	79.16%	76.05%	79.21%	72.81%	70.70%	87.40%	79.67%	75.91%	74.45%	82.76%	78.60%	63.06%	73.27%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	122	9	21	8	8	12	2	2	2	1	5	2	4	2	1	0	1	4	3	4	2	1	6	1	0	2	2	3	0	2	0	3	6	3									
		0.74%	0.78%	2.01%	0.75%	0.63%	0.85%	0.38%	0.47%	2.27%	0.60%	2.76%	1.36%	0.52%	0.36%	1.33%	0.00%	0.19%	1.75%	1.56%	0.88%	1.23%	0.12%	0.72%	0.99%	0.00%	0.42%	1.57%	0.24%	0.00%	0.62%	0.00%	1.31%	0.79%	0.94%									
24	"6. Политическая партия ""Гражданская Платформа"""	31	2	2	0	0	0	2	2	0	0	0	2	4	0	1	0	0	2	1	0	0	3	2	0	0	0	0	4	0	1	0	0	2	1									
		0.19%	0.17%	0.19%	0.00%	0.00%	0.00%	0.38%	0.47%	0.00%	0.00%	0.00%	1.36%	0.52%	0.00%	1.33%	0.00%	0.00%	0.88%	0.52%	0.00%	0.00%	0.36%	0.24%	0.00%	0.00%	0.00%	0.00%	0.32%	0.00%	0.31%	0.00%	0.00%	0.26%	0.31%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1781	108	139	106	95	207	45	15	4	6	14	10	121	126	24	14	64	20	31	18	8	68	91	4	25	50	2	94	12	39	14	11	167	29									
		10.76%	9.33%	13.31%	9.90%	7.43%	14.70%	8.54%	3.50%	4.55%	3.59%	7.73%	6.80%	15.84%	22.74%	32.00%	11.67%	12.36%	8.77%	16.15%	3.96%	4.91%	8.14%	10.90%	3.96%	7.55%	10.62%	1.57%	7.50%	8.76%	12.15%	5.36%	4.80%	22.03%	9.12%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	161	6	7	8	8	18	3	10	0	2	0	8	5	4	0	0	1	1	2	8	3	5	11	2	11	6	1	10	2	8	5	3	1	2									
		0.97%	0.52%	0.67%	0.75%	0.63%	1.28%	0.57%	2.33%	0.00%	1.20%	0.00%	5.44%	0.65%	0.72%	0.00%	0.00%	0.19%	0.44%	1.04%	1.76%	1.84%	0.60%	1.32%	1.98%	3.32%	1.27%	0.79%	0.80%	1.46%	2.49%	1.92%	1.31%	0.13%	0.63%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	57	5	5	2	1	7	2	4	0	1	0	0	4	2	0	0	1	0	1	0	4	1	1	0	3	1	1	3	0	4	0	0	4	0									
		0.34%	0.43%	0.48%	0.19%	0.08%	0.50%	0.38%	0.93%	0.00%	0.60%	0.00%	0.00%	0.52%	0.36%	0.00%	0.00%	0.19%	0.00%	0.52%	0.00%	2.45%	0.12%	0.12%	0.00%	0.91%	0.21%	0.79%	0.24%	0.00%	1.25%	0.00%	0.00%	0.53%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	19	2	3	0	0	0	2	1	0	0	0	0	2	0	0	0	1	0	0	3	1	0	0	0	0	1	0	3	0	0	0	0	0	0									
		0.11%	0.17%	0.29%	0.00%	0.00%	0.00%	0.38%	0.23%	0.00%	0.00%	0.00%	0.00%	0.26%	0.00%	0.00%	0.00%	0.19%	0.00%	0.00%	0.66%	0.61%	0.00%	0.00%	0.00%	0.00%	0.21%	0.00%	0.24%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	154	7	10	9	14	11	6	4	2	6	3	0	10	13	2	0	2	1	1	6	4	4	10	0	4	4	0	9	1	1	2	0	7	1									
		0.93%	0.60%	0.96%	0.84%	1.10%	0.78%	1.14%	0.93%	2.27%	3.59%	1.66%	0.00%	1.31%	2.35%	2.67%	0.00%	0.39%	0.44%	0.52%	1.32%	2.45%	0.48%	1.20%	0.00%	1.21%	0.85%	0.00%	0.72%	0.73%	0.31%	0.77%	0.00%	0.92%	0.31%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	730	49	27	43	52	66	19	20	4	10	13	4	38	10	2	10	32	21	12	9	5	38	30	4	7	42	6	45	3	16	9	18	44	22									
		4.41%	4.23%	2.59%	4.01%	4.07%	4.69%	3.61%	4.66%	4.55%	5.99%	7.18%	2.72%	4.97%	1.81%	2.67%	8.33%	6.18%	9.21%	6.25%	1.98%	3.07%	4.55%	3.59%	3.96%	2.11%	8.92%	4.72%	3.59%	2.19%	4.98%	3.45%	7.86%	5.80%	6.92%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	71	7	4	4	4	9	3	1	0	0	0	0	2	4	0	1	1	1	0	2	1	2	1	0	4	1	0	8	0	1	1	1	6	2									
		0.43%	0.60%	0.38%	0.37%	0.31%	0.64%	0.57%	0.23%	0.00%	0.00%	0.00%	0.00%	0.26%	0.72%	0.00%	0.83%	0.19%	0.44%	0.00%	0.44%	0.61%	0.24%	0.12%	0.00%	1.21%	0.21%	0.00%	0.64%	0.00%	0.31%	0.38%	0.44%	0.79%	0.63%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	197	10	20	14	13	16	4	21	1	11	4	0	11	3	1	0	2	1	3	8	4	6	2	1	4	5	0	13	1	1	1	1	10	5									
		1.19%	0.86%	1.92%	1.31%	1.02%	1.14%	0.76%	4.90%	1.14%	6.59%	2.21%	0.00%	1.44%	0.54%	1.33%	0.00%	0.39%	0.44%	1.56%	1.76%	2.45%	0.72%	0.24%	0.99%	1.21%	1.06%	0.00%	1.04%	0.73%	0.31%	0.38%	0.44%	1.32%	1.57%									
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
																																												
