Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																			
Дата голосования: 18.09.2016																			
																			
Наименование Избирательной комиссии:    Эгвекинотская																			
																			
Сводная таблица итогов голосования по федеральному избирательному округу																			
																			
		Сумма	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	2688	1114	428	199	90	323	74	71	389									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	3500	1325	640	242	141	356	132	99	565									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	556	211	0	46	0	140	0	0	159									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	1738	681	322	140	88	180	74	71	182									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	107	41	35	3	0	0	0	0	28									
6	Число погашенных избирательных бюллетеней	1099	392	283	53	53	36	58	28	196									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	663	252	35	49	0	140	0	0	187									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	1738	681	322	140	88	180	74	71	182									
9	Число недействительных избирательных бюллетеней	86	11	6	8	3	11	4	3	40									
10	Число действительных избирательных бюллетеней	2315	922	351	181	85	309	70	68	329									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	230	50	30	20	20	30	20	20	40									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	44	22	4	2	0	0	8	4	4									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	19	11	3	1	0	2	2	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	186	28	26	18	20	30	12	16	36									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	90	46	24	2	3	4	2	4	5									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0									
																			
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	15	3	2	1	1	2	2	0	4									
		0.62%	0.32%	0.56%	0.53%	1.14%	0.63%	2.70%	0.00%	1.08%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	44	17	10	2	0	8	3	0	4									
		1.83%	1.82%	2.80%	1.06%	0.00%	2.50%	4.05%	0.00%	1.08%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	50	13	2	6	0	12	2	0	15									
		2.08%	1.39%	0.56%	3.17%	0.00%	3.75%	2.70%	0.00%	4.07%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1684	723	237	120	61	194	55	53	241									
		70.14%	77.49%	66.39%	63.49%	69.32%	60.63%	74.32%	74.65%	65.31%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	14	5	3	2	0	2	0	0	2									
		0.58%	0.54%	0.84%	1.06%	0.00%	0.63%	0.00%	0.00%	0.54%									
24	"6. Политическая партия ""Гражданская Платформа"""	4	1	1	1	0	1	0	0	0									
		0.17%	0.11%	0.28%	0.53%	0.00%	0.31%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	230	67	50	28	15	38	5	6	21									
		9.58%	7.18%	14.01%	14.81%	17.05%	11.88%	6.76%	8.45%	5.69%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	5	1	0	1	1	2	0	0	0									
		0.21%	0.11%	0.00%	0.53%	1.14%	0.63%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	17	8	3	1	0	2	0	0	3									
		0.71%	0.86%	0.84%	0.53%	0.00%	0.63%	0.00%	0.00%	0.81%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	3	3	0	0	0	0	0	0	0									
		0.12%	0.32%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	20	9	4	0	1	2	0	1	3									
		0.83%	0.96%	1.12%	0.00%	1.14%	0.63%	0.00%	1.41%	0.81%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	147	58	22	11	2	27	3	4	20									
		6.12%	6.22%	6.16%	5.82%	2.27%	8.44%	4.05%	5.63%	5.42%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	16	2	4	2	2	2	0	1	3									
		0.67%	0.21%	1.12%	1.06%	2.27%	0.63%	0.00%	1.41%	0.81%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	66	12	13	6	2	17	0	3	13									
		2.75%	1.29%	3.64%	3.17%	2.27%	5.31%	0.00%	4.23%	3.52%									
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
																			
