Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																											
Дата голосования: 18.09.2016																											
																											
Наименование Избирательной комиссии:    Лабытнангская городская																											
																											
Сводная таблица итогов голосования по федеральному избирательному округу																											
																											
		Сумма	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	14905	954	939	997	1267	870	917	934	871	1090	911	1022	411	1043	1117	592	970									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	13400	800	800	800	1350	800	850	850	800	1150	850	850	350	900	850	600	800									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	9804	500	569	609	859	585	722	686	584	724	594	715	252	738	653	430	584									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	279	3	15	13	12	11	10	10	11	6	14	19	96	9	41	2	7									
6	Число погашенных избирательных бюллетеней	3317	297	216	178	479	204	118	154	205	420	242	116	2	153	156	168	209									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	279	3	15	13	12	11	10	10	11	6	14	19	96	9	41	2	7									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	9802	500	569	609	859	585	722	686	584	724	594	715	252	738	653	428	584									
9	Число недействительных избирательных бюллетеней	161	5	23	7	20	10	0	5	2	19	19	8	0	3	17	7	16									
10	Число действительных избирательных бюллетеней	9920	498	561	615	851	586	732	691	593	711	589	726	348	744	677	423	575									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	307	16	16	20	20	18	22	17	26	20	20	20	12	22	18	23	17									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	160	0	5	8	15	9	12	12	16	9	4	3	5	18	14	18	12									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	107	4	12	3	3	6	9	19	6	2	6	5	3	8	9	9	3									
14	Число погашенных неиспользованных открепительных удостоверений	147	16	11	12	5	9	10	5	10	11	16	17	7	4	4	5	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	233	14	12	12	9	17	14	27	13	17	17	19	7	16	19	10	10									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																											
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	68	4	2	2	16	4	1	7	7	5	6	2	1	3	4	3	1									
		0.67%	0.80%	0.34%	0.32%	1.84%	0.67%	0.14%	1.01%	1.18%	0.68%	0.99%	0.27%	0.29%	0.40%	0.58%	0.70%	0.17%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	124	6	9	2	35	3	1	8	7	12	3	3	17	11	3	3	1									
		1.23%	1.19%	1.54%	0.32%	4.02%	0.50%	0.14%	1.15%	1.18%	1.64%	0.49%	0.41%	4.89%	1.47%	0.43%	0.70%	0.17%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	106	5	14	1	23	8	2	5	16	17	2	5	0	2	3	1	2									
		1.05%	0.99%	2.40%	0.16%	2.64%	1.34%	0.27%	0.72%	2.69%	2.33%	0.33%	0.68%	0.00%	0.27%	0.43%	0.23%	0.34%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	6592	300	247	428	365	397	577	485	353	323	508	547	282	546	538	316	380									
		65.39%	59.64%	42.29%	68.81%	41.91%	66.61%	78.83%	69.68%	59.33%	44.25%	83.55%	74.52%	81.03%	73.09%	77.52%	73.49%	64.30%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	46	5	8	1	6	5	1	0	3	10	1	2	0	1	1	1	1									
		0.46%	0.99%	1.37%	0.16%	0.69%	0.84%	0.14%	0.00%	0.50%	1.37%	0.16%	0.27%	0.00%	0.13%	0.14%	0.23%	0.17%									
24	"6. Политическая партия ""Гражданская Платформа"""	16	1	0	0	4	1	1	0	1	2	0	0	0	2	2	1	1									
		0.16%	0.20%	0.00%	0.00%	0.46%	0.17%	0.14%	0.00%	0.17%	0.27%	0.00%	0.00%	0.00%	0.27%	0.29%	0.23%	0.17%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1510	92	191	87	235	85	89	93	98	209	32	62	31	69	54	21	62									
		14.98%	18.29%	32.71%	13.99%	26.98%	14.26%	12.16%	13.36%	16.47%	28.63%	5.26%	8.45%	8.91%	9.24%	7.78%	4.88%	10.49%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	35	2	1	1	4	4	1	0	3	7	1	1	0	4	1	2	3									
		0.35%	0.40%	0.17%	0.16%	0.46%	0.67%	0.14%	0.00%	0.50%	0.96%	0.16%	0.14%	0.00%	0.54%	0.14%	0.47%	0.51%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	69	0	6	1	12	5	1	0	19	12	1	1	0	6	2	1	2									
		0.68%	0.00%	1.03%	0.16%	1.38%	0.84%	0.14%	0.00%	3.19%	1.64%	0.16%	0.14%	0.00%	0.80%	0.29%	0.23%	0.34%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	10	2	2	0	1	1	1	0	0	0	2	0	0	0	0	0	1									
		0.10%	0.40%	0.34%	0.00%	0.11%	0.17%	0.14%	0.00%	0.00%	0.00%	0.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.17%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	54	1	4	2	4	3	2	2	5	10	3	3	1	3	3	5	3									
		0.54%	0.20%	0.68%	0.32%	0.46%	0.50%	0.27%	0.29%	0.84%	1.37%	0.49%	0.41%	0.29%	0.40%	0.43%	1.16%	0.51%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	745	62	56	43	90	49	28	62	43	67	15	50	0	42	42	40	56									
		7.39%	12.33%	9.59%	6.91%	10.33%	8.22%	3.83%	8.91%	7.23%	9.18%	2.47%	6.81%	0.00%	5.62%	6.05%	9.30%	9.48%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	29	1	1	3	2	3	1	0	4	4	3	0	1	1	3	1	1									
		0.29%	0.20%	0.17%	0.48%	0.23%	0.50%	0.14%	0.00%	0.67%	0.55%	0.49%	0.00%	0.29%	0.13%	0.43%	0.23%	0.17%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	516	17	20	44	54	18	26	29	34	33	12	50	15	54	21	28	61									
		5.12%	3.38%	3.42%	7.07%	6.20%	3.02%	3.55%	4.17%	5.71%	4.52%	1.97%	6.81%	4.31%	7.23%	3.03%	6.51%	10.32%									
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
																											
