Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																				
Дата голосования: 18.09.2016																																																				
																																																				
Наименование Избирательной комиссии:    Ардатовская																																																				
																																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																																				
																																																				
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	21198	1429	1338	1446	1446	1512	685	724	1181	1176	493	1361	260	244	352	266	86	413	112	104	126	145	167	579	287	217	203	108	141	318	484	686	273	674	151	173	170	221	207	110	553	577									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	21467	1450	1344	1428	1462	1535	694	736	1207	1196	494	1394	269	245	360	271	86	425	114	102	126	145	168	580	289	218	209	113	143	319	509	700	276	681	151	175	175	223	210	106	555	584									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	19416	1318	1225	1222	1340	1296	617	676	1096	1099	468	1312	243	210	327	228	84	377	103	94	116	135	158	536	266	205	189	102	132	293	458	646	259	568	140	157	168	207	191	96	514	545									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	737	40	26	55	29	53	41	19	26	30	15	26	6	13	18	15	2	24	6	6	6	7	4	31	18	5	11	6	7	12	18	26	9	36	5	8	2	10	12	6	19	29									
6	Число погашенных избирательных бюллетеней	1314	92	93	151	93	186	36	41	85	67	11	56	20	22	15	28	0	24	5	2	4	3	6	13	5	8	9	5	4	14	33	28	8	77	6	10	5	6	7	4	22	10									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	737	40	26	55	29	53	41	19	26	30	15	26	6	13	18	15	2	24	6	6	6	7	4	31	18	5	11	6	7	12	18	26	9	36	5	8	2	10	12	6	19	29									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	19396	1314	1224	1212	1340	1291	617	676	1096	1099	468	1312	243	210	327	228	84	377	103	94	116	135	158	536	266	205	189	102	132	293	458	646	259	568	140	157	168	207	191	96	514	545									
9	Число недействительных избирательных бюллетеней	30	12	0	3	3	6	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4									
10	Число действительных избирательных бюллетеней	20103	1342	1250	1264	1366	1338	658	695	1122	1129	483	1338	249	223	345	243	86	399	109	100	122	142	162	567	284	210	200	108	139	305	476	672	268	604	145	165	170	217	203	102	533	570									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	135	5	5	10	8	5	2	5	8	5	3	10	2	2	2	3	2	3	2	2	2	2	2	2	2	2	2	2	2	2	8	3	2	2	2	2	2	2	2	2	2	2									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	89	3	4	10	8	5	1	5	8	5	3	10	0	1	0	3	0	2	1	0	0	0	0	0	1	1	0	1	0	0	8	3	0	0	0	1	0	2	0	1	2	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	31	2	2	5	3	9	0	0	0	0	1	0	0	0	3	0	0	0	0	3	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	46	2	1	0	0	0	1	0	0	0	0	0	2	1	2	0	2	1	1	2	2	2	2	2	1	1	2	1	2	2	0	0	2	2	2	1	2	0	2	1	0	2									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	57	3	5	5	3	3	1	2	3	3	3	3	4	1	5	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	6	1	0	0	0	0	0	0	0	0	2	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																				
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	16	3	2	2	3	2	0	1	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
		0.08%	0.22%	0.16%	0.16%	0.22%	0.15%	0.00%	0.14%	0.00%	0.09%	0.21%	0.00%	0.00%	0.45%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	86	2	3	2	3	12	2	2	0	0	10	1	8	0	0	0	2	0	0	0	1	0	0	0	0	2	0	0	0	0	0	14	0	14	0	0	0	1	1	0	0	6									
		0.43%	0.15%	0.24%	0.16%	0.22%	0.89%	0.30%	0.29%	0.00%	0.00%	2.07%	0.07%	3.21%	0.00%	0.00%	0.00%	2.33%	0.00%	0.00%	0.00%	0.82%	0.00%	0.00%	0.00%	0.00%	0.95%	0.00%	0.00%	0.00%	0.00%	0.00%	2.08%	0.00%	2.32%	0.00%	0.00%	0.00%	0.46%	0.49%	0.00%	0.00%	1.05%									
