Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																	
Дата голосования: 18.09.2016																																																																																	
																																																																																	
Наименование Избирательной комиссии:    Альметьевская городская																																																																																	
																																																																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																	
																																																																																	
		Сумма	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №2829	УИК №2830	УИК №8015	УИК №8016	УИК №8064	УИК №8065	УИК №8304	УИК №8305	УИК №8306	УИК №8307									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	113537	2361	2345	2073	812	1839	2755	2334	2382	1641	2095	1617	1560	1840	1918	1703	1851	1796	1376	1136	1661	1337	109	2230	815	730	2180	2152	1704	2059	1735	2031	2069	1630	2131	1551	2062	1672	1634	1604	1976	2259	1919	2044	1930	1959	1987	1627	2301	1719	2392	2481	1445	894	2430	207	2122	2661	1492	535	2243	1201	1652	1033	60	726	75	1152	185	32	268									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	138430	2320	2300	2010	810	1820	2670	2230	2320	1630	2060	1600	1550	1800	1910	1620	1830	1760	1330	1120	1630	1300	350	2220	820	720	2140	2130	1700	2030	1700	1950	2050	1530	2000	1490	2040	1660	1600	1600	2000	2220	1900	2030	1900	1950	1980	1610	2270	1710	2360	2450	1420	900	2300	350	2100	2580	1490	530	2180	1170	1580	3836	840	6231	620	16200	1884	35	454									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	90329	2009	1939	1524	650	1387	1194	1875	1206	1335	1316	1123	1210	1554	1636	1375	1518	1406	1139	735	1385	1041	0	1825	708	619	1864	1643	1405	1509	1363	1608	1678	1286	1505	1253	1450	1330	1281	1305	1669	1853	1554	1708	1600	1663	1694	1302	1887	1421	2004	2107	1223	715	2012	0	1794	2464	1243	445	1883	1006	1391	1029	60	710	75	1149	185	26	268									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	2398	21	54	104	20	73	15	39	59	18	8	21	3	21	18	73	59	33	26	72	11	16	109	73	6	3	17	83	11	35	43	78	78	21	263	65	62	41	36	31	19	15	20	32	56	20	15	10	14	5	13	9	8	10	25	207	9	9	44	23	2	5	4	2	0	3	0	0	0	0	0									
6	Число погашенных избирательных бюллетеней	45703	290	307	382	140	360	1461	316	1055	277	736	456	337	225	256	172	253	321	165	313	234	243	241	322	106	98	259	404	284	486	294	264	294	223	232	172	528	289	283	264	312	352	326	290	244	267	271	298	369	284	343	334	189	175	263	143	297	107	203	62	295	159	185	2805	780	5518	545	15051	1699	9	186									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	2398	21	54	104	20	73	15	39	59	18	8	21	3	21	18	73	59	33	26	72	11	16	109	73	6	3	17	83	11	35	43	78	78	21	263	65	62	41	36	31	19	15	20	32	56	20	15	10	14	5	13	9	8	10	25	207	9	9	44	23	2	5	4	2	0	3	0	0	0	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	90318	2009	1939	1524	650	1387	1188	1875	1206	1335	1316	1123	1210	1554	1636	1375	1518	1406	1139	735	1385	1041	0	1825	708	619	1864	1643	1405	1509	1363	1608	1678	1286	1505	1253	1450	1330	1281	1305	1669	1853	1554	1708	1600	1663	1694	1302	1887	1421	2004	2107	1223	715	2012	0	1794	2464	1242	445	1883	1006	1391	1028	60	708	75	1149	185	26	267									
9	Число недействительных избирательных бюллетеней	676	0	4	14	0	24	44	0	27	0	47	0	17	12	8	9	7	0	0	4	68	6	0	66	0	0	0	3	0	18	0	0	0	0	0	9	11	5	0	0	128	0	0	8	4	8	43	2	0	0	3	6	0	4	20	0	0	0	13	0	0	0	0	7	0	7	0	13	1	1	5									
10	Число действительных избирательных бюллетеней	92040	2030	1989	1614	670	1436	1159	1914	1238	1353	1277	1144	1196	1563	1646	1439	1570	1439	1165	803	1328	1051	109	1832	714	622	1881	1723	1416	1526	1406	1686	1756	1307	1768	1309	1501	1366	1317	1336	1560	1868	1574	1732	1652	1675	1666	1310	1901	1426	2014	2110	1231	721	2017	207	1803	2473	1273	468	1885	1011	1395	1023	60	704	75	1136	184	25	262									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2495	45	45	45	25	35	45	44	45	35	45	35	45	35	40	35	35	35	35	35	35	35	0	55	25	25	45	45	35	45	35	45	45	35	45	35	45	35	35	35	45	45	35	45	35	45	45	35	45	40	46	55	35	25	45	0	50	45	35	25	55	35	65	15	15	5	5	20	20	5	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	1705	32	19	32	16	21	17	34	34	33	27	29	39	28	35	25	28	31	19	20	16	17	0	38	14	10	29	29	29	35	18	36	28	24	37	14	25	35	27	24	30	27	23	32	23	38	34	23	30	36	32	53	13	10	34	0	50	45	26	6	50	23	59	2	0	0	0	2	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	607	10	6	27	6	4	9	10	5	8	5	10	23	4	4	44	8	8	5	10	6	33	0	0	0	0	1	3	6	3	9	7	2	4	12	2	7	12	2	12	5	7	0	0	3	0	0	4	3	7	3	14	0	0	12	0	7	11	0	0	10	3	13	55	1	50	0	62	1	1	8									
14	Число погашенных неиспользованных открепительных удостоверений	790	13	26	13	9	14	28	10	11	2	18	6	6	7	5	10	7	4	16	15	19	18	0	17	11	15	16	16	6	10	17	9	17	11	8	21	20	0	8	11	15	18	12	13	12	7	11	12	15	4	14	2	22	15	11	0	0	0	9	19	5	12	6	13	15	5	5	18	20	5	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	50	1	0	0	1	0	1	1	1	0	1	0	1	1	0	0	1	0	1	1	2	0	0	1	1	0	1	0	1	1	0	2	0	2	0	1	2	0	1	0	1	3	2	2	0	1	1	1	2	2	0	1	0	1	1	0	0	1	4	0	1	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
