Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																	
Дата голосования: 18.09.2016																	
																	
Наименование Избирательной комиссии:    Овюрская																	
																	
Сводная таблица итогов голосования по федеральному избирательному округу																	
																	
		Сумма	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	3691	211	264	400	1800	582	434									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	3753	215	300	410	1800	592	436									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	698	66	58	87	236	136	115									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	2583	145	189	245	1299	414	291									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	140	0	17	5	58	32	28									
6	Число погашенных избирательных бюллетеней	332	4	36	73	207	10	2									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	838	66	75	92	294	168	143									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	2582	145	189	245	1298	414	291									
9	Число недействительных избирательных бюллетеней	16	0	5	4	7	0	0									
10	Число действительных избирательных бюллетеней	3404	211	259	333	1585	582	434									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	39	0	0	5	32	2	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	39	0	0	5	32	2	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	22	1	1	4	10	2	4									
14	Число погашенных неиспользованных открепительных удостоверений	0	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	11	0	0	1	9	0	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0									
																	
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	3	0	0	0	3	0	0									
		0.09%	0.00%	0.00%	0.00%	0.19%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	35	0	2	3	30	0	0									
		1.02%	0.00%	0.76%	0.89%	1.88%	0.00%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	5	0	0	1	4	0	0									
		0.15%	0.00%	0.00%	0.30%	0.25%	0.00%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3178	208	238	324	1394	580	434									
		92.92%	98.58%	90.15%	96.14%	87.56%	99.66%	100.00%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	2	0	0	0	2	0	0									
		0.06%	0.00%	0.00%	0.00%	0.13%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	1	0	0	0	1	0	0									
		0.03%	0.00%	0.00%	0.00%	0.06%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	24	1	0	1	22	0	0									
		0.70%	0.47%	0.00%	0.30%	1.38%	0.00%	0.00%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	6	0	0	0	6	0	0									
		0.18%	0.00%	0.00%	0.00%	0.38%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	3	0	0	0	3	0	0									
		0.09%	0.00%	0.00%	0.00%	0.19%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	0	0	0	0	0	0	0									
		0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	5	0	0	0	5	0	0									
		0.15%	0.00%	0.00%	0.00%	0.31%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	118	2	19	4	93	0	0									
		3.45%	0.95%	7.20%	1.19%	5.84%	0.00%	0.00%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	2	0	0	0	2	0	0									
		0.06%	0.00%	0.00%	0.00%	0.13%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	22	0	0	0	20	2	0									
		0.64%	0.00%	0.00%	0.00%	1.26%	0.34%	0.00%									
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
