Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																									
Дата голосования: 18.09.2016																									
																									
Наименование Избирательной комиссии:    Итум-Калинская																									
																									
Сводная таблица итогов голосования по федеральному избирательному округу																									
																									
		Сумма	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №451									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	4536	578	579	256	269	335	345	160	249	133	203	12	31	26	1360									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	4435	559	558	248	260	324	333	156	240	131	197	12	31	26	1360									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4253	540	534	231	246	302	316	144	228	116	182	7	26	21	1360									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	87	11	13	7	6	8	10	4	6	6	8	3	2	3	0									
6	Число погашенных избирательных бюллетеней	95	8	11	10	8	14	7	8	6	9	7	2	3	2	0									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	87	11	13	7	6	8	10	4	6	6	8	3	2	3	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4253	540	534	231	246	302	316	144	228	116	182	7	26	21	1360									
9	Число недействительных избирательных бюллетеней	5	1	1	0	0	1	1	0	0	0	1	0	0	0	0									
10	Число действительных избирательных бюллетеней	4335	550	546	238	252	309	325	148	234	122	189	10	28	24	1360									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	34	5	5	4	0	0	0	0	0	0	0	0	0	0	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	15	5	5	4	0	0	0	0	0	0	0	0	0	0	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	19	0	0	0	0	0	0	0	0	0	0	0	0	0	19									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	166	0	0	1	0	0	0	0	0	0	0	0	0	0	165									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																									
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	23	1	2	1	4	2	1	3	1	2	2	0	1	0	3									
