Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																									
Дата голосования: 18.09.2016																																									
																																									
Наименование Избирательной комиссии:    Янтиковская																																									
																																									
Сводная таблица итогов голосования по федеральному избирательному округу																																									
																																									
		Сумма	УИК №2501	УИК №2502	УИК №2503	УИК №2504	УИК №2505	УИК №2506	УИК №2507	УИК №2508	УИК №2509	УИК №2510	УИК №2511	УИК №2512	УИК №2513	УИК №2514	УИК №2515	УИК №2516	УИК №2517	УИК №2518	УИК №2519	УИК №2520	УИК №2521	УИК №2522	УИК №2523	УИК №2524	УИК №2525	УИК №2526	УИК №2527	УИК №2528	УИК №2529	УИК №2530									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	10210	214	235	184	179	305	192	269	406	101	154	369	313	873	84	490	217	201	325	391	177	707	301	1005	454	514	357	77	202	798	116									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	10348	225	242	195	181	332	202	284	427	104	160	376	311	865	92	502	227	204	326	394	183	676	300	987	452	511	347	83	214	833	113									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	8108	182	211	154	164	237	160	235	301	75	118	299	278	698	68	363	172	135	230	309	148	564	212	780	388	427	284	71	171	597	77									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	781	21	17	23	15	40	20	20	26	24	15	25	24	51	6	53	21	22	31	21	15	48	36	20	10	24	33	6	20	78	16									
6	Число погашенных избирательных бюллетеней	1458	22	14	18	2	55	22	29	100	5	27	52	9	116	18	86	34	47	65	64	20	63	52	187	54	60	30	6	23	158	20									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	781	21	17	23	15	40	20	20	26	24	15	25	24	51	6	53	21	22	31	21	15	48	36	20	10	24	33	6	20	78	16									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	8108	182	211	154	164	237	160	235	301	75	118	299	278	698	68	363	172	135	230	309	148	564	212	780	388	427	284	71	171	597	77									
9	Число недействительных избирательных бюллетеней	240	7	1	4	3	3	1	15	5	1	4	3	10	30	1	6	12	7	9	7	3	17	5	15	16	12	2	3	7	27	4									
10	Число действительных избирательных бюллетеней	8649	196	227	173	176	274	179	240	322	98	129	321	292	719	73	410	181	150	252	323	160	595	243	785	382	439	315	74	184	648	89									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	338	10	10	13	5	12	8	11	11	1	7	10	0	38	5	13	9	5	8	8	15	16	8	23	11	15	16	0	15	35	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	336	10	10	13	5	12	8	11	11	1	7	10	0	38	5	13	9	5	8	8	15	16	8	23	11	15	16	0	13	35	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	54	1	1	2	2	0	2	2	0	0	0	0	0	5	1	1	0	1	2	3	1	7	0	4	2	4	4	2	1	3	3									
14	Число погашенных неиспользованных открепительных удостоверений	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	159	7	15	3	7	19	4	17	6	2	3	7	1	4	2	0	0	0	1	7	2	1	6	15	8	3	0	1	4	14	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																									
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	64	0	0	1	0	0	0	1	0	1	0	1	0	6	1	3	3	1	0	0	1	4	0	6	5	1	19	0	1	9	0									
		0.72%	0.00%	0.00%	0.56%	0.00%	0.00%	0.00%	0.39%	0.00%	1.01%	0.00%	0.31%	0.00%	0.80%	1.35%	0.72%	1.55%	0.64%	0.00%	0.00%	0.61%	0.65%	0.00%	0.75%	1.26%	0.22%	5.99%	0.00%	0.52%	1.33%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	194	5	4	3	2	7	0	4	5	1	5	6	2	28	0	10	3	3	8	6	7	20	2	15	5	6	8	2	2	23	2									
		2.18%	2.46%	1.75%	1.69%	1.12%	2.53%	0.00%	1.57%	1.53%	1.01%	3.76%	1.85%	0.66%	3.74%	0.00%	2.40%	1.55%	1.91%	3.07%	1.82%	4.29%	3.27%	0.81%	1.88%	1.26%	1.33%	2.52%	2.60%	1.05%	3.41%	2.15%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	196	3	5	5	1	8	1	4	3	1	1	7	1	22	2	13	3	5	0	9	6	17	0	34	9	9	13	1	1	12	0									
		2.20%	1.48%	2.19%	2.82%	0.56%	2.89%	0.56%	1.57%	0.92%	1.01%	0.75%	2.16%	0.33%	2.94%	2.70%	3.13%	1.55%	3.18%	0.00%	2.73%	3.68%	2.78%	0.00%	4.25%	2.26%	1.99%	4.10%	1.30%	0.52%	1.78%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	5651	138	167	134	145	180	153	175	238	68	102	272	244	397	55	240	129	107	174	211	88	282	187	418	209	292	179	54	136	416	61									
		63.57%	67.98%	73.25%	75.71%	81.01%	64.98%	85.00%	68.63%	72.78%	68.69%	76.69%	83.95%	80.79%	53.00%	74.32%	57.69%	66.84%	68.15%	66.67%	63.94%	53.99%	46.08%	75.40%	52.25%	52.51%	64.75%	56.47%	70.13%	71.20%	61.63%	65.59%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	46	0	2	0	1	2	0	1	1	0	0	2	0	8	0	2	2	1	1	3	3	5	1	4	2	1	3	0	0	1	0									
		0.52%	0.00%	0.88%	0.00%	0.56%	0.72%	0.00%	0.39%	0.31%	0.00%	0.00%	0.62%	0.00%	1.07%	0.00%	0.48%	1.04%	0.64%	0.38%	0.91%	1.84%	0.82%	0.40%	0.50%	0.50%	0.22%	0.95%	0.00%	0.00%	0.15%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	22	0	0	0	0	1	1	0	1	1	0	1	0	2	1	1	0	0	0	2	0	4	0	2	0	2	0	0	0	3	0									
		0.25%	0.00%	0.00%	0.00%	0.00%	0.36%	0.56%	0.00%	0.31%	1.01%	0.00%	0.31%	0.00%	0.27%	1.35%	0.24%	0.00%	0.00%	0.00%	0.61%	0.00%	0.65%	0.00%	0.25%	0.00%	0.44%	0.00%	0.00%	0.00%	0.44%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	661	10	19	11	6	23	9	10	17	3	6	10	14	100	4	41	7	6	17	25	16	67	16	66	30	40	19	6	7	49	7									
		7.44%	4.93%	8.33%	6.21%	3.35%	8.30%	5.00%	3.92%	5.20%	3.03%	4.51%	3.09%	4.64%	13.35%	5.41%	9.86%	3.63%	3.82%	6.51%	7.58%	9.82%	10.95%	6.45%	8.25%	7.54%	8.87%	5.99%	7.79%	3.66%	7.26%	7.53%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	28	0	4	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	1	1	1	2	0	8	0	0	1	0	1	5	0									
		0.31%	0.00%	1.75%	0.00%	0.00%	0.00%	0.00%	0.39%	0.00%	0.00%	0.00%	0.00%	0.00%	0.13%	0.00%	0.24%	0.52%	0.00%	0.38%	0.30%	0.61%	0.33%	0.00%	1.00%	0.00%	0.00%	0.32%	0.00%	0.52%	0.74%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	37	1	4	0	2	0	1	0	4	0	0	2	0	2	0	5	0	0	0	2	1	1	1	6	0	1	2	0	0	1	1									
		0.42%	0.49%	1.75%	0.00%	1.12%	0.00%	0.56%	0.00%	1.22%	0.00%	0.00%	0.62%	0.00%	0.27%	0.00%	1.20%	0.00%	0.00%	0.00%	0.61%	0.61%	0.16%	0.40%	0.75%	0.00%	0.22%	0.63%	0.00%	0.00%	0.15%	1.08%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	14	0	0	1	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	1	0	1	0	3	0	0	1	2	0									
		0.16%	0.00%	0.00%	0.56%	0.00%	0.36%	0.00%	0.00%	0.00%	0.00%	0.75%	0.00%	0.00%	0.13%	1.35%	0.00%	0.00%	0.00%	0.00%	0.00%	0.61%	0.16%	0.00%	0.13%	0.00%	0.67%	0.00%	0.00%	0.52%	0.30%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	40	0	0	0	1	0	1	2	2	0	0	2	0	3	0	3	0	0	4	0	1	1	0	6	1	4	4	0	1	4	0									
		0.45%	0.00%	0.00%	0.00%	0.56%	0.00%	0.56%	0.78%	0.61%	0.00%	0.00%	0.62%	0.00%	0.40%	0.00%	0.72%	0.00%	0.00%	1.53%	0.00%	0.61%	0.16%	0.00%	0.75%	0.25%	0.89%	1.26%	0.00%	0.52%	0.59%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1128	17	14	11	11	36	10	25	38	15	12	14	26	94	5	61	16	21	33	50	28	150	32	126	69	60	40	9	22	73	10									
		12.69%	8.37%	6.14%	6.21%	6.15%	12.99%	5.56%	9.80%	11.62%	15.15%	9.02%	4.32%	8.61%	12.55%	6.76%	14.66%	8.29%	13.38%	12.64%	15.15%	17.18%	24.51%	12.90%	15.75%	17.34%	13.30%	12.62%	11.69%	11.52%	10.81%	10.75%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	44	1	2	0	1	1	0	0	2	2	0	1	0	2	1	1	0	0	5	1	0	0	0	5	1	1	3	0	0	13	1									
		0.49%	0.49%	0.88%	0.00%	0.56%	0.36%	0.00%	0.00%	0.61%	2.02%	0.00%	0.31%	0.00%	0.27%	1.35%	0.24%	0.00%	0.00%	1.92%	0.30%	0.00%	0.00%	0.00%	0.63%	0.25%	0.22%	0.95%	0.00%	0.00%	1.93%	1.08%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	524	21	6	7	6	15	3	17	11	6	2	3	5	53	3	29	17	6	9	13	7	41	4	88	51	19	24	2	12	37	7									
		5.89%	10.34%	2.63%	3.95%	3.35%	5.42%	1.67%	6.67%	3.36%	6.06%	1.50%	0.93%	1.66%	7.08%	4.05%	6.97%	8.81%	3.82%	3.45%	3.94%	4.29%	6.70%	1.61%	11.00%	12.81%	4.21%	7.57%	2.60%	6.28%	5.48%	7.53%									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
																																									
