Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																				
Дата голосования: 18.09.2016																																																				
																																																				
Наименование Избирательной комиссии:    Ядринская																																																				
																																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																																				
																																																				
		Сумма	УИК №2301	УИК №2302	УИК №2303	УИК №2304	УИК №2305	УИК №2306	УИК №2307	УИК №2308	УИК №2309	УИК №2310	УИК №2311	УИК №2312	УИК №2313	УИК №2314	УИК №2315	УИК №2316	УИК №2317	УИК №2318	УИК №2319	УИК №2320	УИК №2321	УИК №2322	УИК №2323	УИК №2324	УИК №2325	УИК №2326	УИК №2327	УИК №2328	УИК №2329	УИК №2330	УИК №2331	УИК №2332	УИК №2333	УИК №2334	УИК №2335	УИК №2336	УИК №2337	УИК №2338	УИК №2339	УИК №2340	УИК №2341									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	22057	1242	1781	1614	2027	784	416	280	574	288	425	544	376	247	433	488	263	273	150	182	303	295	503	780	642	775	497	287	204	272	486	252	378	446	359	655	328	741	397	255	476	339									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	20600	1200	1700	1600	2000	700	400	250	550	250	400	500	350	200	400	450	250	250	140	160	300	250	450	700	600	700	500	250	200	250	450	250	350	400	350	600	300	650	350	200	450	300									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	12651	690	1053	933	1227	448	269	153	331	132	255	261	211	155	285	295	168	155	102	115	179	130	301	405	396	331	282	156	111	180	283	161	216	296	204	346	223	410	248	165	230	160									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1225	28	8	27	31	33	25	19	53	27	40	48	25	21	35	33	38	35	19	11	36	27	46	55	25	67	30	32	13	18	26	17	22	9	20	28	23	49	22	30	39	35									
6	Число погашенных избирательных бюллетеней	6724	482	639	640	742	219	106	78	166	91	105	191	114	24	80	122	44	60	19	34	85	93	103	240	179	302	188	62	76	52	141	72	112	95	126	226	54	191	80	5	181	105									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1225	28	8	27	31	33	25	19	53	27	40	48	25	21	35	33	38	35	19	11	36	27	46	55	25	67	30	32	13	18	26	17	22	9	20	28	23	49	22	30	39	35									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	12651	690	1053	933	1227	448	269	153	331	132	255	261	211	155	285	295	168	155	102	115	179	130	301	405	396	331	282	156	111	180	283	161	216	296	204	346	223	410	248	165	230	160									
9	Число недействительных избирательных бюллетеней	454	31	37	38	39	18	13	4	9	10	5	8	7	9	3	14	4	1	5	10	2	10	11	21	1	17	10	4	1	12	6	4	14	10	18	13	0	11	5	3	9	7									
10	Число действительных избирательных бюллетеней	13422	687	1024	922	1219	463	281	168	375	149	290	301	229	167	317	314	202	189	116	116	213	147	336	439	420	381	302	184	123	186	303	174	224	295	206	361	246	448	265	192	260	188									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	636	35	40	73	50	15	18	10	10	10	15	10	10	10	10	10	10	10	5	5	10	10	10	20	20	20	10	10	10	10	15	10	10	13	10	20	10	20	10	10	10	12									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	517	35	32	71	47	15	18	8	10	10	15	10	10	3	5	10	8	5	5	3	10	1	8	10	20	20	9	6	10	7	12	1	10	12	10	6	1	9	8	5	10	12									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	155	7	16	19	8	7	2	2	2	1	4	4	1	4	2	2	7	2	1	5	1	2	6	1	5	1	0	2	4	0	2	3	5	8	2	3	0	2	2	2	5	3									
14	Число погашенных неиспользованных открепительных удостоверений	119	0	8	2	3	0	0	2	0	0	0	0	0	7	5	0	2	5	0	2	0	9	2	10	0	0	1	4	0	3	3	9	0	1	0	14	9	11	2	5	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	45	5	6	6	7	1	1	1	1	0	1	1	0	0	0	1	1	0	0	2	0	0	1	3	0	2	1	0	0	0	0	0	0	1	0	0	0	2	0	0	0	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																				
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	98	6	7	12	8	0	6	0	2	0	0	2	2	0	1	4	0	1	4	2	1	0	4	2	2	0	4	1	0	0	2	0	0	3	4	6	2	2	3	0	4	1									
		0.71%	0.84%	0.66%	1.25%	0.64%	0.00%	2.04%	0.00%	0.52%	0.00%	0.00%	0.65%	0.85%	0.00%	0.31%	1.22%	0.00%	0.53%	3.31%	1.59%	0.47%	0.00%	1.15%	0.43%	0.48%	0.00%	1.28%	0.53%	0.00%	0.00%	0.65%	0.00%	0.00%	0.98%	1.79%	1.60%	0.81%	0.44%	1.11%	0.00%	1.49%	0.51%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	197	6	13	12	9	8	5	1	2	3	3	4	3	1	1	3	1	5	1	2	3	2	7	8	4	7	4	0	2	2	10	4	0	4	1	9	20	4	10	3	8	2									
