Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																	
Дата голосования: 18.09.2016																	
																	
Наименование Избирательной комиссии:    Сибирская городская																	
																	
Сводная таблица итогов голосования по федеральному избирательному округу																	
																	
		Сумма	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	8292	1486	1332	1145	1335	1052	1942									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	8000	1500	1400	1200	1400	900	1600									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	3937	688	735	606	799	488	621									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1127	4	3	5	4	412	699									
6	Число погашенных избирательных бюллетеней	2936	808	662	589	597	0	280									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1126	4	3	5	4	412	698									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	3931	688	735	606	799	485	618									
9	Число недействительных избирательных бюллетеней	114	16	19	13	17	16	33									
10	Число действительных избирательных бюллетеней	4943	676	719	598	786	881	1283									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	295	40	45	45	60	30	75									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	243	40	39	43	51	2	68									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	177	8	13	18	9	105	24									
14	Число погашенных неиспользованных открепительных удостоверений	52	0	6	2	9	28	7									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	155	48	24	37	27	0	19									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0									
																	
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	54	5	7	7	9	10	16									
		1.07%	0.72%	0.95%	1.15%	1.12%	1.11%	1.22%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	129	20	15	24	25	14	31									
		2.55%	2.89%	2.03%	3.93%	3.11%	1.56%	2.36%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	70	13	15	12	15	10	5									
		1.38%	1.88%	2.03%	1.96%	1.87%	1.11%	0.38%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2438	279	319	267	308	541	724									
		48.21%	40.32%	43.22%	43.70%	38.36%	60.31%	55.02%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	49	3	10	4	4	14	14									
		0.97%	0.43%	1.36%	0.65%	0.50%	1.56%	1.06%									
24	"6. Политическая партия ""Гражданская Платформа"""	5	0	2	0	1	2	0									
		0.10%	0.00%	0.27%	0.00%	0.12%	0.22%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1232	170	170	153	206	208	325									
		24.36%	24.57%	23.04%	25.04%	25.65%	23.19%	24.70%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	13	4	2	1	1	2	3									
		0.26%	0.58%	0.27%	0.16%	0.12%	0.22%	0.23%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	29	1	12	5	4	3	4									
		0.57%	0.14%	1.63%	0.82%	0.50%	0.33%	0.30%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	13	2	2	2	2	2	3									
		0.26%	0.29%	0.27%	0.33%	0.25%	0.22%	0.23%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	59	12	5	6	4	14	18									
		1.17%	1.73%	0.68%	0.98%	0.50%	1.56%	1.37%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	456	77	83	60	119	33	84									
		9.02%	11.13%	11.25%	9.82%	14.82%	3.68%	6.38%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	20	6	4	2	2	2	4									
		0.40%	0.87%	0.54%	0.33%	0.25%	0.22%	0.30%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	376	84	73	55	86	26	52									
		7.44%	12.14%	9.89%	9.00%	10.71%	2.90%	3.95%									
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
