Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																															
Дата голосования: 18.09.2016																															
																															
Наименование Избирательной комиссии:    Тюменцевская																															
																															
Сводная таблица итогов голосования по федеральному избирательному округу																															
																															
		Сумма	УИК №1696	УИК №1697	УИК №1698	УИК №1699	УИК №1700	УИК №1701	УИК №1702	УИК №1703	УИК №1704	УИК №1705	УИК №1706	УИК №1707	УИК №1708	УИК №1709	УИК №1710	УИК №1711	УИК №1712	УИК №1713	УИК №1714	УИК №1715									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	11693	1321	1180	1562	428	353	399	392	102	465	1607	1202	97	285	406	152	303	726	70	274	369									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	11500	1300	1150	1550	420	350	400	350	90	450	1600	1200	90	280	400	150	300	700	70	280	370									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	5009	510	501	616	162	230	200	216	58	262	631	414	40	132	192	76	158	272	40	151	148									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	346	22	27	19	13	12	18	12	0	23	51	50	4	11	19	2	14	32	2	6	9									
6	Число погашенных избирательных бюллетеней	6145	768	622	915	245	108	182	122	32	165	918	736	46	137	189	72	128	396	28	123	213									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	346	22	27	19	13	12	18	12	0	23	51	50	4	11	19	2	14	32	2	6	9									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	5008	509	501	616	162	230	200	216	58	262	631	414	40	132	192	76	158	272	40	151	148									
9	Число недействительных избирательных бюллетеней	105	14	10	20	2	4	2	7	3	1	10	13	0	0	1	2	2	7	1	2	4									
10	Число действительных избирательных бюллетеней	5249	517	518	615	173	238	216	221	55	284	672	451	44	143	210	76	170	297	41	155	153									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	94	11	10	10	2	2	2	2	2	5	10	10	2	2	2	2	4	8	2	4	2									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	54	9	8	9	1	0	1	0	0	2	0	4	0	2	0	1	3	8	1	4	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	56	6	2	6	1	5	3	4	4	4	5	1	1	1	2	1	2	1	1	5	1									
14	Число погашенных неиспользованных открепительных удостоверений	40	2	2	1	1	2	1	2	2	3	10	6	2	0	2	1	1	0	1	0	1									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	5	2	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																															
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	30	4	0	4	3	1	1	3	0	1	5	2	0	3	1	0	0	0	1	1	0									
		0.56%	0.75%	0.00%	0.63%	1.71%	0.41%	0.46%	1.32%	0.00%	0.35%	0.73%	0.43%	0.00%	2.10%	0.47%	0.00%	0.00%	0.00%	2.38%	0.64%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	190	12	15	15	6	13	7	10	2	14	26	20	2	4	5	4	4	19	2	4	6									
		3.55%	2.26%	2.84%	2.36%	3.43%	5.37%	3.21%	4.39%	3.45%	4.91%	3.81%	4.31%	4.55%	2.80%	2.37%	5.13%	2.33%	6.25%	4.76%	2.55%	3.82%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	80	9	9	8	11	2	4	3	0	4	4	1	1	3	7	1	1	8	0	4	0									
		1.49%	1.69%	1.70%	1.26%	6.29%	0.83%	1.83%	1.32%	0.00%	1.40%	0.59%	0.22%	2.27%	2.10%	3.32%	1.28%	0.58%	2.63%	0.00%	2.55%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2297	222	222	277	75	126	82	113	17	142	302	171	17	42	79	19	88	115	25	83	80									
		42.90%	41.81%	42.05%	43.62%	42.86%	52.07%	37.61%	49.56%	29.31%	49.82%	44.28%	36.85%	38.64%	29.37%	37.44%	24.36%	51.16%	37.83%	59.52%	52.87%	50.96%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	31	5	4	2	1	1	2	3	0	0	4	3	0	0	0	1	2	2	0	1	0									
		0.58%	0.94%	0.76%	0.31%	0.57%	0.41%	0.92%	1.32%	0.00%	0.00%	0.59%	0.65%	0.00%	0.00%	0.00%	1.28%	1.16%	0.66%	0.00%	0.64%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	6	0	1	3	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0									
		0.11%	0.00%	0.19%	0.47%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.15%	0.00%	0.00%	0.70%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	987	104	104	120	30	42	37	45	19	33	124	95	4	22	46	21	43	44	5	20	29									
		18.43%	19.59%	19.70%	18.90%	17.14%	17.36%	16.97%	19.74%	32.76%	11.58%	18.18%	20.47%	9.09%	15.38%	21.80%	26.92%	25.00%	14.47%	11.90%	12.74%	18.47%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	15	4	2	2	0	0	0	0	0	0	0	3	0	1	0	2	0	0	0	0	1									
		0.28%	0.75%	0.38%	0.31%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.65%	0.00%	0.70%	0.00%	2.56%	0.00%	0.00%	0.00%	0.00%	0.64%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	20	2	0	3	0	1	0	1	1	1	4	1	1	3	0	0	1	1	0	0	0									
		0.37%	0.38%	0.00%	0.47%	0.00%	0.41%	0.00%	0.44%	1.72%	0.35%	0.59%	0.22%	2.27%	2.10%	0.00%	0.00%	0.58%	0.33%	0.00%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	8	0	0	0	0	1	0	2	0	0	1	1	0	1	0	0	0	1	0	0	1									
		0.15%	0.00%	0.00%	0.00%	0.00%	0.41%	0.00%	0.88%	0.00%	0.00%	0.15%	0.22%	0.00%	0.70%	0.00%	0.00%	0.00%	0.33%	0.00%	0.00%	0.64%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	38	7	9	4	2	1	0	0	0	0	3	3	0	0	0	1	2	3	0	1	2									
		0.71%	1.32%	1.70%	0.63%	1.14%	0.41%	0.00%	0.00%	0.00%	0.00%	0.44%	0.65%	0.00%	0.00%	0.00%	1.28%	1.16%	0.99%	0.00%	0.64%	1.27%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	696	76	69	69	22	24	48	17	11	52	88	78	5	21	23	4	11	36	2	18	22									
		12.99%	14.31%	13.07%	10.87%	12.57%	9.92%	22.02%	7.46%	18.97%	18.25%	12.90%	16.81%	11.36%	14.69%	10.90%	5.13%	6.40%	11.84%	4.76%	11.46%	14.01%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	14	0	3	0	0	1	0	0	0	0	2	3	0	2	0	1	0	0	1	0	1									
		0.26%	0.00%	0.57%	0.00%	0.00%	0.41%	0.00%	0.00%	0.00%	0.00%	0.29%	0.65%	0.00%	1.40%	0.00%	1.28%	0.00%	0.00%	2.38%	0.00%	0.64%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	837	72	80	108	23	25	35	24	5	37	108	70	14	40	49	22	18	68	5	23	11									
		15.63%	13.56%	15.15%	17.01%	13.14%	10.33%	16.06%	10.53%	8.62%	12.98%	15.84%	15.09%	31.82%	27.97%	23.22%	28.21%	10.47%	22.37%	11.90%	14.65%	7.01%									
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
