Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва												
Дата голосования: 18.09.2016												
												
Наименование Избирательной комиссии:    Алеутская												
												
Сводная таблица итогов голосования по федеральному избирательному округу												
												
		Сумма	УИК №159									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	645	645									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	600	600									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	342	342									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	7	7									
6	Число погашенных избирательных бюллетеней	251	251									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	7	7									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	342	342									
9	Число недействительных избирательных бюллетеней	14	14									
10	Число действительных избирательных бюллетеней	335	335									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	5	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	5	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	4	4									
16	Число утраченных открепительных удостоверений	0	0									
17	Число утраченных избирательных бюллетеней	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0									
												
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	8	8									
		2.29%	2.29%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	6	6									
		1.72%	1.72%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	12	12									
		3.44%	3.44%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	178	178									
		51.00%	51.00%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	3	3									
		0.86%	0.86%									
24	"6. Политическая партия ""Гражданская Платформа"""	3	3									
		0.86%	0.86%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	81	81									
		23.21%	23.21%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	0	0									
		0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	0	0									
		0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	1	1									
		0.29%	0.29%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	2	2									
		0.57%	0.57%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	22	22									
		6.30%	6.30%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	2	2									
		0.57%	0.57%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	17	17									
		4.87%	4.87%									
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
