Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																		
Дата голосования: 18.09.2016																																		
																																		
Наименование Избирательной комиссии:    Ачинская																																		
																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																		
																																		
		Сумма	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №829	УИК №830	УИК №831	УИК №832	УИК №833	УИК №834	УИК №835	УИК №836	УИК №837	УИК №838	УИК №2315	УИК №2340	УИК №2341									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	13358	301	881	280	613	234	162	1069	677	355	139	1915	377	1203	1371	358	746	878	221	1054	113	117	204	90									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	11930	250	850	250	600	200	150	1000	650	350	100	1700	350	1000	1100	350	700	850	200	800	100	100	200	80									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4690	146	356	112	251	105	45	293	205	160	36	633	97	416	449	130	260	305	51	427	28	38	98	49									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	306	6	11	9	5	0	11	20	15	0	5	14	26	25	7	21	62	18	20	13	11	0	7	0									
6	Число погашенных избирательных бюллетеней	6934	98	483	129	344	95	94	687	430	190	59	1053	227	559	644	199	378	527	129	360	61	62	95	31									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	306	6	11	9	5	0	11	20	15	0	5	14	26	25	7	21	62	18	20	13	11	0	7	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4690	146	356	112	251	105	45	293	205	160	36	633	97	416	449	130	260	305	51	427	28	38	98	49									
9	Число недействительных избирательных бюллетеней	171	6	15	5	5	7	3	10	7	4	1	22	4	11	15	2	13	12	4	15	1	2	7	0									
10	Число действительных избирательных бюллетеней	4825	146	352	116	251	98	53	303	213	156	40	625	119	430	441	149	309	311	67	425	38	36	98	49									
