Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																									
Дата голосования: 18.09.2016																																																									
																																																									
Наименование Избирательной комиссии:    Ужурская																																																									
																																																									
Сводная таблица итогов голосования по федеральному избирательному округу																																																									
																																																									
		Сумма	УИК №2003	УИК №2004	УИК №2005	УИК №2006	УИК №2007	УИК №2008	УИК №2009	УИК №2010	УИК №2011	УИК №2012	УИК №2013	УИК №2014	УИК №2015	УИК №2016	УИК №2017	УИК №2018	УИК №2019	УИК №2020	УИК №2021	УИК №2022	УИК №2023	УИК №2024	УИК №2025	УИК №2026	УИК №2027	УИК №2028	УИК №2029	УИК №2030	УИК №2031	УИК №2032	УИК №2033	УИК №2034	УИК №2035	УИК №2036	УИК №2037	УИК №2038	УИК №2039	УИК №2040	УИК №2041	УИК №2042	УИК №2043	УИК №2044	УИК №2147	УИК №2148	УИК №2149	УИК №2150									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	24837	2788	1355	785	1019	1013	1688	1189	1198	1535	1003	282	584	161	599	1049	166	146	267	147	100	210	144	239	1047	173	87	279	760	115	212	641	177	245	412	120	92	356	246	853	191	109	678	116	70	122	69									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	24690	2758	1295	773	993	999	1675	1182	1200	1506	994	282	584	161	599	1077	177	152	266	148	94	202	145	243	1029	172	86	277	782	115	213	636	177	242	417	112	91	359	250	853	193	116	673	115	82	125	70									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	8266	857	312	149	309	317	528	242	269	295	308	70	166	51	253	307	85	76	107	70	47	117	101	136	560	118	39	73	279	60	79	221	45	106	207	65	68	146	137	260	91	46	272	67	61	63	31									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	814	79	40	3	23	23	16	23	26	25	25	56	18	0	55	49	6	16	15	7	16	24	3	29	16	10	0	29	10	3	3	9	18	7	15	0	0	12	5	64	0	1	23	6	3	2	1									
6	Число погашенных избирательных бюллетеней	15610	1822	943	621	661	659	1131	917	905	1186	661	156	400	110	291	721	86	60	144	71	31	61	41	78	453	44	47	175	493	52	131	406	114	129	195	47	23	201	108	529	102	69	378	42	18	60	38									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	814	79	40	3	23	23	16	23	26	25	25	56	18	0	55	49	6	16	15	7	16	24	3	29	16	10	0	29	10	3	3	9	18	7	15	0	0	12	5	64	0	1	23	6	3	2	1									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	8266	857	312	149	309	317	528	242	269	295	308	70	166	51	253	307	85	76	107	70	47	117	101	136	560	118	39	73	279	60	79	221	45	106	207	65	68	146	137	260	91	46	272	67	61	63	31									
9	Число недействительных избирательных бюллетеней	184	19	5	4	16	7	7	7	6	10	8	0	4	2	7	2	0	2	0	0	0	2	3	3	19	5	0	0	8	1	1	6	0	4	3	2	1	5	0	3	1	2	6	2	0	1	0									
10	Число действительных избирательных бюллетеней	8896	917	347	148	316	333	537	258	289	310	325	126	180	49	301	354	91	90	122	77	63	139	101	162	557	123	39	102	281	62	81	224	63	109	219	63	67	153	142	321	90	45	289	71	64	64	32									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	505	35	15	15	20	15	20	15	15	15	15	8	10	5	15	15	8	8	8	8	8	8	8	10	10	7	7	7	10	6	8	10	8	8	15	8	8	8	8	15	8	8	15	8	8	8	8									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	154	18	5	3	4	6	7	2	6	8	1	1	3	0	1	15	8	8	0	0	1	0	0	4	2	0	0	0	2	0	0	1	0	4	9	0	0	1	0	4	8	3	3	6	8	2	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	101	5	8	2	3	3	6	1	4	6	2	1	2	1	0	2	2	5	1	1	3	2	2	1	2	0	1	1	5	1	1	2	1	5	2	4	1	0	1	1	1	1	4	1	1	2	0									
