Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																	
Дата голосования: 18.09.2016																																	
																																	
Наименование Избирательной комиссии:    Тюхтетская																																	
																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																	
																																	
		Сумма	УИК №1978	УИК №1979	УИК №1980	УИК №1981	УИК №1982	УИК №1983	УИК №1984	УИК №1985	УИК №1986	УИК №1987	УИК №1988	УИК №1989	УИК №1990	УИК №1991	УИК №1992	УИК №1993	УИК №1995	УИК №1996	УИК №1997	УИК №1998	УИК №2001	УИК №2002									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	6751	1254	1621	898	76	45	54	236	282	135	111	263	41	123	223	434	45	124	196	129	243	110	108									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	6844	1276	1640	907	77	45	53	238	282	132	113	269	42	129	223	445	45	127	195	135	249	114	108									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	3109	496	632	366	46	28	29	128	165	59	53	137	31	56	116	201	24	91	119	68	120	65	79									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	331	54	49	14	7	4	7	11	9	2	4	12	3	9	13	43	6	16	12	10	28	15	3									
6	Число погашенных избирательных бюллетеней	3404	726	959	527	24	13	17	99	108	71	56	120	8	64	94	201	15	20	64	57	101	34	26									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	331	54	49	14	7	4	7	11	9	2	4	12	3	9	13	43	6	16	12	10	28	15	3									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	3109	496	632	366	46	28	29	128	165	59	53	137	31	56	116	201	24	91	119	68	120	65	79									
9	Число недействительных избирательных бюллетеней	91	12	22	7	5	0	2	6	1	2	3	5	0	0	3	4	4	0	8	1	1	2	3									
10	Число действительных избирательных бюллетеней	3349	538	659	373	48	32	34	133	173	59	54	144	34	65	126	240	26	107	123	77	147	78	79									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	300	50	60	40	3	2	2	10	15	6	5	13	2	6	10	20	2	10	13	6	15	5	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	53	16	15	6	0	0	1	0	1	0	0	0	0	2	0	6	2	0	0	0	4	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	55	3	8	7	1	1	4	4	1	2	1	1	0	1	4	2	5	1	3	1	2	1	2									
14	Число погашенных неиспользованных открепительных удостоверений	247	34	45	34	3	2	1	10	14	6	5	13	2	4	10	14	0	10	13	6	11	5	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	8	0	4	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																	
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	28	5	7	1	0	0	0	3	5	0	0	2	0	0	0	1	0	0	2	1	1	0	0									
		0.81%	0.91%	1.03%	0.26%	0.00%	0.00%	0.00%	2.16%	2.87%	0.00%	0.00%	1.34%	0.00%	0.00%	0.00%	0.41%	0.00%	0.00%	1.53%	1.28%	0.68%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	109	20	29	19	1	1	0	3	1	5	1	5	1	0	1	5	0	1	2	2	9	3	0									
		3.17%	3.64%	4.26%	5.00%	1.89%	3.13%	0.00%	2.16%	0.57%	8.20%	1.75%	3.36%	2.94%	0.00%	0.78%	2.05%	0.00%	0.93%	1.53%	2.56%	6.08%	3.75%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	69	19	10	9	2	0	0	2	6	0	1	3	0	0	2	1	0	1	6	3	1	2	1									
		2.01%	3.45%	1.47%	2.37%	3.77%	0.00%	0.00%	1.44%	3.45%	0.00%	1.75%	2.01%	0.00%	0.00%	1.55%	0.41%	0.00%	0.93%	4.58%	3.85%	0.68%	2.50%	1.22%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1718	227	283	161	24	17	28	80	111	24	17	50	22	46	81	138	15	85	76	38	78	58	59									
		49.94%	41.27%	41.56%	42.37%	45.28%	53.13%	77.78%	57.55%	63.79%	39.34%	29.82%	33.56%	64.71%	70.77%	62.79%	56.56%	50.00%	79.44%	58.02%	48.72%	52.70%	72.50%	71.95%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	23	7	5	1	1	1	0	2	1	0	0	0	0	0	0	2	0	0	0	0	0	2	1									
		0.67%	1.27%	0.73%	0.26%	1.89%	3.13%	0.00%	1.44%	0.57%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.82%	0.00%	0.00%	0.00%	0.00%	0.00%	2.50%	1.22%									
24	"6. Политическая партия ""Гражданская Платформа"""	23	1	3	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	15									
		0.67%	0.18%	0.44%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.64%	0.00%	0.67%	0.00%	0.00%	0.00%	0.00%	0.00%	0.93%	0.00%	1.28%	0.00%	0.00%	18.29%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	866	156	224	117	11	9	3	27	33	18	14	47	9	13	23	62	9	7	23	14	38	9	0									
		25.17%	28.36%	32.89%	30.79%	20.75%	28.13%	8.33%	19.42%	18.97%	29.51%	24.56%	31.54%	26.47%	20.00%	17.83%	25.41%	30.00%	6.54%	17.56%	17.95%	25.68%	11.25%	0.00%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	6	1	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	1	0	0									
		0.17%	0.18%	0.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.57%	0.00%	0.00%	0.67%	0.00%	0.00%	0.00%	0.41%	0.00%	0.00%	0.00%	0.00%	0.68%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	15	2	7	2	0	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0									
		0.44%	0.36%	1.03%	0.53%	0.00%	0.00%	0.00%	0.72%	1.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.78%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	5	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0									
		0.15%	0.00%	0.00%	0.00%	1.89%	0.00%	0.00%	0.72%	0.57%	0.00%	0.00%	0.67%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.76%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	17	1	2	2	0	1	0	2	0	0	1	1	0	0	1	1	0	1	2	0	2	0	0									
		0.49%	0.18%	0.29%	0.53%	0.00%	3.13%	0.00%	1.44%	0.00%	0.00%	1.75%	0.67%	0.00%	0.00%	0.78%	0.41%	0.00%	0.93%	1.53%	0.00%	1.35%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	366	74	62	42	6	3	3	11	9	9	19	28	2	5	13	23	1	11	10	17	13	3	2									
		10.64%	13.45%	9.10%	11.05%	11.32%	9.38%	8.33%	7.91%	5.17%	14.75%	33.33%	18.79%	5.88%	7.69%	10.08%	9.43%	3.33%	10.28%	7.63%	21.79%	8.78%	3.75%	2.44%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	41	12	10	10	1	0	0	0	1	0	0	0	0	0	4	2	1	0	0	0	0	0	0									
		1.19%	2.18%	1.47%	2.63%	1.89%	0.00%	0.00%	0.00%	0.57%	0.00%	0.00%	0.00%	0.00%	0.00%	3.10%	0.82%	3.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	63	13	16	9	1	0	0	1	2	2	1	5	0	1	0	4	0	0	1	1	4	1	1									
		1.83%	2.36%	2.35%	2.37%	1.89%	0.00%	0.00%	0.72%	1.15%	3.28%	1.75%	3.36%	0.00%	1.54%	0.00%	1.64%	0.00%	0.00%	0.76%	1.28%	2.70%	1.25%	1.22%									
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
																																	
