Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																		
Дата голосования: 18.09.2016																																																																		
																																																																		
"Наименование Избирательной комиссии:    Пермь, Кировская"																																																																		
																																																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																																																		
																																																																		
		Сумма	УИК №3001	УИК №3002	УИК №3003	УИК №3004	УИК №3005	УИК №3006	УИК №3007	УИК №3008	УИК №3009	УИК №3010	УИК №3011	УИК №3012	УИК №3013	УИК №3014	УИК №3015	УИК №3016	УИК №3017	УИК №3018	УИК №3019	УИК №3020	УИК №3021	УИК №3022	УИК №3023	УИК №3024	УИК №3025	УИК №3026	УИК №3027	УИК №3028	УИК №3029	УИК №3030	УИК №3031	УИК №3032	УИК №3033	УИК №3034	УИК №3035	УИК №3036	УИК №3037	УИК №3038	УИК №3039	УИК №3040	УИК №3041	УИК №3042	УИК №3043	УИК №3044	УИК №3045	УИК №3046	УИК №3047	УИК №3048	УИК №3049	УИК №3050	УИК №3051	УИК №3052	УИК №3053	УИК №3054	УИК №3055									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	99569	1462	1746	2118	2401	1670	1833	2247	1394	1758	1971	2054	2134	1072	1830	1442	1777	1421	1368	2193	1950	1567	1374	1641	1991	1998	1770	1556	1909	2027	1378	1627	1987	2318	2186	2455	2510	2017	1730	1730	1771	1071	1868	1624	1789	2802	2471	2777	2492	2267	2749	2210	1754	83	156	73									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	82369	1200	1500	2000	2000	1500	1500	2000	1000	1550	1500	2000	2000	1000	1500	1000	1500	1000	1000	1550	1500	1500	1000	1500	1500	1500	1500	1500	1500	1500	1000	1500	1500	2000	2000	2000	2000	1500	1500	1500	1700	1000	1500	1500	1500	2000	2000	2000	2000	2000	2050	2000	1500	80	155	84									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	34628	495	595	809	953	491	510	777	578	574	577	715	605	197	573	575	740	485	555	673	847	639	511	644	767	823	711	678	765	829	500	579	784	975	725	908	920	741	632	625	578	324	639	489	614	887	725	905	799	572	721	614	523	30	112	16									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	673	11	4	18	16	12	7	6	5	6	17	21	20	2	21	1	7	7	6	5	12	10	10	23	33	22	15	13	12	11	7	18	12	21	22	16	11	8	6	8	5	3	7	6	12	4	5	7	8	11	10	8	1	25	39	40									
6	Число погашенных избирательных бюллетеней	47060	694	901	1173	1031	997	983	1217	417	970	906	1263	1375	801	906	424	753	508	439	870	641	850	479	833	700	655	774	809	723	660	493	903	704	1004	1252	1076	1068	751	860	867	1117	673	854	1005	874	1109	1270	1088	1193	1417	1319	1378	976	25	4	28									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	669	11	4	18	16	12	7	6	5	2	17	21	20	2	21	1	7	7	6	5	12	10	10	23	33	22	15	13	12	11	7	18	12	21	22	16	11	8	6	8	5	3	7	6	12	4	5	7	8	11	10	8	1	25	39	40									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	34487	494	589	805	941	485	510	776	577	574	577	715	605	197	573	575	740	485	555	670	847	639	511	639	766	820	711	674	760	828	500	579	772	975	722	907	913	730	632	623	578	324	639	487	614	863	708	898	799	572	719	614	523	30	112	16									
9	Число недействительных избирательных бюллетеней	1444	23	20	48	44	24	27	28	25	22	27	37	29	4	24	32	45	14	33	18	26	24	21	27	31	39	30	38	50	47	34	25	15	40	36	47	34	12	26	21	33	11	16	16	24	22	17	26	32	38	19	19	12	1	9	2									
10	Число действительных избирательных бюллетеней	33712	482	573	775	913	473	490	754	557	554	567	699	596	195	570	544	702	478	528	657	833	625	500	635	768	803	696	649	722	792	473	572	769	956	708	876	890	726	612	610	550	316	630	477	602	845	696	879	775	545	710	603	512	54	142	54									
