Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																	
Дата голосования: 18.09.2016																																	
																																	
Наименование Избирательной комиссии:    Кишертская																																	
																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																	
																																	
		Сумма	УИК №1501	УИК №1502	УИК №1503	УИК №1504	УИК №1505	УИК №1506	УИК №1507	УИК №1508	УИК №1509	УИК №1510	УИК №1511	УИК №1512	УИК №1513	УИК №1514	УИК №1515	УИК №1516	УИК №1517	УИК №1518	УИК №1519	УИК №1520	УИК №1521	УИК №1522									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	10871	554	197	276	147	822	223	152	254	405	366	259	234	166	457	421	782	789	416	133	154	2402	1262									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	10440	500	200	250	140	800	200	150	200	400	350	250	200	150	450	400	750	800	400	100	150	2400	1200									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	66	12	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	4	0	8	0	2									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	4168	198	59	110	64	380	106	52	98	105	187	105	99	54	144	66	338	295	170	55	62	977	444									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	666	20	49	12	21	40	24	16	56	61	19	32	11	17	55	75	48	19	5	9	12	55	10									
6	Число погашенных избирательных бюллетеней	5540	270	92	128	55	380	70	82	46	194	144	113	90	79	251	259	364	486	221	36	68	1368	744									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	732	32	49	12	21	40	24	16	56	101	19	32	11	17	55	75	48	19	9	9	20	55	12									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	4168	198	59	110	64	380	106	52	98	105	187	105	99	54	144	66	338	295	170	55	62	977	444									
9	Число недействительных избирательных бюллетеней	244	4	2	11	5	19	16	3	5	8	4	6	3	1	6	7	12	5	20	3	6	71	27									
10	Число действительных избирательных бюллетеней	4656	226	106	111	80	401	114	65	149	198	202	131	107	70	193	134	374	309	159	61	76	961	429									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	370	15	10	10	10	25	15	10	10	15	10	10	10	10	20	15	30	30	20	10	10	40	35									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	96	5	0	0	1	13	15	2	0	0	0	4	3	1	5	2	2	4	0	0	4	21	14									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	69	6	1	1	0	4	0	2	3	3	2	7	4	5	1	4	2	1	4	0	2	12	5									
14	Число погашенных неиспользованных открепительных удостоверений	274	10	10	10	9	12	0	8	10	15	10	6	7	9	15	13	28	26	20	10	6	19	21									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	7	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																	
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	42	1	2	0	0	3	3	0	1	0	1	0	0	2	3	0	4	1	2	2	0	15	2									
		0.86%	0.43%	1.85%	0.00%	0.00%	0.71%	2.31%	0.00%	0.65%	0.00%	0.49%	0.00%	0.00%	2.82%	1.51%	0.00%	1.04%	0.32%	1.12%	3.13%	0.00%	1.45%	0.44%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	169	18	5	5	0	14	5	2	6	7	11	7	8	0	2	2	5	11	7	1	3	39	11									
		3.45%	7.83%	4.63%	4.10%	0.00%	3.33%	3.85%	2.94%	3.90%	3.40%	5.34%	5.11%	7.27%	0.00%	1.01%	1.42%	1.30%	3.50%	3.91%	1.56%	3.66%	3.78%	2.41%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	86	3	3	5	1	8	1	1	3	2	0	4	1	0	3	3	6	10	4	0	1	20	7									
		1.76%	1.30%	2.78%	4.10%	1.18%	1.90%	0.77%	1.47%	1.95%	0.97%	0.00%	2.92%	0.91%	0.00%	1.51%	2.13%	1.55%	3.18%	2.23%	0.00%	1.22%	1.94%	1.54%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	2457	127	59	70	52	212	45	35	100	137	130	60	43	42	114	80	220	154	75	29	41	427	205									
		50.14%	55.22%	54.63%	57.38%	61.18%	50.48%	34.62%	51.47%	64.94%	66.50%	63.11%	43.80%	39.09%	59.15%	57.29%	56.74%	56.99%	49.04%	41.90%	45.31%	50.00%	41.38%	44.96%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	21	0	2	0	2	2	0	1	0	1	1	0	1	0	0	0	3	1	0	0	0	6	1									
		0.43%	0.00%	1.85%	0.00%	2.35%	0.48%	0.00%	1.47%	0.00%	0.49%	0.49%	0.00%	0.91%	0.00%	0.00%	0.00%	0.78%	0.32%	0.00%	0.00%	0.00%	0.58%	0.22%									
24	"6. Политическая партия ""Гражданская Платформа"""	9	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	1									
		0.18%	0.43%	0.00%	0.82%	0.00%	0.00%	1.54%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.32%	0.00%	0.00%	0.00%	0.29%	0.22%									
