Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																						
Дата голосования: 18.09.2016																																						
																																						
Наименование Избирательной комиссии:    Пермская - 60																																						
																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																						
																																						
		Сумма	УИК №2701	УИК №2702	УИК №2703	УИК №2707	УИК №2708	УИК №2709	УИК №2710	УИК №2716	УИК №2717	УИК №2718	УИК №2719	УИК №2720	УИК №2729	УИК №2730	УИК №2731	УИК №2732	УИК №2733	УИК №2734	УИК №2736	УИК №2737	УИК №2738	УИК №2745	УИК №2747	УИК №2751	УИК №2754	УИК №2755	УИК №2756									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	40317	2435	480	419	2941	1545	908	472	1066	1443	1397	1486	593	1918	2953	288	1187	1036	2286	1828	795	1916	908	479	3051	2206	2638	1643									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	28050	1710	330	295	2050	1040	630	325	740	990	980	1040	340	1330	2290	190	820	710	1575	940	560	1350	620	315	2360	1545	1845	1130									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	11516	718	183	60	877	415	184	147	366	292	372	379	109	581	984	100	377	188	564	538	238	700	137	171	906	660	940	330									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1053	37	11	112	17	23	9	11	13	76	8	38	132	22	54	7	11	10	29	43	112	20	105	18	70	21	29	15									
6	Число погашенных избирательных бюллетеней	15481	955	136	123	1156	602	437	168	361	622	600	623	99	727	1252	83	432	512	982	359	210	630	378	126	1384	864	876	784									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1053	37	11	112	17	23	9	11	13	76	8	38	132	22	54	7	11	10	29	43	112	20	105	18	70	21	29	15									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	11506	718	183	60	877	415	184	147	366	292	372	379	108	581	982	100	377	188	564	538	238	700	137	171	899	660	940	330									
9	Число недействительных избирательных бюллетеней	577	31	17	13	36	15	10	7	11	26	27	27	7	52	29	8	15	10	40	20	0	47	5	7	27	40	31	19									
10	Число действительных избирательных бюллетеней	11982	724	177	159	858	423	183	151	368	342	353	390	233	551	1007	99	373	188	553	561	350	673	237	182	942	641	938	326									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1191	74	14	13	88	45	27	14	32	42	42	45	15	57	98	8	35	31	68	40	24	58	12	14	101	66	79	49									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	281	20	4	2	25	5	5	4	8	6	11	8	2	8	29	0	5	5	12	25	24	8	3	1	35	14	11	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	371	7	10	0	25	4	15	5	5	36	6	7	4	13	19	7	5	16	17	33	11	6	14	6	75	7	8	10									
14	Число погашенных неиспользованных открепительных удостоверений	910	54	10	11	63	40	22	10	24	36	31	37	13	49	69	8	30	26	56	15	0	50	9	13	66	52	68	48									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	16	2	1	0	1	3	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	1	4	0	0	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1									
18	"Число избирательных бюллетеней, не учтенных при получении"	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																						
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	146	4	2	1	18	4	2	2	4	2	4	5	2	4	9	2	3	4	10	12	2	5	4	0	20	2	17	2									
		1.16%	0.53%	1.03%	0.58%	2.01%	0.91%	1.04%	1.27%	1.06%	0.54%	1.05%	1.20%	0.83%	0.66%	0.87%	1.87%	0.77%	2.02%	1.69%	2.07%	0.57%	0.69%	1.65%	0.00%	2.06%	0.29%	1.75%	0.58%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	470	36	5	4	35	11	3	1	18	15	12	26	5	21	33	0	17	2	25	21	17	16	10	9	33	31	47	17									
		3.74%	4.77%	2.58%	2.33%	3.91%	2.51%	1.55%	0.63%	4.75%	4.08%	3.16%	6.24%	2.08%	3.48%	3.19%	0.00%	4.38%	1.01%	4.22%	3.61%	4.86%	2.22%	4.13%	4.76%	3.41%	4.55%	4.85%	4.93%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	264	16	2	6	22	12	10	8	14	4	8	8	2	16	15	2	10	8	13	9	3	12	12	4	17	13	13	5									
		2.10%	2.12%	1.03%	3.49%	2.46%	2.74%	5.18%	5.06%	3.69%	1.09%	2.11%	1.92%	0.83%	2.65%	1.45%	1.87%	2.58%	4.04%	2.19%	1.55%	0.86%	1.67%	4.96%	2.12%	1.75%	1.91%	1.34%	1.45%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	6211	343	104	95	369	202	96	82	224	205	171	208	142	290	561	68	202	89	283	297	213	363	112	76	472	319	466	159									
		49.45%	45.43%	53.61%	55.23%	41.28%	46.12%	49.74%	51.90%	59.10%	55.71%	45.00%	49.88%	59.17%	48.09%	54.15%	63.55%	52.06%	44.95%	47.72%	51.12%	60.86%	50.42%	46.28%	40.21%	48.71%	46.84%	48.09%	46.09%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	53	2	1	1	6	1	0	1	2	4	2	0	1	1	5	0	1	0	0	2	3	3	0	1	7	2	4	3									
		0.42%	0.26%	0.52%	0.58%	0.67%	0.23%	0.00%	0.63%	0.53%	1.09%	0.53%	0.00%	0.42%	0.17%	0.48%	0.00%	0.26%	0.00%	0.00%	0.34%	0.86%	0.42%	0.00%	0.53%	0.72%	0.29%	0.41%	0.87%									
24	"6. Политическая партия ""Гражданская Платформа"""	21	1	0	0	3	1	1	0	1	1	1	0	1	1	2	0	0	1	1	1	0	1	2	0	1	1	0	0									
		0.17%	0.13%	0.00%	0.00%	0.34%	0.23%	0.52%	0.00%	0.26%	0.27%	0.26%	0.00%	0.42%	0.17%	0.19%	0.00%	0.00%	0.51%	0.17%	0.17%	0.00%	0.14%	0.83%	0.00%	0.10%	0.15%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1727	111	33	11	138	72	37	26	29	48	61	58	35	94	133	14	50	33	78	66	42	101	35	17	133	84	132	56									
		13.75%	14.70%	17.01%	6.40%	15.44%	16.44%	19.17%	16.46%	7.65%	13.04%	16.05%	13.91%	14.58%	15.59%	12.84%	13.08%	12.89%	16.67%	13.15%	11.36%	12.00%	14.03%	14.46%	8.99%	13.73%	12.33%	13.62%	16.23%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	76	1	0	1	6	6	0	0	0	2	1	0	1	0	8	0	2	0	10	12	0	5	5	0	11	2	3	0									
		0.61%	0.13%	0.00%	0.58%	0.67%	1.37%	0.00%	0.00%	0.00%	0.54%	0.26%	0.00%	0.42%	0.00%	0.77%	0.00%	0.52%	0.00%	1.69%	2.07%	0.00%	0.69%	2.07%	0.00%	1.14%	0.29%	0.31%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	172	14	0	1	15	5	1	0	2	2	4	4	2	2	16	0	1	3	17	16	3	18	5	7	16	9	6	3									
		1.37%	1.85%	0.00%	0.58%	1.68%	1.14%	0.52%	0.00%	0.53%	0.54%	1.05%	0.96%	0.83%	0.33%	1.54%	0.00%	0.26%	1.52%	2.87%	2.75%	0.86%	2.50%	2.07%	3.70%	1.65%	1.32%	0.62%	0.87%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	18	1	1	0	5	1	0	0	2	1	1	0	0	0	2	0	0	1	0	1	0	0	0	0	0	0	2	0									
		0.14%	0.13%	0.52%	0.00%	0.56%	0.23%	0.00%	0.00%	0.53%	0.27%	0.26%	0.00%	0.00%	0.00%	0.19%	0.00%	0.00%	0.51%	0.00%	0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.21%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	274	8	5	0	26	11	4	6	9	7	11	9	4	7	23	0	7	4	27	20	2	12	11	8	27	7	14	5									
		2.18%	1.06%	2.58%	0.00%	2.91%	2.51%	2.07%	3.80%	2.37%	1.90%	2.89%	2.16%	1.67%	1.16%	2.22%	0.00%	1.80%	2.02%	4.55%	3.44%	0.57%	1.67%	4.55%	4.23%	2.79%	1.03%	1.44%	1.45%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1581	108	15	23	124	58	15	13	39	34	57	54	14	69	121	10	57	28	54	53	51	84	24	35	136	108	145	52									
		12.59%	14.30%	7.73%	13.37%	13.87%	13.24%	7.77%	8.23%	10.29%	9.24%	15.00%	12.95%	5.83%	11.44%	11.68%	9.35%	14.69%	14.14%	9.11%	9.12%	14.57%	11.67%	9.92%	18.52%	14.04%	15.86%	14.96%	15.07%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	40	1	0	0	4	1	1	0	1	0	2	0	0	1	1	0	0	1	3	0	4	3	2	1	6	4	3	1									
		0.32%	0.13%	0.00%	0.00%	0.45%	0.23%	0.52%	0.00%	0.26%	0.00%	0.53%	0.00%	0.00%	0.17%	0.10%	0.00%	0.00%	0.51%	0.51%	0.00%	1.14%	0.42%	0.83%	0.53%	0.62%	0.59%	0.31%	0.29%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	929	78	9	16	87	38	13	12	23	17	18	18	24	45	78	3	23	14	32	51	10	50	15	24	63	59	86	23									
		7.40%	10.33%	4.64%	9.30%	9.73%	8.68%	6.74%	7.59%	6.07%	4.62%	4.74%	4.32%	10.00%	7.46%	7.53%	2.80%	5.93%	7.07%	5.40%	8.78%	2.86%	6.94%	6.20%	12.70%	6.50%	8.66%	8.88%	6.67%									
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
