Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																
Дата голосования: 18.09.2016																																
																																
Наименование Избирательной комиссии:    Ромненская																																
																																
Сводная таблица итогов голосования по федеральному избирательному округу																																
																																
		Сумма	УИК №1401	УИК №1402	УИК №1403	УИК №1404	УИК №1405	УИК №1406	УИК №1407	УИК №1408	УИК №1409	УИК №1410	УИК №1411	УИК №1412	УИК №1413	УИК №1414	УИК №1415	УИК №1416	УИК №1417	УИК №1418	УИК №1419	УИК №1420	УИК №1421									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	7824	180	318	86	258	80	88	272	188	1367	1322	201	317	458	252	132	866	588	306	95	372	78									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	7801	180	334	93	272	79	89	275	191	1350	1300	204	316	466	253	132	850	570	301	96	373	77									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	3685	96	161	56	162	55	47	145	107	595	509	99	148	233	124	74	379	197	210	50	198	40									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	325	19	22	6	15	2	5	14	9	30	20	16	12	39	13	5	13	16	25	21	16	7									
6	Число погашенных избирательных бюллетеней	3791	65	151	31	95	22	37	116	75	725	771	89	156	194	116	53	458	357	66	25	159	30									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	325	19	22	6	15	2	5	14	9	30	20	16	12	39	13	5	13	16	25	21	16	7									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	3685	96	161	56	162	55	47	145	107	595	509	99	148	233	124	74	379	197	210	50	198	40									
9	Число недействительных избирательных бюллетеней	106	0	6	1	4	3	2	5	3	18	21	3	3	4	1	1	14	7	3	2	4	1									
10	Число действительных избирательных бюллетеней	3904	115	177	61	173	54	50	154	113	607	508	112	157	268	136	78	378	206	232	69	210	46									
