Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																					
Дата голосования: 18.09.2016																																					
																																					
Наименование Избирательной комиссии:    Тындинская городская																																					
																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																					
																																					
		Сумма	УИК №2001	УИК №2002	УИК №2003	УИК №2004	УИК №2005	УИК №2006	УИК №2007	УИК №2008	УИК №2009	УИК №2010	УИК №2011	УИК №2012	УИК №2013	УИК №2014	УИК №2015	УИК №2016	УИК №2017	УИК №2018	УИК №2019	УИК №2020	УИК №2021	УИК №2022	УИК №2023	УИК №2024	УИК №2025	УИК №2026									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	27190	459	349	522	793	862	689	131	680	1949	204	1451	1278	1239	1337	1131	1719	2025	1886	772	851	1730	827	2004	1540	546	216									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	25378	400	300	500	700	800	500	100	600	1800	150	1400	1200	1200	1328	1100	1600	2000	1800	700	700	1600	800	1900	1500	500	200									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	9007	158	73	113	153	229	166	19	132	708	56	498	506	474	467	467	630	698	694	220	230	586	290	698	563	127	52									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	158	0	6	1	1	2	5	0	0	5	3	2	4	5	9	1	6	4	8	30	19	30	5	4	8	0	0									
6	Число погашенных избирательных бюллетеней	16213	242	221	386	546	569	329	81	468	1087	91	900	690	721	852	632	964	1298	1098	450	451	984	505	1198	929	373	148									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	158	0	6	1	1	2	5	0	0	5	3	2	4	5	9	1	6	4	8	30	19	30	5	4	8	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	9004	158	73	113	153	229	166	19	132	707	56	498	506	474	466	467	630	698	694	220	230	586	289	698	563	127	52									
9	Число недействительных избирательных бюллетеней	189	4	3	3	4	4	2	0	2	18	0	7	16	5	11	14	10	14	12	7	7	15	8	10	12	1	0									
10	Число действительных избирательных бюллетеней	8973	154	76	111	150	227	169	19	130	694	59	493	494	474	464	454	626	688	690	243	242	601	286	692	559	126	52									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	210	4	4	4	6	7	5	2	6	15	3	12	9	9	10	9	13	15	15	6	7	8	6	15	12	5	3									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	86	2	0	0	1	2	0	0	0	9	0	5	6	3	4	3	7	9	6	2	3	5	5	9	4	1	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	53	1	0	0	1	1	1	6	0	3	1	2	4	8	3	3	2	1	5	0	3	4	0	2	0	2	0									
14	Число погашенных неиспользованных открепительных удостоверений	124	2	4	4	5	5	5	2	6	6	3	7	3	6	6	6	6	6	9	4	4	3	1	6	8	4	3									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	42	0	0	0	1	2	0	0	1	6	1	3	2	0	1	2	5	5	1	0	0	3	0	6	3	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																					
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	143	2	1	4	2	3	1	0	5	13	2	6	12	8	12	8	13	7	9	5	4	4	4	13	5	0	0									
		1.56%	1.27%	1.27%	3.51%	1.30%	1.30%	0.58%	0.00%	3.79%	1.83%	3.39%	1.20%	2.35%	1.67%	2.53%	1.71%	2.04%	0.99%	1.28%	2.00%	1.61%	0.65%	1.36%	1.85%	0.88%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	253	6	0	4	8	8	7	7	3	19	1	13	10	9	11	15	15	22	12	7	7	26	7	16	18	2	0									
