Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																											
Дата голосования: 18.09.2016																																											
																																											
Наименование Избирательной комиссии:    Коношская																																											
																																											
Сводная таблица итогов голосования по федеральному избирательному округу																																											
																																											
		Сумма	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	20016	228	901	441	349	114	1872	395	426	1222	1421	1568	955	1513	1259	1323	569	529	109	287	288	98	171	93	1108	1212	198	148	63	154	311	519	172									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	18100	200	850	400	350	100	1800	360	360	1150	1250	1400	850	1300	1100	1200	500	450	90	250	250	100	150	90	1000	1100	200	150	50	150	250	500	150									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	6741	93	256	91	124	63	712	86	149	379	522	510	338	459	342	462	176	150	48	101	127	36	69	37	394	436	83	37	28	51	104	216	62									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	874	26	22	101	30	2	20	50	85	14	12	11	9	20	14	25	20	10	25	40	23	3	3	10	53	42	6	38	8	36	76	30	10									
6	Число погашенных избирательных бюллетеней	10485	81	572	208	196	35	1068	224	126	757	716	879	503	821	744	713	304	290	17	109	100	61	78	43	553	622	111	75	14	63	70	254	78									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	874	26	22	101	30	2	20	50	85	14	12	11	9	20	14	25	20	10	25	40	23	3	3	10	53	42	6	38	8	36	76	30	10									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	6741	93	256	91	124	63	712	86	149	379	522	510	338	459	342	462	176	150	48	101	127	36	69	37	394	436	83	37	28	51	104	216	62									
9	Число недействительных избирательных бюллетеней	88	0	9	1	1	1	9	1	1	8	4	3	3	3	4	3	3	4	0	0	4	1	0	0	6	15	1	1	0	0	1	1	0									
10	Число действительных избирательных бюллетеней	7527	119	269	191	153	64	723	135	233	385	530	518	344	476	352	484	193	156	73	141	146	38	72	47	441	463	88	74	36	87	179	245	72									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	290	5	10	5	5	5	25	5	5	15	15	20	10	15	15	15	10	10	5	5	5	5	5	5	15	15	5	5	5	5	5	10	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	75	0	1	1	0	1	7	0	5	1	7	8	5	7	3	7	2	2	1	3	3	4	1	0	2	2	0	0	0	0	1	0	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	80	4	3	1	2	3	3	1	1	6	8	1	6	2	1	2	0	2	3	1	2	2	2	2	1	4	0	2	5	5	0	2	3									
14	Число погашенных неиспользованных открепительных удостоверений	215	5	9	4	5	4	18	5	0	14	8	12	5	8	12	8	8	8	4	2	2	1	4	5	13	13	5	5	5	5	4	10	4									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	16	0	0	0	0	0	0	0	1	1	2	0	0	3	3	2	0	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																											
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	63	0	6	1	1	3	4	0	3	8	3	5	2	0	5	3	1	0	0	0	0	0	0	0	2	6	0	0	0	0	1	9	0									
		0.83%	0.00%	2.16%	0.52%	0.65%	4.62%	0.55%	0.00%	1.28%	2.04%	0.56%	0.96%	0.58%	0.00%	1.40%	0.62%	0.51%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.45%	1.26%	0.00%	0.00%	0.00%	0.00%	0.56%	3.66%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	154	1	5	7	3	0	14	2	6	5	12	5	9	11	6	10	4	0	3	5	3	1	4	0	5	13	7	1	1	0	4	7	0									
		2.02%	0.84%	1.80%	3.65%	1.95%	0.00%	1.91%	1.47%	2.56%	1.27%	2.25%	0.96%	2.59%	2.30%	1.69%	2.05%	2.04%	0.00%	4.11%	3.55%	2.00%	2.56%	5.56%	0.00%	1.12%	2.72%	7.87%	1.33%	2.78%	0.00%	2.22%	2.85%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	213	3	8	5	10	5	21	3	2	12	22	15	10	12	5	14	3	2	0	5	3	2	4	0	18	15	1	4	0	1	1	6	1									
		2.80%	2.52%	2.88%	2.60%	6.49%	7.69%	2.87%	2.21%	0.85%	3.05%	4.12%	2.88%	2.88%	2.51%	1.40%	2.87%	1.53%	1.25%	0.00%	3.55%	2.00%	5.13%	5.56%	0.00%	4.03%	3.14%	1.12%	5.33%	0.00%	1.15%	0.56%	2.44%	1.39%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	3835	88	125	114	111	27	334	83	155	184	229	221	148	214	180	252	103	78	37	76	102	14	33	34	212	234	51	29	31	64	106	127	39									
		50.36%	73.95%	44.96%	59.38%	72.08%	41.54%	45.63%	61.03%	66.24%	46.82%	42.88%	42.42%	42.65%	44.68%	50.56%	51.75%	52.55%	48.75%	50.68%	53.90%	68.00%	35.90%	45.83%	72.34%	47.43%	48.95%	57.30%	38.67%	86.11%	73.56%	58.89%	51.63%	54.17%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	40	0	2	2	0	0	3	1	2	4	3	4	4	3	2	0	1	0	0	0	0	0	0	0	2	5	1	0	0	0	1	0	0									
		0.53%	0.00%	0.72%	1.04%	0.00%	0.00%	0.41%	0.74%	0.85%	1.02%	0.56%	0.77%	1.15%	0.63%	0.56%	0.00%	0.51%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.45%	1.05%	1.12%	0.00%	0.00%	0.00%	0.56%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	12	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	1	0	2	0	1	1	0	2	0	0	0									
		0.16%	0.00%	0.36%	0.00%	0.00%	0.00%	0.00%	0.00%	0.43%	0.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.63%	0.00%	0.00%	0.67%	0.00%	1.39%	0.00%	0.45%	0.00%	1.12%	1.33%	0.00%	2.30%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1858	17	67	47	15	12	207	34	29	105	127	156	109	133	94	143	49	49	20	18	24	9	13	6	92	110	15	22	2	14	43	60	17									
		24.40%	14.29%	24.10%	24.48%	9.74%	18.46%	28.28%	25.00%	12.39%	26.72%	23.78%	29.94%	31.41%	27.77%	26.40%	29.36%	25.00%	30.63%	27.40%	12.77%	16.00%	23.08%	18.06%	12.77%	20.58%	23.01%	16.85%	29.33%	5.56%	16.09%	23.89%	24.39%	23.61%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	61	0	0	0	0	0	5	2	9	5	8	3	5	5	1	0	2	0	0	1	1	0	0	0	6	4	2	1	0	0	0	0	1									
		0.80%	0.00%	0.00%	0.00%	0.00%	0.00%	0.68%	1.47%	3.85%	1.27%	1.50%	0.58%	1.44%	1.04%	0.28%	0.00%	1.02%	0.00%	0.00%	0.71%	0.67%	0.00%	0.00%	0.00%	1.34%	0.84%	2.25%	1.33%	0.00%	0.00%	0.00%	0.00%	1.39%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	61	0	4	2	0	2	3	0	1	2	7	11	0	3	3	4	1	1	0	0	1	0	0	0	7	8	0	0	1	0	0	0	0									
		0.80%	0.00%	1.44%	1.04%	0.00%	3.08%	0.41%	0.00%	0.43%	0.51%	1.31%	2.11%	0.00%	0.63%	0.84%	0.82%	0.51%	0.63%	0.00%	0.00%	0.67%	0.00%	0.00%	0.00%	1.57%	1.67%	0.00%	0.00%	2.78%	0.00%	0.00%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	9	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	2	0	0	1	0	0	1	0	1	1	0	0	0	0	0									
		0.12%	0.84%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.19%	0.00%	0.00%	0.28%	0.00%	0.00%	0.00%	2.74%	0.00%	0.00%	2.56%	0.00%	0.00%	0.22%	0.00%	1.12%	1.33%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	56	1	4	0	0	0	4	0	0	3	7	2	4	5	3	3	0	1	0	3	0	0	0	1	5	7	0	0	0	0	2	1	0									
		0.74%	0.84%	1.44%	0.00%	0.00%	0.00%	0.55%	0.00%	0.00%	0.76%	1.31%	0.38%	1.15%	1.04%	0.84%	0.62%	0.00%	0.63%	0.00%	2.13%	0.00%	0.00%	0.00%	2.13%	1.12%	1.46%	0.00%	0.00%	0.00%	0.00%	1.11%	0.41%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	735	5	32	6	10	6	81	7	19	34	67	53	33	57	31	26	12	10	5	23	5	9	12	4	68	53	7	9	1	3	14	25	8									
		9.65%	4.20%	11.51%	3.13%	6.49%	9.23%	11.07%	5.15%	8.12%	8.65%	12.55%	10.17%	9.51%	11.90%	8.71%	5.34%	6.12%	6.25%	6.85%	16.31%	3.33%	23.08%	16.67%	8.51%	15.21%	11.09%	7.87%	12.00%	2.78%	3.45%	7.78%	10.16%	11.11%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	30	0	4	0	0	0	2	0	0	5	2	0	2	4	2	0	0	1	0	2	0	0	0	1	2	0	0	0	0	0	3	0	0									
		0.39%	0.00%	1.44%	0.00%	0.00%	0.00%	0.27%	0.00%	0.00%	1.27%	0.37%	0.00%	0.58%	0.84%	0.56%	0.00%	0.00%	0.63%	0.00%	1.42%	0.00%	0.00%	0.00%	2.13%	0.45%	0.00%	0.00%	0.00%	0.00%	0.00%	1.67%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	400	3	11	7	3	9	45	3	6	17	43	42	18	29	19	29	17	13	6	8	6	2	5	1	19	8	2	6	0	3	4	10	6									
		5.25%	2.52%	3.96%	3.65%	1.95%	13.85%	6.15%	2.21%	2.56%	4.33%	8.05%	8.06%	5.19%	6.05%	5.34%	5.95%	8.67%	8.13%	8.22%	5.67%	4.00%	5.13%	6.94%	2.13%	4.25%	1.67%	2.25%	8.00%	0.00%	3.45%	2.22%	4.07%	8.33%									
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
