Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																		
Дата голосования: 18.09.2016																																																																																		
																																																																																		
"Наименование Избирательной комиссии:    Архангельск, Южная"																																																																																		
																																																																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																		
																																																																																		
		Сумма	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №1000	УИК №1001	УИК №1005	УИК №1006	УИК №1007	УИК №1008	УИК №1009	УИК №1010	УИК №1011	УИК №1012	УИК №1013	УИК №1014	УИК №1015	УИК №1017	УИК №1018	УИК №1019	УИК №1020	УИК №1021	УИК №1023	УИК №1024	УИК №1025	УИК №1026	УИК №1027	УИК №1028	УИК №1029	УИК №1030	УИК №1031	УИК №1032	УИК №1033	УИК №1034	УИК №1035	УИК №1036	УИК №1037	УИК №1038	УИК №1039	УИК №1045	УИК №1046	УИК №1047	УИК №1048	УИК №1049	УИК №1052									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	60863	1630	2560	2458	2468	2192	2705	2072	2225	2153	2262	2008	1646	2122	1979	1986	1795	2230	2652	1758	2252	2286	1979	2018	1759	2341	1663	1690	2652	319	128	77	44	72	13	13	12	12	12	12	22	26	33	22	17	17	18	18	13	12	13	14	13	13	13	13	13	10	21	16	18	10	14	13	20	17	50	40	34	26	10	19									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	61375	1600	2600	2500	2500	2200	2750	2100	2250	2200	2250	2050	1600	2150	2000	2000	1800	2250	2700	1800	2200	2250	2000	2000	1750	2350	1650	1700	2700	400	200	77	44	72	13	13	12	12	12	12	22	26	33	22	17	17	18	18	13	12	13	14	13	13	13	13	13	10	21	16	18	10	14	13	20	17	50	40	34	26	10	19									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	41	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	19898	391	600	667	640	641	758	667	741	711	795	596	700	740	537	669	693	686	938	712	806	608	511	645	550	754	474	400	981	319	114	77	44	72	13	13	12	12	12	12	22	26	33	22	17	17	18	18	13	12	13	14	13	13	12	13	13	10	21	16	18	10	14	13	20	17	43	40	21	26	10	19									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	278	33	12	11	20	6	11	10	9	15	12	4	4	4	4	8	6	6	0	0	4	1	10	6	7	38	18	14	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
6	Число погашенных избирательных бюллетеней	41158	1176	1988	1822	1840	1553	1981	1423	1500	1474	1443	1450	855	1406	1459	1323	1101	1558	1762	1088	1390	1641	1479	1349	1193	1558	1158	1286	1714	81	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	7	0	13	0	0	0									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	319	33	12	11	20	6	11	10	9	15	12	4	45	4	4	8	6	6	0	0	4	1	10	6	7	38	18	14	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	19892	391	600	667	640	640	757	667	741	711	793	596	700	740	537	669	693	686	937	712	806	608	511	645	550	754	474	400	981	319	114	77	44	72	13	13	12	12	12	12	22	26	33	22	17	17	18	18	13	12	13	14	13	13	12	13	13	10	21	16	18	10	14	13	20	17	42	40	21	26	10	19									
9	Число недействительных избирательных бюллетеней	431	4	11	15	9	12	18	10	13	17	19	12	12	12	13	14	12	13	22	24	14	14	9	17	8	6	6	3	15	34	0	18	0	5	0	0	0	1	0	0	4	2	2	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	1	0	0	1	0	0	2	0	1	2	0	0	1	0									
10	Число действительных избирательных бюллетеней	19780	420	601	663	651	634	750	667	737	709	786	588	733	732	528	663	687	679	915	688	796	595	512	634	549	786	486	411	971	285	114	59	44	67	13	13	12	11	12	12	18	24	31	22	17	17	17	18	13	12	13	14	13	13	12	13	11	10	20	16	18	9	14	13	18	17	41	38	21	26	9	19									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	740	25	25	25	25	25	25	25	25	25	25	35	25	25	25	25	25	25	35	25	35	25	25	25	25	25	25	25	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	522	18	17	18	11	14	19	18	24	20	21	27	13	17	18	14	11	25	18	25	27	15	20	19	18	24	12	12	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	389	7	7	4	10	7	11	7	10	10	21	11	8	16	14	7	8	9	8	14	8	29	6	12	3	12	12	7	13	83	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	218	7	8	7	14	11	6	7	1	5	4	8	12	8	7	11	14	0	17	0	8	10	5	6	7	1	13	13	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	88	0	4	5	2	2	0	1	6	5	4	1	25	1	0	1	1	1	1	7	2	3	1	2	3	1	6	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																		
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	397	8	17	8	12	13	8	17	14	9	11	6	17	20	6	13	11	20	16	15	14	18	7	14	9	18	10	8	27	3	3	0	0	2	0	0	1	0	0	1	0	0	1	1	1	1	0	0	0	0	0	0	2	3	0	0	0	1	0	3	0	0	0	0	0	0	2	1	1	0	1	3									
		1.96%	1.89%	2.78%	1.18%	1.82%	2.01%	1.04%	2.51%	1.87%	1.24%	1.37%	1.00%	2.28%	2.69%	1.11%	1.92%	1.57%	2.89%	1.71%	2.11%	1.73%	2.96%	1.34%	2.15%	1.62%	2.27%	2.03%	1.93%	2.74%	0.94%	2.63%	0.00%	0.00%	2.78%	0.00%	0.00%	8.33%	0.00%	0.00%	8.33%	0.00%	0.00%	3.03%	4.55%	5.88%	5.88%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	15.38%	23.08%	0.00%	0.00%	0.00%	10.00%	0.00%	18.75%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	4.76%	2.50%	4.76%	0.00%	10.00%	15.79%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	338	8	11	10	15	16	10	20	12	10	11	9	11	10	7	10	13	8	16	10	8	5	11	12	13	15	8	7	19	1	1	1	0	4	0	0	0	1	0	0	1	0	2	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	0	0	1	1	4	0	0	0	0	0									
		1.67%	1.89%	1.80%	1.47%	2.27%	2.48%	1.30%	2.95%	1.60%	1.38%	1.37%	1.50%	1.48%	1.34%	1.29%	1.48%	1.86%	1.16%	1.71%	1.40%	0.99%	0.82%	2.11%	1.84%	2.33%	1.89%	1.63%	1.69%	1.93%	0.31%	0.88%	1.30%	0.00%	5.56%	0.00%	0.00%	0.00%	8.33%	0.00%	0.00%	4.55%	0.00%	6.06%	4.55%	5.88%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	8.33%	7.69%	0.00%	0.00%	4.76%	0.00%	5.56%	0.00%	0.00%	0.00%	5.00%	5.88%	9.52%	0.00%	0.00%	0.00%	0.00%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	571	16	13	16	18	23	16	22	22	21	23	17	8	24	15	21	19	16	23	18	14	18	15	30	10	23	14	9	20	2	5	3	1	4	0	1	3	0	0	1	0	7	2	4	0	0	1	2	0	1	2	1	2	1	2	1	0	1	3	0	0	0	0	0	1	3	3	2	4	1	0	3									
		2.83%	3.77%	2.12%	2.36%	2.73%	3.56%	2.08%	3.25%	2.93%	2.89%	2.86%	2.83%	1.07%	3.23%	2.77%	3.10%	2.72%	2.31%	2.45%	2.53%	1.73%	2.96%	2.88%	4.61%	1.80%	2.90%	2.85%	2.17%	2.03%	0.63%	4.39%	3.90%	2.27%	5.56%	0.00%	7.69%	25.00%	0.00%	0.00%	8.33%	0.00%	26.92%	6.06%	18.18%	0.00%	0.00%	5.56%	11.11%	0.00%	8.33%	15.38%	7.14%	15.38%	7.69%	16.67%	7.69%	0.00%	10.00%	14.29%	0.00%	0.00%	0.00%	0.00%	0.00%	5.00%	17.65%	7.14%	5.00%	19.05%	3.85%	0.00%	15.79%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	7813	188	248	309	263	247	279	259	289	283	316	233	393	262	212	231	242	269	341	267	320	211	217	227	213	318	194	160	342	187	52	17	22	22	7	4	1	5	4	2	6	7	7	5	9	5	6	4	4	4	1	1	2	4	3	5	3	5	8	5	3	4	5	5	6	3	10	7	5	9	2	4									
		38.66%	44.34%	40.52%	45.58%	39.85%	38.24%	36.33%	38.26%	38.53%	38.98%	39.25%	38.83%	52.75%	35.22%	39.19%	34.12%	34.62%	38.87%	36.39%	37.50%	39.51%	34.65%	41.65%	34.87%	38.24%	40.15%	39.43%	38.65%	34.69%	58.62%	45.61%	22.08%	50.00%	30.56%	53.85%	30.77%	8.33%	41.67%	33.33%	16.67%	27.27%	26.92%	21.21%	22.73%	52.94%	29.41%	33.33%	22.22%	30.77%	33.33%	7.69%	7.14%	15.38%	30.77%	25.00%	38.46%	23.08%	50.00%	38.10%	31.25%	16.67%	40.00%	35.71%	38.46%	30.00%	17.65%	23.81%	17.50%	23.81%	34.62%	20.00%	21.05%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	273	2	9	10	8	10	13	5	9	8	11	4	7	10	9	7	11	9	15	15	14	9	5	8	9	11	6	4	20	3	0	1	0	0	0	0	2	1	0	1	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0									
		1.35%	0.47%	1.47%	1.47%	1.21%	1.55%	1.69%	0.74%	1.20%	1.10%	1.37%	0.67%	0.94%	1.34%	1.66%	1.03%	1.57%	1.30%	1.60%	2.11%	1.73%	1.48%	0.96%	1.23%	1.62%	1.39%	1.22%	0.97%	2.03%	0.94%	0.00%	1.30%	0.00%	0.00%	0.00%	0.00%	16.67%	8.33%	0.00%	8.33%	0.00%	0.00%	6.06%	0.00%	0.00%	0.00%	0.00%	0.00%	7.69%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	5.56%	0.00%	7.14%	0.00%	0.00%	5.88%	0.00%	0.00%	0.00%	3.85%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	35	0	1	0	2	2	0	2	0	1	1	1	2	2	1	3	0	1	2	2	1	3	1	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1									
		0.17%	0.00%	0.16%	0.00%	0.30%	0.31%	0.00%	0.30%	0.00%	0.14%	0.12%	0.17%	0.27%	0.27%	0.18%	0.44%	0.00%	0.14%	0.21%	0.28%	0.12%	0.49%	0.19%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.31%	0.00%	1.30%	2.27%	1.39%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	8.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	6.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	5.26%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	3900	82	124	118	154	132	163	132	143	143	143	125	140	145	102	114	124	125	176	143	146	113	108	116	110	142	82	92	182	46	11	20	12	20	1	5	1	1	2	3	7	3	9	10	2	9	3	3	5	4	5	2	4	3	0	3	7	0	4	3	7	3	4	4	4	6	15	9	7	8	3	3									
