Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																								
Дата голосования: 18.09.2016																																								
																																								
"Наименование Избирательной комиссии:    Брянск, Володарская"																																								
																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																								
																																								
		Сумма	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	61119	2605	2371	2519	2094	1795	2566	2672	2385	2528	2298	1845	2728	2681	2385	1926	1938	2526	2039	725	1435	2257	2569	2203	2495	2259	1559	2039	1008	669									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	49500	2000	2000	2000	1800	1500	2000	2200	2000	2000	2000	1500	2500	2500	2000	1500	1500	2000	1600	600	1000	1800	2000	1600	1700	1900	1300	1600	800	600									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	28101	1321	1223	1248	1248	936	1120	984	809	1441	1184	973	1456	1477	1244	1129	512	1350	1042	256	451	781	1047	1162	972	885	657	669	295	229									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1724	107	8	75	5	3	9	84	17	20	10	4	15	6	5	6	80	47	2	0	267	5	51	10	325	26	160	107	99	171									
6	Число погашенных избирательных бюллетеней	19675	572	769	677	547	561	871	1132	1174	539	806	523	1029	1017	751	365	908	603	556	344	282	1014	902	428	403	989	483	824	406	200									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1724	107	8	75	5	3	9	84	17	20	10	4	15	6	5	6	80	47	2	0	267	5	51	10	325	26	160	107	99	171									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	28091	1321	1223	1248	1248	936	1120	984	809	1441	1184	973	1456	1477	1244	1129	512	1340	1042	256	451	781	1047	1162	972	885	657	669	295	229									
9	Число недействительных избирательных бюллетеней	423	4	11	30	14	9	12	9	21	8	22	9	2	44	23	16	8	21	9	4	57	15	18	15	11	0	10	11	7	3									
10	Число действительных избирательных бюллетеней	29392	1424	1220	1293	1239	930	1117	1059	805	1453	1172	968	1469	1439	1226	1119	584	1366	1035	252	661	771	1080	1157	1286	911	807	765	387	397									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	307	10	10	10	15	10	10	15	15	10	10	10	10	14	10	15	10	15	10	3	10	5	15	10	12	10	10	10	10	3									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	250	10	8	7	15	8	10	15	10	6	10	8	10	13	10	15	6	15	6	3	5	2	14	10	11	2	5	10	3	3									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	301	9	10	13	9	8	12	19	16	14	10	13	14	2	14	2	17	9	8	0	7	9	6	10	9	8	4	2	45	2									
14	Число погашенных неиспользованных открепительных удостоверений	57	0	2	3	0	2	0	0	5	4	0	2	0	1	0	0	4	0	4	0	5	3	1	0	1	8	5	0	7	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	82	4	4	0	5	2	7	1	0	6	3	3	10	3	1	1	0	8	0	2	0	1	1	6	1	8	0	2	3	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																								
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	459	16	0	16	12	12	22	12	20	21	27	16	21	27	18	19	9	27	28	3	14	20	11	23	9	17	3	15	15	6									
		1.54%	1.12%	0.00%	1.21%	0.96%	1.28%	1.95%	1.12%	2.42%	1.44%	2.26%	1.64%	1.43%	1.82%	1.44%	1.67%	1.52%	1.95%	2.68%	1.17%	1.95%	2.54%	1.00%	1.96%	0.69%	1.87%	0.37%	1.93%	3.81%	1.50%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	565	18	36	16	24	2	20	20	28	30	16	17	18	32	20	17	11	23	23	12	9	24	13	20	34	27	13	20	13	9									
		1.90%	1.26%	2.92%	1.21%	1.92%	0.21%	1.77%	1.87%	3.39%	2.05%	1.34%	1.74%	1.22%	2.16%	1.60%	1.50%	1.86%	1.66%	2.20%	4.69%	1.25%	3.05%	1.18%	1.71%	2.62%	2.96%	1.59%	2.58%	3.30%	2.25%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	465	12	10	5	27	9	16	5	22	38	21	6	21	37	29	19	12	19	17	5	16	12	10	18	36	15	9	12	6	1									
