Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																											
Дата голосования: 18.09.2016																											
																											
Наименование Избирательной комиссии:    Вашкинская																											
																											
Сводная таблица итогов голосования по федеральному избирательному округу																											
																											
		Сумма	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №89	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	7154	217	416	119	283	60	219	178	406	672	1589	1512	608	207	211	286	171									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	6570	200	400	100	250	50	200	150	370	650	1400	1400	600	200	200	250	150									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	2552	72	183	43	83	40	88	68	93	198	550	562	241	76	79	111	65									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	504	13	22	23	33	10	32	0	94	44	37	72	12	36	28	30	18									
6	Число погашенных избирательных бюллетеней	3514	115	195	34	134	0	80	82	183	408	813	766	347	88	93	109	67									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	504	13	22	23	33	10	32	0	94	44	37	72	12	36	28	30	18									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	2542	72	183	43	83	40	88	68	93	198	540	562	241	76	79	111	65									
9	Число недействительных избирательных бюллетеней	59	1	7	1	4	1	1	2	5	11	5	9	6	0	2	4	0									
10	Число действительных избирательных бюллетеней	2987	84	198	65	112	49	119	66	182	231	572	625	247	112	105	137	83									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	380	20	20	15	30	10	20	20	40	30	30	30	35	20	20	20	20									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	168	4	10	0	1	10	3	3	0	30	26	21	29	10	7	10	4									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	99	3	6	7	2	6	5	7	1	0	10	14	9	5	9	9	6									
14	Число погашенных неиспользованных открепительных удостоверений	212	16	10	15	29	0	17	17	40	0	4	9	6	10	13	10	16									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	17	0	0	0	0	0	0	0	0	0	4	9	3	0	0	1	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																											
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	30	0	1	3	1	2	0	1	2	3	3	9	0	3	1	1	0									
