Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																														
Дата голосования: 18.09.2016																																														
																																														
Наименование Избирательной комиссии:    Джидинская																																														
																																														
Сводная таблица итогов голосования по федеральному избирательному округу																																														
																																														
		Сумма	УИК №94	УИК №95	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106	УИК №107	УИК №108	УИК №109	УИК №110	УИК №111	УИК №112	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	20417	324	309	328	201	954	119	593	476	222	77	555	427	244	822	155	483	1757	1505	1418	1332	388	1095	587	775	92	228	714	240	1050	677	470	503	216	448	633									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	17963	295	276	297	181	869	103	557	432	204	63	509	391	212	748	136	445	1457	1197	1146	1068	348	1005	536	716	77	206	659	214	956	613	425	451	193	403	575									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	7577	178	161	179	76	306	58	252	187	65	43	222	215	66	312	65	216	513	451	529	405	152	465	265	257	39	93	295	141	304	270	157	168	119	167	186									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	413	9	17	21	17	15	10	6	11	10	2	10	18	10	19	0	9	15	32	10	46	1	20	16	4	0	5	16	5	22	3	5	12	3	4	10									
6	Число погашенных избирательных бюллетеней	9973	108	98	97	88	548	35	299	234	129	18	277	158	136	417	71	220	929	714	607	617	195	520	255	455	38	108	348	68	630	340	263	271	71	232	379									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	413	9	17	21	17	15	10	6	11	10	2	10	18	10	19	0	9	15	32	10	46	1	20	16	4	0	5	16	5	22	3	5	12	3	4	10									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	7577	178	161	179	76	306	58	252	187	65	43	222	215	66	312	65	216	513	451	529	405	152	465	265	257	39	93	295	141	304	270	157	168	119	167	186									
9	Число недействительных избирательных бюллетеней	207	3	2	5	2	8	2	7	4	5	0	4	6	0	11	3	6	4	10	9	15	4	10	3	8	4	6	9	3	16	11	9	7	6	4	1									
10	Число действительных избирательных бюллетеней	7783	184	176	195	91	313	66	251	194	70	45	228	227	76	320	62	219	524	473	530	436	149	475	278	253	35	92	302	143	310	262	153	173	116	167	195									
