Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																									
Дата голосования: 18.09.2016																																																																									
																																																																									
"Наименование Избирательной комиссии:    Улан-Удэ, Железнодорожная"																																																																									
																																																																									
Сводная таблица итогов голосования по федеральному избирательному округу																																																																									
																																																																									
		Сумма	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №745	УИК №746									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	102783	1611	1959	1428	1144	2038	1758	1366	1155	2102	1799	1198	1327	2345	2286	273	978	2000	1767	2243	2244	2021	2281	1669	1831	1514	2327	1502	1724	2200	1744	1850	1521	1863	853	2012	1919	2287	1082	3074	2767	932	822	2109	1669	2034	1828	1559	2177	1840	1194	1481	1613	1867	2031	1814	1227	2002	920	2190	175	93	144									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	83135	1300	1600	1150	950	1650	1400	1100	950	1700	1450	1000	1100	1850	1850	200	800	1350	1350	1750	1800	1650	1900	1400	1500	1200	1850	1250	1400	1800	1400	1500	1250	1550	700	1650	1600	1900	850	2450	2250	750	600	1750	1300	1650	1500	1250	1800	1500	950	1200	1300	1550	1650	1500	900	1650	750	1800	184	85	166									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	35913	454	559	425	483	748	511	396	348	883	750	427	502	886	854	82	384	845	830	999	865	792	902	618	670	574	955	474	478	629	599	619	506	443	352	793	546	558	253	819	771	195	260	687	431	768	660	551	672	596	398	354	635	656	830	727	480	847	361	885	173	38	127									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	1021	15	18	10	6	19	30	7	4	14	17	11	16	14	50	6	7	9	25	25	11	15	23	15	24	15	19	17	14	15	12	8	17	5	3	14	26	23	8	24	36	12	2	7	10	11	21	29	29	31	20	2	14	19	20	19	5	9	9	39	2	47	17									
6	Число погашенных избирательных бюллетеней	46201	831	1023	715	461	883	859	697	598	803	683	562	582	950	946	112	409	496	495	726	924	843	975	767	806	611	876	759	908	1156	789	873	727	1102	345	843	1028	1319	589	1607	1443	543	338	1056	859	871	819	670	1099	873	532	844	651	875	800	754	415	794	380	876	9	0	22									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	1021	15	18	10	6	19	30	7	4	14	17	11	16	14	50	6	7	9	25	25	11	15	23	15	24	15	19	17	14	15	12	8	17	5	3	14	26	23	8	24	36	12	2	7	10	11	21	29	29	31	20	2	14	19	20	19	5	9	9	39	2	47	17									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	35879	454	559	425	482	748	511	396	348	883	750	427	502	885	854	82	384	845	803	999	865	792	902	618	670	574	955	473	477	629	599	619	506	443	352	793	546	558	253	819	771	195	260	687	431	768	660	551	671	595	398	354	635	656	830	727	480	846	361	885	173	38	127									
9	Число недействительных избирательных бюллетеней	962	20	18	12	10	19	10	15	9	25	18	7	7	25	22	3	9	17	12	24	25	19	24	13	15	11	24	12	16	18	26	20	16	13	9	18	15	25	15	8	19	6	14	24	9	24	13	22	16	23	5	5	18	24	17	14	8	26	11	23	7	5	5									
10	Число действительных избирательных бюллетеней	35938	449	559	423	478	748	531	388	343	872	749	431	511	874	882	85	382	837	816	1000	851	788	901	620	679	578	950	478	475	626	585	607	507	435	346	789	557	556	246	835	788	201	248	670	432	755	668	558	684	603	413	351	631	651	833	732	477	829	359	901	168	80	139									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2125	30	40	40	25	40	35	30	25	40	35	25	30	45	45	15	40	30	60	45	45	40	55	35	35	30	45	30	35	45	35	35	30	35	20	40	35	45	20	60	55	20	20	45	35	45	35	30	45	35	25	30	35	35	45	35	25	40	20	45	0	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	1247	10	15	27	15	25	16	7	5	32	31	21	24	29	19	2	28	18	52	38	33	32	43	31	24	10	26	19	22	26	19	29	25	29	12	28	34	13	7	32	42	7	4	23	20	18	25	17	22	22	6	15	8	17	12	28	17	18	6	12	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1149	24	11	12	10	23	32	13	16	16	23	9	12	34	19	19	12	25	20	97	34	13	43	17	10	15	68	9	5	22	13	6	17	22	15	10	18	19	7	20	17	11	21	4	19	21	11	23	12	13	11	13	14	12	8	10	27	8	14	25	11	18	16									
14	Число погашенных неиспользованных открепительных удостоверений	878	20	25	13	10	15	19	23	20	8	4	4	6	16	26	13	12	12	8	7	12	8	12	4	11	20	19	11	13	19	16	6	5	6	8	12	1	32	13	28	13	13	16	22	15	27	10	13	23	13	19	15	27	18	33	7	8	22	14	33	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	92	0	1	2	3	2	1	1	1	0	4	1	1	1	2	0	4	1	3	4	0	7	4	2	2	1	1	2	2	5	2	1	1	0	1	1	0	1	0	3	3	1	1	2	0	0	1	2	1	1	0	0	0	2	2	2	2	2	0	2	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
