Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																							
Дата голосования: 18.09.2016																							
																							
Наименование Избирательной комиссии:    Катангская																							
																							
Сводная таблица итогов голосования по федеральному избирательному округу																							
																							
		Сумма	УИК №857	УИК №858	УИК №859	УИК №860	УИК №861	УИК №862	УИК №863	УИК №864	УИК №865	УИК №866	УИК №867	УИК №868									
1	"Число избирателей, внесенных в список избирателей на момент окончания голосования"	3148	75	70	914	810	38	213	186	372	247	54	103	66									
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	3200	75	80	929	813	48	214	186	379	251	55	103	67									
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	71	4	0	0	36	0	0	31	0	0	0	0	0									
4	"Число избирательных бюллетеней, выданных в помещении для голосования в день голосования"	1297	26	46	340	287	20	94	69	170	109	38	60	38									
5	"Число избирательных бюллетеней, выданных вне помещения для голосования в день голосования"	86	1	0	26	25	0	15	10	2	7	0	0	0									
6	Число погашенных избирательных бюллетеней	1746	44	34	563	465	28	105	76	207	135	17	43	29									
7	"Число избирательных бюллетеней, содержащихся в переносных ящиках для голосования"	157	5	0	26	61	0	15	41	2	7	0	0	0									
8	"Число избирательных бюллетеней, содержащихся в стационарных ящиках для голосования"	1297	26	46	340	287	20	94	69	170	109	38	60	38									
9	Число недействительных избирательных бюллетеней	29	1	4	6	6	1	0	0	8	2	0	0	1									
10	Число действительных избирательных бюллетеней	1425	30	42	360	342	19	109	110	164	114	38	60	37									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	291	20	20	50	71	10	25	25	25	10	10	15	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	28	0	12	5	1	10	0	0	0	0	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	9	0	0	0	9	0	0	0	0	0	0	0	0									
14	Число погашенных неиспользованных открепительных удостоверений	263	20	8	45	70	0	25	25	25	10	10	15	10									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	9	0	1	3	5	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0									
																							
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	14	0	0	4	3	0	0	2	2	1	1	1	0									
		0.96%	0.00%	0.00%	1.09%	0.86%	0.00%	0.00%	1.82%	1.16%	0.86%	2.63%	1.67%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	50	0	2	5	17	0	0	2	9	11	1	3	0									
		3.44%	0.00%	4.35%	1.37%	4.89%	0.00%	0.00%	1.82%	5.23%	9.48%	2.63%	5.00%	0.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	36	2	1	11	6	0	2	3	4	3	3	1	0									
		2.48%	6.45%	2.17%	3.01%	1.72%	0.00%	1.83%	2.73%	2.33%	2.59%	7.89%	1.67%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	752	18	38	189	173	16	62	57	73	43	24	36	23									
		51.72%	58.06%	82.61%	51.64%	49.71%	80.00%	56.88%	51.82%	42.44%	37.07%	63.16%	60.00%	60.53%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	7	0	0	1	3	0	0	1	1	0	0	1	0									
		0.48%	0.00%	0.00%	0.27%	0.86%	0.00%	0.00%	0.91%	0.58%	0.00%	0.00%	1.67%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	5	0	0	1	2	0	0	0	0	2	0	0	0									
		0.34%	0.00%	0.00%	0.27%	0.57%	0.00%	0.00%	0.00%	0.00%	1.72%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	313	2	1	78	67	2	30	33	48	29	4	11	8									
		21.53%	6.45%	2.17%	21.31%	19.25%	10.00%	27.52%	30.00%	27.91%	25.00%	10.53%	18.33%	21.05%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	4	0	0	1	2	0	1	0	0	0	0	0	0									
		0.28%	0.00%	0.00%	0.27%	0.57%	0.00%	0.92%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	8	0	0	2	6	0	0	0	0	0	0	0	0									
		0.55%	0.00%	0.00%	0.55%	1.72%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	3	0	0	0	0	0	0	0	2	1	0	0	0									
		0.21%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.16%	0.86%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	11	2	0	1	2	0	0	0	3	2	1	0	0									
		0.76%	6.45%	0.00%	0.27%	0.57%	0.00%	0.00%	0.00%	1.74%	1.72%	2.63%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	183	6	0	50	50	1	14	12	18	18	3	5	6									
		12.59%	19.35%	0.00%	13.66%	14.37%	5.00%	12.84%	10.91%	10.47%	15.52%	7.89%	8.33%	15.79%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	8	0	0	3	4	0	0	0	0	1	0	0	0									
		0.55%	0.00%	0.00%	0.82%	1.15%	0.00%	0.00%	0.00%	0.00%	0.86%	0.00%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	31	0	0	14	7	0	0	0	4	3	1	2	0									
		2.13%	0.00%	0.00%	3.83%	2.01%	0.00%	0.00%	0.00%	2.33%	2.59%	2.63%	3.33%	0.00%									
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
