Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																				
Дата голосования: 02.12.2007																																				
																																				
Наименование Избирательной комиссии:    Гайская																																				
																																				
Сводная таблица результатов выборов																																				
																																				
		Сумма	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416					
1	"Число избирателей, внесенных в списки избирателей"	8793	916	384	118	77	231	737	322	191	573	290	324	322	180	684	152	272	506	334	237	263	108	111	228	140	439	165	237	123	129					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	8268	900	380	110	70	230	728	320	190	560	270	300	300	160	600	140	250	470	300	210	220	90	100	200	130	420	150	230	120	120					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	5207	452	231	67	43	104	359	210	72	308	185	188	219	116	433	110	133	331	207	188	208	82	76	156	113	232	102	138	81	63					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	225	18	13	0	0	0	59	4	29	17	0	21	0	0	11	0	10	17	0	0	0	0	9	0	0	17	0	0	0	0					
6	Число погашенных избирательных бюллетеней	2836	430	136	43	27	126	310	106	89	235	85	91	81	44	156	30	107	122	93	22	12	8	15	44	17	171	48	92	39	57					
7	Число избирательных бюллетеней в переносных ящиках для голосования	225	18	13	0	0	0	59	4	29	17	0	21	0	0	11	0	10	17	0	0	0	0	9	0	0	17	0	0	0	0					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	5207	452	231	67	43	104	359	210	72	308	185	188	219	116	433	110	133	331	207	188	208	82	76	156	113	232	102	138	81	63					
9	Число недействительных избирательных бюллетеней	45	1	2	0	1	0	3	3	1	6	2	1	1	0	4	2	1	3	1	1	3	0	0	3	0	1	1	4	0	0					
10	Число действительных избирательных бюллетеней	5387	469	242	67	42	104	415	211	100	319	183	208	218	116	440	108	142	345	206	187	205	82	85	153	113	248	101	134	81	63					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	150	10	5	3	2	5	10	7	4	7	5	6	6	4	9	4	5	7	6	5	5	2	2	4	3	7	3	6	4	4					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	23	1	1	0	0	0	3	0	0	3	2	1	0	0	0	0	0	2	3	0	0	0	0	0	0	7	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	31	2	2	1	0	0	0	1	0	1	1	2	0	1	1	1	1	3	5	2	0	0	1	2	0	0	1	1	1	1					
14	Число погашенных неиспользованных открепительных удостоверений	127	9	4	3	2	5	7	7	4	4	3	5	6	4	9	4	5	5	3	5	5	2	2	4	3	0	3	6	4	4					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																				
18	1.Политическая партия «Аграрная партия России»	214	17	1	1	5	3	16	13	3	13	8	4	1	10	25	5	4	2	18	12	10	5	6	7	7	5	2	6	4	1					
		3.94%	3.62%	0.41%	1.49%	11.63%	2.88%	3.83%	6.07%	2.97%	4.00%	4.32%	1.91%	0.46%	8.62%	5.63%	4.55%	2.80%	0.57%	8.70%	6.38%	4.81%	6.10%	7.06%	4.49%	6.19%	2.01%	1.96%	4.35%	4.94%	1.59%					
19	2.Всероссийская политическая партия «Гражданская Сила»	17	3	0	0	2	1	1	0	0	2	0	0	0	1	0	0	1	1	0	0	1	0	0	0	0	0	1	2	1	0					
		0.31%	0.64%	0.00%	0.00%	4.65%	0.96%	0.24%	0.00%	0.00%	0.62%	0.00%	0.00%	0.00%	0.86%	0.00%	0.00%	0.70%	0.29%	0.00%	0.00%	0.48%	0.00%	0.00%	0.00%	0.00%	0.00%	0.98%	1.45%	1.23%	0.00%					
20	3.Политическая партия «Демократическая партия России»	6	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0					
		0.11%	0.21%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.62%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.70%	0.00%	0.00%	0.00%	0.48%	0.00%	0.00%	0.00%	0.88%	0.00%	0.00%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	654	45	13	12	14	6	54	10	14	30	7	23	26	4	44	12	12	36	56	34	60	15	11	34	20	30	2	12	8	10					
		12.04%	9.57%	5.33%	17.91%	32.56%	5.77%	12.92%	4.67%	13.86%	9.23%	3.78%	11.00%	11.87%	3.45%	9.91%	10.91%	8.39%	10.34%	27.05%	18.09%	28.85%	18.29%	12.94%	21.79%	17.70%	12.05%	1.96%	8.70%	9.88%	15.87%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	17	2	0	0	0	0	1	0	0	1	2	0	2	0	2	0	0	6	0	0	0	0	0	0	0	1	0	0	0	0					
		0.31%	0.43%	0.00%	0.00%	0.00%	0.00%	0.24%	0.00%	0.00%	0.31%	1.08%	0.00%	0.91%	0.00%	0.45%	0.00%	0.00%	1.72%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.40%	0.00%	0.00%	0.00%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	9	0	0	0	0	0	1	0	1	1	0	1	0	0	0	0	0	1	0	1	1	0	1	0	1	0	0	0	0	0					
		0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.24%	0.00%	0.99%	0.31%	0.00%	0.48%	0.00%	0.00%	0.00%	0.00%	0.00%	0.29%	0.00%	0.53%	0.48%	0.00%	1.18%	0.00%	0.88%	0.00%	0.00%	0.00%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	460	45	17	3	4	15	61	8	10	17	4	17	13	8	62	4	10	37	13	2	5	10	3	18	6	21	20	10	10	7					
		8.47%	9.57%	6.97%	4.48%	9.30%	14.42%	14.59%	3.74%	9.90%	5.23%	2.16%	8.13%	5.94%	6.90%	13.96%	3.64%	6.99%	10.63%	6.28%	1.06%	2.40%	12.20%	3.53%	11.54%	5.31%	8.43%	19.61%	7.25%	12.35%	11.11%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	394	38	19	4	1	6	44	10	3	17	6	7	15	13	37	6	16	42	19	11	13	5	4	6	13	14	6	11	5	3					
		7.25%	8.09%	7.79%	5.97%	2.33%	5.77%	10.53%	4.67%	2.97%	5.23%	3.24%	3.35%	6.85%	11.21%	8.33%	5.45%	11.19%	12.07%	9.18%	5.85%	6.25%	6.10%	4.71%	3.85%	11.50%	5.62%	5.88%	7.97%	6.17%	4.76%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	43	3	1	0	0	2	3	5	0	1	2	2	1	0	1	0	0	3	3	0	4	0	4	0	0	6	0	2	0	0					
		0.79%	0.64%	0.41%	0.00%	0.00%	1.92%	0.72%	2.34%	0.00%	0.31%	1.08%	0.96%	0.46%	0.00%	0.23%	0.00%	0.00%	0.86%	1.45%	0.00%	1.92%	0.00%	4.71%	0.00%	0.00%	2.41%	0.00%	1.45%	0.00%	0.00%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	3550	311	190	47	16	70	233	162	69	234	154	154	160	80	268	81	96	216	97	127	110	47	56	88	62	169	70	89	52	42					
		65.35%	66.17%	77.87%	70.15%	37.21%	67.31%	55.74%	75.70%	68.32%	72.00%	83.24%	73.68%	73.06%	68.97%	60.36%	73.64%	67.13%	62.07%	46.86%	67.55%	52.88%	57.32%	65.88%	56.41%	54.87%	67.87%	68.63%	64.49%	64.20%	66.67%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	23	4	1	0	0	1	1	3	0	1	0	0	0	0	1	0	2	1	0	0	0	0	0	0	3	2	0	2	1	0					
		0.42%	0.85%	0.41%	0.00%	0.00%	0.96%	0.24%	1.40%	0.00%	0.31%	0.00%	0.00%	0.00%	0.00%	0.23%	0.00%	1.40%	0.29%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.65%	0.80%	0.00%	1.45%	1.23%	0.00%					
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
