Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																	
Дата голосования: 02.12.2007																																	
																																	
Наименование Избирательной комиссии:    Медногорская городская																																	
																																	
Сводная таблица результатов выборов																																	
																																	
		Сумма	УИК №722	УИК №723	УИК №724	УИК №725	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №734	УИК №735	УИК №736	УИК №737	УИК №738	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №1831	УИК №1832	УИК №1833	УИК №1834					
1	"Число избирателей, внесенных в списки избирателей"	25399	1210	1243	1310	1106	1118	1176	1004	1043	1161	1145	1024	1278	1215	1531	1291	940	142	1211	1156	952	1490	839	323	209	113	169					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	24855	1170	1210	1220	1100	1200	1130	990	1030	1125	1130	1010	1250	1200	1450	1250	900	200	1150	1120	920	1435	820	320	215	160	150					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	14082	700	787	740	622	646	707	587	683	661	572	546	696	732	783	595	538	65	599	641	440	769	469	174	143	97	90					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1010	37	22	30	38	47	47	29	38	46	49	46	30	49	41	33	33	77	43	64	36	66	39	24	17	16	13					
6	Число погашенных избирательных бюллетеней	9762	433	401	450	440	507	376	374	309	418	509	418	524	418	626	622	329	58	508	415	444	600	312	122	55	47	47					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1010	37	22	30	38	47	47	29	38	46	49	46	30	49	41	33	33	77	43	64	36	66	39	24	17	16	13					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	14050	700	787	740	622	646	707	587	652	661	571	546	696	732	783	595	538	65	599	641	440	769	469	174	143	97	90					
9	Число недействительных избирательных бюллетеней	117	3	4	2	1	7	8	3	7	10	3	3	8	8	12	6	9	0	3	7	3	5	4	0	0	1	0					
10	Число действительных избирательных бюллетеней	14943	734	805	768	659	686	746	613	683	697	617	589	718	773	812	622	562	142	639	698	473	830	504	198	160	112	103					
