Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																						
Дата голосования: 04.12.2011																																						
																																						
Наименование Избирательной комиссии:    Сорочинская																																						
																																						
Сводная таблица результатов выборов																																						
																																						
		Сумма	УИК №1585	УИК №1586	УИК №1587	УИК №1588	УИК №1589	УИК №1590	УИК №1591	УИК №1592	УИК №1593	УИК №1594	УИК №1595	УИК №1596	УИК №1597	УИК №1598	УИК №1599	УИК №1600	УИК №1601	УИК №1602	УИК №1603	УИК №1604	УИК №1605	УИК №1606	УИК №1607	УИК №1608	УИК №1609	УИК №1611	УИК №1612	УИК №1613	УИК №1614	УИК №1615	УИК №1616					
1	"Число избирателей, внесенных в список избирателей"	12363	345	154	158	725	66	668	191	191	711	870	156	403	324	340	423	282	515	358	113	321	241	482	655	124	1040	176	437	132	826	403	533					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	12379	334	160	155	731	66	674	189	188	712	867	159	400	323	343	415	286	520	364	112	322	240	481	654	128	1054	180	432	132	824	402	532					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	6696	193	84	99	309	39	439	103	122	377	374	102	266	200	215	234	144	263	190	87	198	158	263	306	78	497	117	213	100	415	217	294					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	794	63	31	18	29	5	27	14	8	23	33	0	25	16	32	25	24	40	14	3	21	16	51	107	2	53	0	18	0	40	34	22					
6	Число погашенных избирательных бюллетеней	4889	78	45	38	393	22	208	72	58	312	460	57	109	107	96	156	118	217	160	22	103	66	167	241	48	504	63	201	32	369	151	216					
7	Число избирательных бюллетеней в переносных ящиках для голосования	794	63	31	18	29	5	27	14	8	23	33	0	25	16	32	25	24	40	14	3	21	16	51	107	2	53	0	18	0	40	34	22					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	6694	193	84	99	309	39	439	103	122	377	374	102	266	200	215	234	144	263	190	87	198	158	263	306	76	497	117	213	100	415	217	294					
9	Число недействительных избирательных бюллетеней	78	1	0	0	4	0	6	0	2	6	3	0	5	1	3	3	2	5	0	0	2	7	5	5	0	5	3	1	1	1	2	5					
10	Число действительных избирательных бюллетеней	7410	255	115	117	334	44	460	117	128	394	404	102	286	215	244	256	166	298	204	90	217	167	309	408	78	545	114	230	99	454	249	311					
