Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																														
Дата голосования: 07.12.2003 0:00:00																														
																														
Наименование Избирательной комиссии:    Вадинская																														
																														
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																														
																														
		Сумма	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336					
1	"Число избирателей, внесенных в списки"	8883	339	276	115	805	804	1080	999	90	310	427	74	367	292	352	583	107	321	580	321	130	334	77	100					
2	"Число бюллетеней, полученных участковыми комиссиями"	8758	330	270	110	790	800	1060	990	88	310	420	70	370	290	345	570	100	320	570	310	128	339	78	100					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	4402	160	129	28	423	450	536	494	42	133	201	58	134	172	170	313	57	145	237	167	66	186	40	61					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1219	48	42	51	73	31	61	75	19	58	55	7	123	54	78	76	29	96	64	80	30	31	23	15					
6	Число погашенных бюллетеней	3137	122	99	31	294	319	463	421	27	119	164	5	113	64	97	181	14	79	269	63	32	122	15	24					
7	Число бюллетеней в переносных ящиках для голосования	1219	48	42	51	73	31	61	75	19	58	55	7	123	54	78	76	29	96	64	80	30	31	23	15					
8	Число бюллетеней в стационарных ящиках для голосования	4402	160	129	28	423	450	536	494	42	133	201	58	134	172	170	313	57	145	237	167	66	186	40	61					
9	Число недействительных бюллетеней	128	9	4	0	8	13	10	11	5	6	5	3	0	6	6	0	2	3	14	4	6	10	2	1					
10	Число действительных бюллетеней	5493	199	167	79	488	468	587	558	56	185	251	62	257	220	242	389	84	238	287	243	90	207	61	75					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	135	5	5	5	10	10	10	10	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	24	1	0	0	1	4	4	4	0	0	0	0	1	1	0	2	0	1	0	2	0	3	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	16	0	1	0	4	1	1	1	0	0	1	0	1	2	1	0	0	0	1	0	1	0	0	1					
14	Число погашенных открепительных удостоверений	111	4	5	5	9	6	6	6	5	5	5	5	4	4	5	3	5	4	5	3	5	2	5	5					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																														
18	"1. ""ЕДИНЕНИЕ"""	110	6	1	1	7	12	13	14	0	4	4	0	1	4	4	2	2	4	3	3	10	13	0	2					
		1.95%	2.88%	0.58%	1.26%	1.41%	2.49%	2.17%	2.46%	0.0%	2.09%	1.56%	0.0%	0.38%	1.76%	1.61%	0.51%	2.32%	1.65%	0.99%	1.21%	10.41%	5.99%	0.0%	2.63%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	27	4	0	0	5	0	2	3	0	1	0	0	0	0	4	1	0	0	2	2	1	2	0	0					
		0.48%	1.92%	0.0%	0.0%	1.00%	0.0%	0.33%	0.52%	0.0%	0.52%	0.0%	0.0%	0.0%	0.0%	1.61%	0.25%	0.0%	0.0%	0.66%	0.80%	1.04%	0.92%	0.0%	0.0%					
