Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																		
Дата голосования: 07.12.2003 0:00:00																																		
																																		
Наименование Избирательной комиссии:    Зареченская городская																																		
																																		
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																		
																																		
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27					
1	"Число избирателей, внесенных в списки"	51867	2360	2142	2271	2273	2157	921	1884	2169	2100	2137	2008	2216	2147	2258	2218	2149	1963	1998	2025	1947	2273	2030	1958	1882	620	875	886					
2	"Число бюллетеней, полученных участковыми комиссиями"	51370	2300	2150	2250	2250	2150	900	1900	2150	2100	2150	2000	2200	2100	2250	2200	2100	1950	1950	2000	1900	2250	2000	1950	1850	600	870	900					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	29739	1355	1316	1283	1389	1336	505	1139	1292	1124	1296	1163	1302	1114	1295	1206	1141	1119	1100	1079	1124	1388	1179	1153	1008	330	389	614					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	569	15	23	30	27	29	3	22	19	19	27	30	6	5	18	13	19	15	22	9	13	32	25	31	17	15	48	37					
6	Число погашенных бюллетеней	21062	930	811	937	834	785	392	739	839	957	827	807	892	981	937	981	940	816	828	912	763	830	796	766	825	255	433	249					
7	Число бюллетеней в переносных ящиках для голосования	569	15	23	30	27	29	3	22	19	19	27	30	6	5	18	13	19	15	22	9	13	32	25	31	17	15	48	37					
8	Число бюллетеней в стационарных ящиках для голосования	29715	1354	1316	1283	1388	1336	505	1138	1292	1121	1296	1163	1295	1109	1295	1205	1140	1119	1100	1079	1124	1388	1178	1151	1008	330	389	613					
9	Число недействительных бюллетеней	351	12	14	21	34	22	0	11	12	16	21	16	16	16	8	9	9	7	11	6	18	10	8	9	19	6	9	11					
10	Число действительных бюллетеней	29933	1357	1325	1292	1381	1343	508	1149	1299	1124	1302	1177	1285	1098	1305	1209	1150	1127	1111	1082	1119	1410	1195	1173	1006	339	428	639					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	610	30	25	25	25	25	20	20	25	25	25	25	25	25	25	25	25	20	20	20	20	25	25	25	20	10	10	20					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	261	9	13	11	9	16	11	8	11	6	15	13	7	12	6	11	12	12	11	14	10	10	7	6	6	5	4	6					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	62	3	2	5	1	2	2	0	2	2	1	2	1	1	0	1	0	7	4	0	7	2	4	4	0	4	0	5					
14	Число погашенных открепительных удостоверений	349	21	12	14	16	9	9	12	14	19	10	12	18	13	19	14	13	8	9	6	10	15	18	19	14	5	6	14					
15	Число открепительных удостоверений выданных ТИК	8	0	0	1	3	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																		
18	"1. ""ЕДИНЕНИЕ"""	249	13	10	8	14	8	4	8	17	5	7	7	11	12	5	16	8	11	12	10	9	11	4	7	12	7	3	10					
		0.82%	0.94%	0.74%	0.60%	0.98%	0.58%	0.78%	0.68%	1.29%	0.43%	0.52%	0.58%	0.84%	1.07%	0.38%	1.31%	0.69%	0.97%	1.06%	0.91%	0.79%	0.77%	0.33%	0.59%	1.17%	2.02%	0.68%	1.53%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	724	40	33	22	24	34	17	21	35	27	42	41	20	22	24	21	18	33	22	43	24	37	31	37	26	3	9	18					
		2.39%	2.92%	2.46%	1.67%	1.69%	2.49%	3.34%	1.81%	2.66%	2.36%	3.17%	3.43%	1.53%	1.97%	1.82%	1.72%	1.55%	2.91%	1.96%	3.95%	2.11%	2.60%	2.57%	3.13%	2.53%	0.86%	2.05%	2.76%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	1511	67	75	77	146	90	10	75	89	59	49	52	50	54	48	40	38	51	46	42	60	81	57	50	48	22	24	11					
