Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																			
Дата голосования: 04.12.2011																																			
																																			
Наименование Избирательной комиссии:    Наровчатская																																			
																																			
Сводная таблица результатов выборов																																			
																																			
		Сумма	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801					
1	"Число избирателей, внесенных в список избирателей"	10011	67	482	570	271	219	509	39	529	205	364	124	553	138	134	186	224	90	154	253	122	136	144	215	268	2177	1419	290	129					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	10106	70	487	574	277	221	518	42	531	212	368	129	563	142	136	190	221	89	159	254	127	140	149	220	278	2173	1410	290	136					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	7455	47	268	442	183	119	319	35	396	160	281	82	407	129	121	163	208	65	121	191	95	88	100	186	193	1834	909	219	94					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1111	8	65	55	56	36	46	0	74	17	34	17	82	5	7	11	11	13	20	34	23	27	19	16	71	133	201	20	10					
6	Число погашенных избирательных бюллетеней	1540	15	154	77	38	66	153	7	61	35	53	30	74	8	8	16	2	11	18	29	9	25	30	18	14	206	300	51	32					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1111	8	65	55	56	36	46	0	74	17	34	17	82	5	7	11	11	13	20	34	23	27	19	16	71	133	201	20	10					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	7455	47	268	442	183	119	319	35	396	160	281	82	407	129	121	163	208	65	121	191	95	88	100	186	193	1834	909	219	94					
9	Число недействительных избирательных бюллетеней	89	0	5	2	3	1	14	0	1	0	2	0	20	8	9	0	0	0	0	7	0	0	0	6	4	2	4	0	1					
10	Число действительных избирательных бюллетеней	8477	55	328	495	236	154	351	35	469	177	313	99	469	126	119	174	219	78	141	218	118	115	119	196	260	1965	1106	239	103					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	180	2	8	10	5	4	9	2	9	4	7	2	10	3	3	4	5	2	3	5	3	3	3	5	5	34	22	5	3					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	66	0	2	2	1	0	3	0	1	1	0	0	1	0	1	0	0	0	0	1	1	2	1	1	5	30	11	1	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	39	1	3	1	1	1	1	0	2	0	2	0	0	1	1	0	1	2	0	3	0	2	1	0	2	10	3	1	0					
14	Число погашенных неиспользованных открепительных удостоверений	114	2	6	8	4	4	6	2	8	3	7	2	9	3	2	4	5	2	3	4	2	1	2	4	0	4	11	4	2					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																			
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	302	0	16	14	14	4	11	0	15	7	14	3	22	0	4	4	11	2	5	12	3	4	3	8	5	17	75	20	9					
		3.53%	0.00%	4.80%	2.82%	5.86%	2.58%	3.01%	0.00%	3.19%	3.95%	4.44%	3.03%	4.50%	0.00%	3.13%	2.30%	5.02%	2.56%	3.55%	5.33%	2.54%	3.48%	2.52%	3.96%	1.89%	0.86%	6.76%	8.37%	8.65%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	463	6	26	15	15	10	17	1	22	15	28	6	38	9	11	8	10	8	14	19	6	13	4	9	4	27	88	26	8					
		5.41%	10.91%	7.81%	3.02%	6.28%	6.45%	4.66%	2.86%	4.68%	8.47%	8.89%	6.06%	7.77%	6.72%	8.59%	4.60%	4.57%	10.26%	9.93%	8.44%	5.08%	11.30%	3.36%	4.46%	1.52%	1.37%	7.93%	10.88%	7.69%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	23	0	0	3	0	1	1	0	2	0	0	1	2	1	0	2	0	0	1	0	1	0	0	0	1	0	3	4	0					
		0.27%	0.00%	0.00%	0.60%	0.00%	0.65%	0.27%	0.00%	0.43%	0.00%	0.00%	1.01%	0.41%	0.75%	0.00%	1.15%	0.00%	0.00%	0.71%	0.00%	0.85%	0.00%	0.00%	0.00%	0.38%	0.00%	0.27%	1.67%	0.00%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	956	9	50	73	40	23	63	4	42	24	29	19	38	15	7	22	19	2	12	18	12	12	8	19	41	135	173	31	16					
		11.16%	16.36%	15.02%	14.69%	16.74%	14.84%	17.26%	11.43%	8.94%	13.56%	9.21%	19.19%	7.77%	11.19%	5.47%	12.64%	8.68%	2.56%	8.51%	8.00%	10.17%	10.43%	6.72%	9.41%	15.53%	6.86%	15.59%	12.97%	15.38%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	35	1	1	1	1	1	0	0	2	2	1	0	2	0	3	0	1	0	0	1	0	0	0	1	0	2	11	3	1					
		0.41%	1.82%	0.30%	0.20%	0.42%	0.65%	0.00%	0.00%	0.43%	1.13%	0.32%	0.00%	0.41%	0.00%	2.34%	0.00%	0.46%	0.00%	0.00%	0.44%	0.00%	0.00%	0.00%	0.50%	0.00%	0.10%	0.99%	1.26%	0.96%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	6680	39	233	389	166	114	259	29	386	128	241	70	366	101	94	136	177	65	108	168	96	86	104	159	207	1783	753	155	68					
		77.98%	70.91%	69.97%	78.27%	69.46%	73.55%	70.96%	82.86%	82.13%	72.32%	76.51%	70.71%	74.85%	75.37%	73.44%	78.16%	80.82%	83.33%	76.60%	74.67%	81.36%	74.78%	87.39%	78.71%	78.41%	90.65%	67.84%	64.85%	65.38%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	18	0	2	0	0	1	0	1	0	1	0	0	1	0	0	2	1	1	1	0	0	0	0	0	2	1	3	0	1					
		0.21%	0.00%	0.60%	0.00%	0.00%	0.65%	0.00%	2.86%	0.00%	0.56%	0.00%	0.00%	0.20%	0.00%	0.00%	1.15%	0.46%	1.28%	0.71%	0.00%	0.00%	0.00%	0.00%	0.00%	0.76%	0.05%	0.27%	0.00%	0.96%					
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
																																			
