Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																														
Дата голосования: 07.12.2003 0:00:00																														
																														
Наименование Избирательной комиссии:    Ординская																														
																														
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																														
																														
		Сумма	УИК  2301	УИК  2302	УИК  2303	УИК  2304	УИК  2305	УИК  2306	УИК  2307	УИК  2308	УИК  2309	УИК  2310	УИК  2311	УИК  2312	УИК  2313	УИК  2314	УИК  2315	УИК  2316	УИК  2317	УИК  2318	УИК  2319	УИК  2320	УИК  2321	УИК  2322	УИК  2323					
1	"Число избирателей, внесенных в списки"	12070	1448	1312	1120	752	263	876	245	376	327	89	722	276	141	1216	161	726	96	733	106	406	266	121	292					
2	"Число бюллетеней, полученных участковыми комиссиями"	12650	1500	1300	1150	800	300	1000	250	400	350	100	800	300	150	1300	190	700	100	750	100	400	250	120	340					
3	"Число бюллетеней, выданных избирателям, проголосовавшим досрочно"	290	0	52	0	83	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35					
4	"Число бюллетеней, выданных избирателям на избирательном участке"	7379	905	701	679	424	189	412	154	245	217	58	495	194	59	723	122	515	55	442	70	270	196	66	188					
5	"Число бюллетеней, выданных избирателям, проголосовавшим вне помещения для голосования"	1054	90	109	73	88	27	106	20	52	22	14	33	23	42	139	12	15	7	46	10	46	22	43	15					
6	Число погашенных бюллетеней	3927	505	438	398	205	84	362	76	103	111	28	272	83	49	438	56	170	38	262	20	84	32	11	102					
7	Число бюллетеней в переносных ящиках для голосования	1344	90	161	73	171	27	226	20	52	22	14	33	23	42	139	12	15	7	46	10	46	22	43	50					
8	Число бюллетеней в стационарных ящиках для голосования	7378	905	700	679	424	189	412	154	245	217	58	495	194	59	723	122	515	55	442	70	270	196	66	188					
9	Число недействительных бюллетеней	250	30	23	5	21	5	19	4	2	3	1	44	6	0	15	4	28	1	9	3	9	6	0	12					
10	Число действительных бюллетеней	8472	965	838	747	574	211	619	170	295	236	71	484	211	101	847	130	502	61	479	77	307	212	109	226					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	118	15	6	13	11	2	13	2	3	7	1	5	4	2	11	0	5	1	5	0	8	1	1	2					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	101	12	4	12	10	1	13	1	3	4	0	5	4	2	11	0	5	0	5	0	6	1	0	2					
