Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																		
Дата голосования: 04.12.2011																																																		
																																																		
Наименование Избирательной комиссии:    Кудымкарская районная																																																		
																																																		
Сводная таблица результатов выборов																																																		
																																																		
		Сумма	УИК №5101	УИК №5102	УИК №5103	УИК №5104	УИК №5105	УИК №5106	УИК №5107	УИК №5108	УИК №5109	УИК №5110	УИК №5111	УИК №5112	УИК №5113	УИК №5114	УИК №5115	УИК №5116	УИК №5117	УИК №5118	УИК №5119	УИК №5120	УИК №5121	УИК №5122	УИК №5123	УИК №5124	УИК №5125	УИК №5126	УИК №5127	УИК №5128	УИК №5129	УИК №5130	УИК №5131	УИК №5132	УИК №5133	УИК №5134	УИК №5135	УИК №5136	УИК №5137	УИК №5138	УИК №5139	УИК №5140	УИК №5141	УИК №5142	УИК №5143					
1	"Число избирателей, внесенных в список избирателей"	19733	1495	297	312	198	158	217	823	189	183	156	1408	239	501	421	406	546	196	223	299	830	611	246	320	440	317	624	895	130	142	105	393	832	470	276	582	162	236	178	805	1132	469	1006	265					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	19170	1500	290	300	200	150	210	800	180	180	150	1300	220	490	400	400	550	190	220	290	850	600	250	300	400	300	600	890	120	130	90	400	830	450	270	550	160	230	170	800	1100	470	950	240					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	8073	522	110	83	90	82	95	328	52	84	76	439	87	169	181	163	186	88	107	113	349	230	86	155	210	161	287	338	75	84	58	144	427	202	139	249	96	149	86	382	431	194	388	98					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	1862	70	20	37	16	12	22	38	14	12	5	162	62	33	52	50	115	15	13	51	72	40	39	28	38	39	64	56	10	8	6	24	69	37	16	72	13	21	7	48	129	36	182	9					
6	Число погашенных избирательных бюллетеней	9235	908	160	180	94	56	93	434	114	84	69	699	71	288	167	187	249	87	100	126	429	330	125	117	152	100	249	496	35	38	26	232	334	211	115	229	51	60	77	370	540	240	380	133					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1862	70	20	37	16	12	22	38	14	12	5	162	62	33	52	50	115	15	13	51	72	40	39	28	38	39	64	56	10	8	6	24	69	37	16	72	13	21	7	48	129	36	182	9					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	8073	522	110	83	90	82	95	328	52	84	76	439	87	169	181	163	186	88	107	113	349	230	86	155	210	161	287	338	75	84	58	144	427	202	139	249	96	149	86	382	431	194	388	98					
9	Число недействительных избирательных бюллетеней	197	13	2	1	1	1	3	8	1	4	1	11	3	5	2	1	4	3	2	0	7	7	2	5	5	5	2	13	0	1	0	2	12	3	11	5	5	1	4	5	17	13	3	3					
10	Число действительных избирательных бюллетеней	9738	579	128	119	105	93	114	358	65	92	80	590	146	197	231	212	297	100	118	164	414	263	123	178	243	195	349	381	85	91	64	166	484	236	144	316	104	169	89	425	543	217	567	104					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	385	25	5	5	5	5	5	15	5	5	5	20	5	10	10	10	10	5	5	5	15	15	5	5	10	5	10	15	5	5	5	10	15	10	5	10	5	5	5	15	20	10	15	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	85	10	1	2	0	0	1	1	0	0	0	1	0	4	2	0	2	0	0	0	9	1	1	4	1	0	10	0	0	0	0	1	4	1	0	0	2	1	0	2	14	7	2	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	78	10	1	1	0	4	1	1	1	0	1	5	3	1	0	2	1	1	0	1	2	2	1	1	3	1	4	3	0	0	4	1	2	0	0	4	1	1	1	6	2	1	2	2					
14	Число погашенных неиспользованных открепительных удостоверений	300	15	4	3	5	5	4	14	5	5	5	19	5	6	8	10	8	5	5	5	6	14	4	1	9	5	0	15	5	5	5	9	11	9	5	10	3	4	5	13	6	3	13	4					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																		
