Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																				
Дата голосования: 04.12.2011																				
																				
Наименование Избирательной комиссии:    Большекаменская																				
																				
Сводная таблица результатов выборов																				
																				
		Сумма	УИК №113	УИК №114	УИК №115	УИК №116	УИК №117	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125					
1	"Число избирателей, внесенных в список избирателей"	31033	1123	2161	2907	2725	2711	2757	2564	2730	2799	2785	2755	1699	1317					
2	"Число избирательных бюллетеней, полученных участковой избирательной комиссией"	30450	1100	1650	2950	2700	2700	2650	2600	2750	2850	2800	2700	1700	1300					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещении для голосования"	15733	387	1369	1539	1456	1448	1419	1260	1463	1545	1299	1228	667	653					
5	"Число избирательных бюллетеней, выданных избирателям вне помещения для голосования"	515	46	16	27	39	33	163	43	23	20	29	29	26	21					
6	Число погашенных избирательных бюллетеней	14202	667	265	1384	1205	1219	1068	1297	1264	1285	1472	1443	1007	626					
7	Число избирательных бюллетеней в переносных ящиках для голосования	515	46	16	27	39	33	163	43	23	20	29	29	26	21					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	15710	387	1367	1539	1455	1445	1415	1260	1460	1544	1294	1227	664	653					
9	Число недействительных избирательных бюллетеней	388	16	26	43	41	32	45	18	44	31	26	35	14	17					
10	Число действительных избирательных бюллетеней	15837	417	1357	1523	1453	1446	1533	1285	1439	1533	1297	1221	676	657					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	510	30	40	40	40	40	40	40	40	40	40	40	40	40					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	295	12	21	24	26	35	25	28	32	37	18	22	14	1					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	171	7	10	10	20	19	18	10	11	10	16	25	9	6					
14	Число погашенных неиспользованных открепительных удостоверений	215	18	19	16	14	5	15	12	8	3	22	18	26	39					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	26	2	3	2	1	0	2	3	3	1	1	5	2	1					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																				
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	3678	76	230	352	397	347	361	362	344	385	311	235	143	135					
		22.67%	17.55%	16.63%	22.48%	26.57%	23.48%	22.88%	27.78%	23.20%	24.62%	23.51%	18.71%	20.72%	20.03%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	3125	87	324	294	261	230	334	235	249	290	242	283	164	132					
		19.26%	20.09%	23.43%	18.77%	17.47%	15.56%	21.17%	18.04%	16.79%	18.54%	18.29%	22.53%	23.77%	19.58%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	154	7	24	12	10	16	17	11	15	10	11	10	5	6					
		0.95%	1.62%	1.74%	0.77%	0.67%	1.08%	1.08%	0.84%	1.01%	0.64%	0.83%	0.80%	0.72%	0.89%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	4233	113	344	449	394	422	370	306	381	446	364	308	159	177					
		26.09%	26.10%	24.87%	28.67%	26.37%	28.55%	23.45%	23.48%	25.69%	28.52%	27.51%	24.52%	23.04%	26.26%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	447	10	24	54	45	45	46	32	48	32	51	26	12	22					
		2.76%	2.31%	1.74%	3.45%	3.01%	3.04%	2.92%	2.46%	3.24%	2.05%	3.85%	2.07%	1.74%	3.26%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	4121	119	404	357	341	381	394	331	392	363	313	353	191	182					
		25.40%	27.48%	29.21%	22.80%	22.82%	25.78%	24.97%	25.40%	26.43%	23.21%	23.66%	28.11%	27.68%	27.00%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	79	5	7	5	5	5	11	8	10	7	5	6	2	3					
		0.49%	1.15%	0.51%	0.32%	0.33%	0.34%	0.70%	0.61%	0.67%	0.45%	0.38%	0.48%	0.29%	0.45%					
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
