Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																				
Дата голосования: 02.12.2007																				
																				
Наименование Избирательной комиссии:    Красногородская																				
																				
Сводная таблица результатов выборов																				
																				
		Сумма	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326					
1	"Число избирателей, внесенных в списки избирателей"	7202	1742	1795	193	134	405	340	677	454	500	275	186	322	179					
2	"Число избирательных бюллетеней, полученных участковыми избирательными комиссиями"	6576	1500	1550	200	135	400	340	586	400	500	280	185	335	165					
3	"Число избирательных бюллетеней, выданных избирателям, проголосовавшим досрочно"	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
4	"Число избирательных бюллетеней, выданных избирателям в помещениях для голосования"	3783	1021	1141	81	77	200	148	217	275	193	121	93	140	76					
5	"Число избирательных бюллетеней, выданных избирателям вне помещений для голосования"	1319	116	87	81	42	93	104	283	55	178	88	39	93	60					
6	Число погашенных избирательных бюллетеней	1474	363	322	38	16	107	88	86	70	129	71	53	102	29					
7	Число избирательных бюллетеней в переносных ящиках для голосования	1319	116	87	81	42	93	104	283	55	178	88	39	93	60					
8	Число избирательных бюллетеней в стационарных ящиках для голосования	3783	1021	1141	81	77	200	148	217	275	193	121	93	140	76					
9	Число недействительных избирательных бюллетеней	94	11	10	0	0	0	3	4	60	2	0	0	1	3					
10	Число действительных избирательных бюллетеней	5008	1126	1218	162	119	293	249	496	270	369	209	132	232	133					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	137	25	25	5	5	8	5	10	5	10	10	5	19	5					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	70	11	9	1	0	8	3	4	2	2	10	4	16	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	43	6	12	2	1	2	2	1	4	3	1	1	7	1					
14	Число погашенных неиспользованных открепительных удостоверений	67	14	16	4	5	0	2	6	3	8	0	1	3	5					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	3	1	1	0	1	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																				
18	1.Политическая партия «Аграрная партия России»	150	26	38	2	4	5	12	15	11	19	1	5	3	9					
		2.94%	2.29%	3.09%	1.23%	3.36%	1.71%	4.76%	3.00%	3.33%	5.12%	0.48%	3.79%	1.29%	6.62%					
19	2.Всероссийская политическая партия «Гражданская Сила»	33	9	7	0	0	3	3	2	6	1	1	1	0	0					
		0.65%	0.79%	0.57%	0.00%	0.00%	1.02%	1.19%	0.40%	1.82%	0.27%	0.48%	0.76%	0.00%	0.00%					
20	3.Политическая партия «Демократическая партия России»	13	0	5	0	0	2	1	0	4	0	0	1	0	0					
		0.25%	0.00%	0.41%	0.00%	0.00%	0.68%	0.40%	0.00%	1.21%	0.00%	0.00%	0.76%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	694	155	190	20	15	34	43	55	18	60	34	22	30	18					
		13.60%	13.63%	15.47%	12.35%	12.61%	11.60%	17.06%	11.00%	5.45%	16.17%	16.27%	16.67%	12.88%	13.24%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	27	12	7	2	1	1	1	0	3	0	0	0	0	0					
		0.53%	1.06%	0.57%	1.23%	0.84%	0.34%	0.40%	0.00%	0.91%	0.00%	0.00%	0.00%	0.00%	0.00%					
23	6.Политическая партия «Партия социальной справедливости»	16	0	1	1	0	1	3	3	3	0	1	0	2	1					
		0.31%	0.00%	0.08%	0.62%	0.00%	0.34%	1.19%	0.60%	0.91%	0.00%	0.48%	0.00%	0.86%	0.74%					
24	7.Политическая партия «Либерально-демократическая партия России»	496	118	112	20	10	26	23	58	32	26	27	8	24	12					
		9.72%	10.38%	9.12%	12.35%	8.40%	8.87%	9.13%	11.60%	9.70%	7.01%	12.92%	6.06%	10.30%	8.82%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	616	159	172	15	29	27	27	55	26	13	32	15	19	27					
		12.07%	13.98%	14.01%	9.26%	24.37%	9.22%	10.71%	11.00%	7.88%	3.50%	15.31%	11.36%	8.15%	19.85%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	62	11	10	1	4	2	2	9	8	7	4	1	3	0					
		1.22%	0.97%	0.81%	0.62%	3.36%	0.68%	0.79%	1.80%	2.42%	1.89%	1.91%	0.76%	1.29%	0.00%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	2872	634	671	101	55	191	132	292	155	241	107	78	150	65					
		56.29%	55.76%	54.64%	62.35%	46.22%	65.19%	52.38%	58.40%	46.97%	64.96%	51.20%	59.09%	64.38%	47.79%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	29	2	5	0	1	1	2	7	4	2	2	1	1	1					
		0.57%	0.18%	0.41%	0.00%	0.84%	0.34%	0.79%	1.40%	1.21%	0.54%	0.96%	0.76%	0.43%	0.74%					
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
																				
